property_id,property_name,nyc_building_identification,address_1,year_built,office_percent_that_can_be,largest_property_use_type_1,retail_store_number_of_open,multifamily_housing_percent_1,municipally_supplied_potable_3,parent_property_id,non_refrigerated_warehouse,convention_center_gross_floor,hospital_general_medical_8,medical_office_gross_floor,district_steam_use_kbtu,fuel_oil_2_use_kbtu,net_emissions_metric_tons,year_ending,estimated_values_water,site_eui_kbtu_ft,report_submission_date,report_generation_date,temporary_values,worship_facility_gross_floor,multifamily_housing_number_7,property_gfa_calculated,direct_ghg_emissions_metric,electricity_use_generated_2,leed_us_project_id,diesel_2_use_kbtu,list_of_all_property_use,estimated_data_flag_fuel_2,alert_energy_meter_has_single,direct_ghg_emissions_intensity,weather_normalized_site_eui,total_location_based_ghg,postal_code,electricity_use_grid_purchase_2,reason_s_for_no_score,third_party_certification_1,multifamily_housing_number_5,courthouse_gross_floor_area,last_modified_date_property,energy_star_certification_1,last_modified_date_water,national_median_site_eui,number_of_active_it_meters,hotel_gym_fitness_center,multifamily_housing_total_1,site_energy_use_kbtu,office_gross_floor_area_ft,movie_theater_gross_floor,alert_energy_no_meters,default_values,natural_gas_use_kbtu,social_meeting_hall_gross,medical_office_percent_that,third_party_certification,estimated_data_flag_fuel,fuel_oil_4_use_kbtu
24889848,Indus - 42-25 Hampton Street,4038913,42-25 Hampton Street,1961,Not Available,73100,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,909999.5,347,2022-12-31T00:00:00.000,No,76.9,2023-03-21T13:26:00.000,2023-03-21T13:25:00.000,False,Not Available,1.05335,73100,268.3,Not Available,Not Available,Not Available,Multifamily Housing (73100.0),Not Available,Ok,3.7,77.4,347,11373,272791,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,2023-03-08T00:00:00.000,93.1,0,Not Available,1.05335,5621062.4,Not Available,Not Available,Ok,False,3780300,Not Available,Not Available,Not Available,Not Available,Not Available
20324167,Lester - 140 53 St,3014134,140 53 St,1930,Not Available,25200,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,25200,Not Available,Not Available,Not Available,Not Available,Not Available,32.5,2022-12-31T00:00:00.000,No,15.3,2023-04-03T16:12:00.000,2023-04-03T16:11:00.000,False,Not Available,Not Available,25200,0,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse (25200.0),Not Available,Ok,0,15.3,32.5,11232,112798,Not Available,Not Available,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,2023-02-24T00:00:00.000,31.4,0,Not Available,Not Available,384866.8,Not Available,Not Available,Ok,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2790379,SUPERIOR: 1375 Ocean Ave,3206225,1375 Ocean Ave,1929,Not Available,123264,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,452,2022-12-31T00:00:00.000,No,64.1,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0.76259,123264,364.2,Not Available,Not Available,Not Available,Multifamily Housing (123264.0),Not Available,Ok,3,64.7,452,11230,304566,Not Available,Not Available,0,Not Available,2023-04-07T00:00:00.000,Not Available,2023-02-27T00:00:00.000,80.3,0,Not Available,0.76259,7895678.9,Not Available,Not Available,Ok,False,6856499.7,Not Available,Not Available,Not Available,Not Available,Not Available
4014223,33 Trinity Realty LLC,3175381,1648 West 9th Street,1928,Not Available,51000,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,229.8,2022-12-31T00:00:00.000,No,78.8,2023-03-28T11:53:00.000,2023-03-28T11:53:00.000,False,Not Available,1.17647,51000,185.8,Not Available,Not Available,Not Available,Multifamily Housing (51000.0),Not Available,Ok,3.6,79.6,229.8,11223,152672,Not Available,Not Available,0,Not Available,2023-03-13T00:00:00.000,Not Available,2023-03-13T00:00:00.000,98.6,0,Not Available,1.17647,4018117.1,Not Available,Not Available,Ok,True,3497200.2,Not Available,Not Available,Not Available,Not Available,Not Available
6255036,974 45th street,3136583,974 45TH Street,1926,Not Available,32000,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,148.3,2022-12-31T00:00:00.000,No,78.2,2023-04-25T10:40:00.000,2023-04-25T10:39:00.000,False,Not Available,0.25,32000,107,Not Available,Not Available,Not Available,Multifamily Housing (32000.0),Not Available,Possible Issue,3.3,Not Available,148.3,11219,143272.2,Not Available,Not Available,0,Not Available,2023-03-24T00:00:00.000,Not Available,2023-02-27T00:00:00.000,84.1,0,Not Available,1.21875,2502525.1,Not Available,Not Available,Ok,True,2013680.3,Not Available,Not Available,Not Available,Not Available,Not Available
24889839,Indus - 23-40 Mott Avenue,4452153,23-40 Mott Avenue,1949,Not Available,34821,Not Available,100,Not Available,24889836,Not Available,Not Available,Not Available,Not Available,Not Available,635089.8,167.6,2022-12-31T00:00:00.000,Unable to Check (not enough data),80.5,2023-03-28T12:08:00.000,2023-03-28T12:07:00.000,False,Not Available,0,34821,153,Not Available,Not Available,Not Available,Multifamily Housing (34821.0),Not Available,Ok,4.4,81.2,167.6,11691,50605,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,,98.8,0,Not Available,1.20617,2801441.2,Not Available,Not Available,Ok,False,1993687.1,Not Available,Not Available,Not Available,Not Available,Not Available
2771697,89-04 148th St. LLC,4206838,8904 148TH STREET,1929,Not Available,68000,Not Available,90,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,322.8,2022-12-31T00:00:00.000,No,80.9,2023-04-19T15:27:00.000,2023-04-19T15:26:00.000,False,Not Available,0.97059,68000,240.6,Not Available,Not Available,Not Available,Multifamily Housing (68000.0),Not Available,Ok,3.5,81.6,322.8,11435,284929,Not Available,Not Available,0,Not Available,2023-04-07T00:00:00.000,Not Available,2023-02-24T00:00:00.000,92.4,0,Not Available,0.97059,5501877.5,Not Available,Not Available,Ok,False,4529699.8,Not Available,Not Available,Not Available,Not Available,Not Available
6410196,2044 Webster Ave,2011117,2044 Webster Avenue,2009,Not Available,65000,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1271.2,2022-12-31T00:00:00.000,Unable to Check (not enough data),254.4,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,Not Available,65000,214.5,Not Available,Not Available,Not Available,Supermarket/Grocery Store (65000.0),Not Available,Ok,3.3,254.5,1271.2,10457,3663452,Not Available,Not Available,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,2019-02-01T00:00:00.000,219.4,0,Not Available,Not Available,16538298,Not Available,Not Available,Ok,False,4038599.9,Not Available,Not Available,Not Available,Not Available,Not Available
23250991,Palushaj Equities LLC,2018447,350 East 207 Street,1940,Not Available,28000,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,993599.9,215.7,2022-12-31T00:00:00.000,No,123.3,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,0.35714,28000,185,Not Available,Not Available,Not Available,Multifamily Housing (28000.0),Not Available,Ok,6.6,125,215.7,10466,106300,Not Available,Not Available,0,Not Available,2023-04-29T00:00:00.000,Not Available,2023-02-24T00:00:00.000,97.9,0,Not Available,1.14286,3451995.4,Not Available,Not Available,Ok,False,2095699.8,Not Available,Not Available,Not Available,Not Available,Not Available
6682477,MARYETT REALTY CORP.- 3033 Brighton 13 Street,3245653,3033 Brighton 13 Street,1926,Not Available,33800,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,192.3,2022-12-31T00:00:00.000,No,100.7,2023-03-10T19:58:00.000,2023-03-10T19:58:00.000,False,Not Available,0,33800,161.5,Not Available,Not Available,Not Available,Multifamily Housing (33800.0),Not Available,Ok,4.8,102,192.3,11235,106721,Not Available,Not Available,0,Not Available,2023-03-09T00:00:00.000,Not Available,2023-02-24T00:00:00.000,103.1,0,Not Available,1.21302,3405031.9,Not Available,Not Available,Ok,False,3040899.9,Not Available,Not Available,Not Available,Not Available,Not Available
