nyc_building_identification,fuel_oil_1_use_kbtu,national_median_energy_star,district_chilled_water_use,restaurant_worker_density,refrigerated_warehouse_gross,annual_maximum_demand_mm,data_center_pue,green_power_offsite_kwh,_2nd_largest_property_use_1,electricity_use_generated_3,parent_property_name,parking_open_parking_lot,latitude,restaurant_weekly_operating,fuel_oil_5_6_use_kbtu,property_gfa_self_reported,office_number_of_workers,barracks_gross_floor_area,retail_store_number_of_walk,avoided_emissions_onsite_1,hotel_gross_floor_area_ft,hospital_general_medical_9,restaurant_gross_floor_area,alert_gross_floor_area_is,electricity_use_grid_purchase_1,wastewater_treatment_plant,weather_normalized_source_1,_3rd_largest_property_use,ct2020,office_percent_that_can_be_1,electricity_use_generated_1,weather_normalized_site_energy,energy_star_score,property_notes,estimated_data_flag,construction_status,office_weekly_operating_hours,medical_office_number_of_2,longitude,source_eui_kbtu_ft,hospital_general_medical_6,ambulatory_surgical_center
1043346,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.761238,Not Available,Not Available,25400,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,124732,Not Available,2335468.5,Not Available,110.0,Not Available,Not Available,1538951.1,91,Not Available,No,Existing,Not Available,Not Available,-73.965815,92.2,Not Available,Not Available
2028883,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.834172,Not Available,Not Available,37635,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,146287,Not Available,2140755.7,Not Available,222.0,Not Available,Not Available,1206929.6,94,E9 and G12 are not in use,No,Existing,Not Available,Not Available,-73.859133,55.7,Not Available,Not Available
4038912,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,5000,Not Available,Not Applicable: Standalone Property,0,40.744465,Not Available,Not Available,67898,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,214100,Not Available,6046225.7,Not Available,46901.0,Not Available,Not Available,4614862.6,86,Gas Cooking Meter Excluded from Metric Tracking,No,Existing,Not Available,Not Available,-73.877176,89.2,Not Available,Not Available
1087523,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.748208,Not Available,Not Available,49287,Not Available,Not Available,Not Available,0,49287,Not Available,Not Available,Ok,649852.9,Not Available,8899474.5,Not Available,101.0,Not Available,Not Available,4718196.2,57,Not Available,No,Existing,Not Available,Not Available,-73.98992,178.5,Not Available,Not Available
4209075,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Highland Church,Not Available,40.709347,Not Available,Not Available,14400,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,1749829.5,Not Available,44602.0,Not Available,Not Available,1666504.3,19,This is 1 building spread across multiple lots with shared utilities. All energy data is accounted for at the parent level. Gas consumption accounts for all lots.,Not Available,Existing,Not Available,Not Available,-73.801689,118.1,Not Available,Not Available
3025487,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.667885,Not Available,Not Available,41000,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,189919,Not Available,6365289.1,Not Available,165.0,Not Available,Not Available,4992601,40,Not Available,No,Existing,Not Available,Not Available,-73.974122,151.6,Not Available,Not Available
3006469,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.681323,Not Available,Not Available,29077,Not Available,Not Available,Not Available,0,29077,Not Available,Not Available,Ok,552759,Not Available,7437992.1,Not Available,127.0,Not Available,Not Available,3873544.3,68,Not Available,No,Existing,Not Available,Not Available,-73.984825,250.8,Not Available,Not Available
1007953,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,15500,Not Available,Not Applicable: Standalone Property,Not Available,40.724612,Not Available,Not Available,69000,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,379076,Not Available,5896585.4,Not Available,49.0,Not Available,Not Available,3542250.1,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.997478,83.8,Not Available,Not Available
1015101,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.746567,Not Available,Not Available,63791,146.72,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,277072.7,Not Available,Not Available,Not Available,95.0,100,Not Available,Not Available,84,Not Available,No,Existing,50,Not Available,-73.99175,77,Not Available,Not Available
3168025,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.599458,Not Available,Not Available,69862,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,276539,Not Available,6982089.2,Not Available,296.0,Not Available,Not Available,5156904.3,74,Not Available,No,Existing,Not Available,Not Available,-73.996381,97.6,Not Available,Not Available
3426030,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Living - 143 Roebling Campus,Not Available,40.713756,Not Available,Not Available,26165,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,108363,Not Available,1052992.6,Not Available,519.0,Not Available,Not Available,376068.8,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.957359,39.6,Not Available,Not Available
3230692,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Applicable: Standalone Property,42500,40.6482,Not Available,Not Available,39500,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1214811.8,Not Available,12529196.8,Not Available,984.0,Not Available,Not Available,5095281.2,73,Not Available,No,Existing,Not Available,Not Available,-73.892997,319.7,Not Available,Not Available
3062564,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Applicable: Standalone Property,6225,40.716786,Not Available,Not Available,54698,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,357996,Not Available,3365020.1,Not Available,555.0,Not Available,Not Available,1201792.9,99,Not Available,No,Existing,Not Available,Not Available,-73.964796,62.5,Not Available,Not Available
4035191,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.754849,Not Available,Not Available,57138,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,183010,Not Available,6490782.3,Not Available,281.0,Not Available,Not Available,5178373.3,50,Not Available,No,Existing,Not Available,Not Available,-73.883333,112.3,Not Available,Not Available
4300145,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,17598,Not Available,Not Applicable: Standalone Property,Not Available,40.60432,Not Available,Not Available,35196,0,Not Available,2,0,Not Available,Not Available,Not Available,Ok,408983.3,Not Available,4811311.1,Not Available,100803.0,0,Not Available,2256449.1,Not Available,The upstairs office portion is vacant. Downstairs retail storefronts are occupied.,No,Existing,0,Not Available,-73.753009,136.4,Not Available,Not Available
3199402,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.597691,Not Available,Not Available,75300,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,185488,Not Available,6992467.7,Not Available,582.0,Not Available,Not Available,5620849.4,77,Not Available,No,Existing,Not Available,Not Available,-73.959036,92.2,Not Available,Not Available
1037574; 1084253,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,12170,Not Available,Not Applicable: Standalone Property,Not Available,40.751405,Not Available,Not Available,225567,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,1909157.8,Not Available,36606643.5,Not Available,90.0,Not Available,Not Available,24775652.5,13,Not Available,No,Existing,Not Available,Not Available,-73.971917,164.7,Not Available,Not Available
1077816,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,5233,Not Available,Campus - Morton Barrow Condo,Not Available,40.731432,Not Available,Not Available,14130,Not Available,Not Available,0,0,Not Available,Not Available,5233,Ok,168117,Not Available,2051611.3,Not Available,67.0,Not Available,Not Available,1017030.8,Not Available,Water data accounts for all 4 properties on the entire BBL,No,Existing,Not Available,Not Available,-74.00665,147.5,Not Available,Not Available
