violationid,censustract,lowhousenumber,originalcorrectbydate,zip,inspectiondate,violationstatus,block,streetname,housenumber,novissueddate,currentstatus,communityboard,rentimpairing,newcorrectbydate
1015592,304.0,8797,2008-09-08T00:00:00.000,11214,1988-03-11T00:00:00.000,Open,6894,25 AVENUE,8797,2008-06-05T00:00:00.000,NOT COMPLIED WITH,11.0,N,
10010976,309.0,110,2014-01-24T00:00:00.000,10463,2013-10-19T00:00:00.000,Close,2215,TERRACE VIEW AVENUE,110,2013-10-21T00:00:00.000,VIOLATION CLOSED,8.0,N,
10170993,216.0,40,2014-04-18T00:00:00.000,10026,2014-03-12T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-03-14T00:00:00.000,VIOLATION CLOSED,10.0,N,
10038764,175.0,1076,2013-12-25T00:00:00.000,10456,2013-11-15T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2013-11-20T00:00:00.000,VIOLATION CLOSED,4.0,N,
10220676,28501.0,308,2014-05-07T00:00:00.000,11206,2014-04-25T00:00:00.000,Close,1579,ELLERY STREET,308,2014-04-29T00:00:00.000,VIOLATION DISMISSED,3.0,Y,
10291735,2902.0,65,2014-08-04T00:00:00.000,10013,2014-06-27T00:00:00.000,Close,163,BAYARD STREET,65,2014-06-30T00:00:00.000,VIOLATION DISMISSED,3.0,N,
10345441,39901.0,2567,2014-09-22T00:00:00.000,10458,2014-08-10T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-08-18T00:00:00.000,VIOLATION CLOSED,7.0,N,
10387258,20502.0,226,2014-10-27T00:00:00.000,10453,2014-09-18T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-09-22T00:00:00.000,VIOLATION CLOSED,5.0,N,
10014971,391.0,2236,2014-02-02T00:00:00.000,10457,2013-10-10T00:00:00.000,Close,3071,ADAMS PLACE,2238,2013-10-30T00:00:00.000,VIOLATION CLOSED,6.0,N,
12366322,223.0,1451,2018-06-12T00:00:00.000,10452,2018-05-02T00:00:00.000,Open,2844,WYTHE PLACE,1459,2018-05-08T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,4.0,N,
10375058,868.0,397,2014-10-15T00:00:00.000,11203,2014-09-07T00:00:00.000,Open,4675,EAST 49 STREET,397,2014-09-10T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,17.0,N,
