dbn,school_name,phone_number,website,partner_hospital,priority01,partner_cbo,school_sports,priority04,addtl_info2,ell_programs,online_language_courses,priority05,partner_cultural,school_accessibility_description,partner_highered
07X527,Bronx Leadership Academy II High School,718-292-7171,www.BronxleadershipAcademy2.org,,Priority to Bronx students or residents who attend an information session,South Bronx Churches,Cheerleading,Then to New York City residents,,ESL,,,,Functionally Accessible,The City University of New York
14K488,Brooklyn Preparatory High School,718-486-2550,www.brooklynprephs.org,,Priority to Brooklyn students or residents who attend an information session,Camelot,Intramural Sports Tournaments,Then to New York City residents,,ESL,,,"International Studio and Curatorial Program, Reel Works, ENACT, Girls Write Now, International Center for Photography, Joan Mitchell Foundation, New York Public Library, Brooklyn Academy of Music.",Functionally Accessible,"The City University of New York, New York University, Columbia University, Spelman University, University of Bridgeport, Johnson and Wales University, Penn State, Rutgers University, Syracuse University, University of Delaware."
14K474,PROGRESS High School for Professional Careers,718-387-0228,www.progresshighschool.org,"North Brooklyn Health Network - Woodhull Medical Center, New York City Health and Hospitals Corp.",Priority to Brooklyn students or residents,"PROGRESS, Inc., The Leadership Program, Take the Field Foundation, Hispanic Scholarship Fund, Big BrothersBig Sisters, Literacy Inc., St. Nicholas Development Corp-Beacon Program",Full program of school sports; students compete in the Grand Street Campus (GSC) Athletic Program. All activities are supported by the GSC Events Staff.,,"Community Service Requirement, Extended Day Program Requirement, Student Summer Orientation, Weekend Program offered",ESL; Transitional Bilingual Program: Spanish,"English, Haitian-Creole, Spanish, Spanish Native Language Arts",,"The Metropolitan Opera, American Museum of Natural History, El Museo del Barrio, New-York Historical Society, New York City Wildlife Conservation, Museum of Modern Art",Functionally Accessible,"Institute for Medical-Health Professions, CUNY Graduate Center, SUNY, College of St. Rose, St. John’s University, Brooklyn College, Hunter college, Cooper Union, Pratt Institute, Long Island University, City College, New York University, City University of New York, State University of New York, Boricua College, etc."
26Q430,Francis Lewis High School,718-281-8200,www.francislewishs.org,,Priority to Queens students or residents,"Coalition for Asian American Children and Families, Flushing Young Men's Christian Association (YMCA), Chapin Home for the Aging, Queens Mediation Services, Queens Theater in the Park, St. Luke's Roosevelt Hospital, NY Hospital Queens, Stony Brook University Medical Center, Mount Sinai Medical Center, Row New York",Full program of intramural school sports,,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered",ESL; Transitional Bilingual Program: Chinese,,,,Functionally Accessible,"Queens College, Monroe College, Adelphi University, St. John’s University, Hofstra University, Queensborough Community College, York College, The Sophie Davis School of Biomedical Education at the City College of New York, Columbia University, Polytechnic University at New York University (NYU Poly), John Jay College"
05M670,Thurgood Marshall Academy for Learning and Social Change,212-283-8055,http://schools.nyc.gov/schoolportals/05/M670,New York-Presbyterian Hospital (school-based Clinic),Priority to continuing 8th graders,"Abyssinian Development Corporation, StreetSquash, Future Giants, Young Achievers",,Then to New York City residents,,ESL,,,"The Studio Museum of Harlem, Apollo Theater",Functionally Accessible,"The City College of New York, Columbia University"
27Q314,Epic High School – South,718-935-3643  ,epicschoolsnyc.org,,Priority to Queens students or residents who attend an information session,,,Then to New York City residents  ,,ESL,Based on student interest.  ,,,Functionally Accessible,
08X405,Herbert H. Lehman High School.,718-904-4200,www.LehmanHS.com,Montefiore Medical Center,Open to Bronx students or residents,"Partnership With Children, Center for Supportive Schools, The Leadership Program, Morningside Center for Teaching Social Responsibility, Gateway, Per Scholas, College Match, Opening Act, Throggs Neck Action Partnership",Cheerleading,,"Dress Code Required, Extended Day Program, Weekend Program offered",ESL,,,,Functionally Accessible,"Fordham University, The City College of New York, Lehman College, Mercy College, College of Westchester"
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,212-496-0700,www.laguardiahs.org,Mount Sinai Medical Center,Open to New York City residents,Lincoln Center for the Performing Arts,,Students must be residents of New York City at the time of audition,,ESL,Spanish,,"Lincoln Center for the Performing Arts, American Ballet Theater, Carnegie Hall, New York Philharmonic, Drama Desk, Metropolitan Opera, Interschool Orchestras of New York, New York Youth Symphony",Functionally Accessible,"The Cooper Union for the Advancement of Science and Art, Skidmore College, Sophie Davis School of Biomedical Education, New York University School of Medicine"
06M211,Inwood Early College for Health and Information Technologies,718-935-3660  ,,,Priority to Manhattan students or residents who attend an information session  ,,,Then to New York City residents  ,Community Service Required; Extended Day Offered; Internship Required; Summer Session Offered; Uniform Dress Code Required; Weekend Program Offered  ,ESL,N/A (Expected: French)  ,,,Not Functionally Accessible,
23K514,Frederick Douglass Academy VII High School,718-485-3789,http://schools.nyc.gov/schoolportals/23/K514,,Priority to Brooklyn students or residents who attend an information session,"East Brooklyn Congregations (EBC), Council for Unity (Brooklyn DA's office), Healthy Schools Brooklyn, Grace Church Regents Prep/Tutoring, Brownsville Youth Court, Brooklyn College Community Partnership","Intramural Sports, 3-on-3 Basketball, Cheerleading, Step, Mixed Martial Arts, Weight Lifting",Then to New York City residents,,ESL,,,Videography,Functionally Accessible,College Now at Brooklyn College; Aquatic Research partnership at Brooklyn College
