school_name,total_students,expgrade_span_max,campus_name,subway,start_time,psal_sports_girls,priority10,grade_span_min
"The Marie Curie School for Medicine, Nursing, and Health Professions",573.0,,,1 to 231st St,8:00 AM,"Cross Country, Softball",,9.0
The College Academy,546.0,,George Washington Educational Campus,1 to 191st St ; A to 190th St,8:00 AM,"Basketball, Indoor Track, Soccer, Softball, Volleyball",,9.0
Boys and Girls High School,940.0,,,"A, C to Utica Ave",8:15 AM,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,9.0
The Michael J. Petrides School,1272.0,,,,8:00 AM,"Basketball, Bowling, Cross Country, Fencing, Golf, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,
Curtis High School,2396.0,,,SIR to St George,9:00 AM,"Basketball & JV Basketball, Bowling, Cross Country, Double Dutch, Golf, Handball, Indoor Track, Lacrosse, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling",,9.0
Murray Hill Academy,305.0,,Norman Thomas Educational Campus,"4, 5, 7, G, S to Grand Central - 42nd St ; 6 to 33rd St ; B, D, F, M, N, Q, R to 34th St-Herald Square",8:00 AM,"Basketball, Bowling, Softball, Volleyball",,9.0
QUEENS METROPOLITAN HIGH SCHOOL,1139.0,,Metropolitan Educational Campus,,8:00 AM,"Basketball, Cross Country, Indoor Track, JV Basketball, JV Volleyball, Outdoor Track, Soccer, Softball, Volleyball",,9.0
"Archimedes Academy for Math, Science and Technology Applications",637.0,,,,8:25 AM,"Basketball & JV Basketball, Indoor Track, Volleyball",,6.0
Crotona International High School,252.0,,Grace Dodge Educational Campus,,8:30 AM,"Softball, Volleyball",,9.0
Manhattan Center for Science and Mathematics,1588.0,,,,8:15 AM,"Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",,9.0
August Martin High School,853.0,,,,8:00 AM,"Basketball, Outdoor Track, Softball, Volleyball",,9.0
Academy for Young Writers,502.0,,Spring Creek Educational Campus,,9:05 AM,,,6.0
A. Philip Randolph Campus High School,1360.0,,,"1 to 137th St - City College ; A, D to 125th St ; B, C to 135th St",8:00 AM,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball & JV Volleyball",,9.0
Maspeth High School,751.0,,,,8:15 AM,"Basketball & JV Basketball, Softball, Volleyball",,9.0
Bronx Collegiate Academy,356.0,,William Howard Taft Educational Campus,"4, B, D to 170th St",8:30 AM,"Basketball, Bowling, Outdoor Track, Softball, Tennis, Volleyball",,9.0
