website,bbl,location_1,primary_address_line_1,partner_corporate,grade_span_max,bus,online_ap_courses,building_code,census_tract,se_services
www.BronxleadershipAcademy2.org,2024430078.0,"{'latitude': '40.82277649', 'longitude': '-73.923522794', 'human_address': '{""address"": ""730 Concourse Village West"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",730 Concourse Village West,Bloomberg Inc.,12,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6",,X790,61.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.brooklynprephs.org,3023300011.0,"{'latitude': '40.715037551', 'longitude': '-73.954649959', 'human_address': '{""address"": ""257 North 6 Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",257 North 6 Street,"Digitas, AT&T, AT Kearney, Disney",12,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",,K650,519.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.progresshighschool.org,3030160001.0,"{'latitude': '40.711963113', 'longitude': '-73.940434367', 'human_address': '{""address"": ""850 Grand Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",850 Grand Street,"Student internships with corporate partners: Citigroup, Verizon, Kramer Levin Naftalis & Frankel law firm",12,"B24, B43, B48, B60, Q54, Q59","Art History, Biology, English Language and Composition, Spanish Language and Culture, United States History",K450,485.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.francislewishs.org,4068820001.0,"{'latitude': '40.740555714', 'longitude': '-73.792848146', 'human_address': '{""address"": ""58 20 Utopia Parkway Fresh Meadows"", ""city"": ""NY"", ""state"": """", ""zip"": ""11365""}'}",58-20 Utopia Parkway,"Us, The Margaret Tietz Nursing and Rehabilitation Center",12,"Q17, Q30, Q31, Q88",,Q430,1417.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/05/M670,1019400035.0,"{'latitude': '40.815364829', 'longitude': '-73.94389671', 'human_address': '{""address"": ""200 214 West 135Th Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",200-214 West 135Th Street,"O’Melveny & Myers LLP, NBC Universal",12,"Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3",,M970,228.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
epicschoolsnyc.org,4117140100.0,"{'latitude': '40.675735922', 'longitude': '-73.816968336', 'human_address': '{""address"": ""121 10 Rockaway Boulevard"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11420""}'}",121-10 Rockaway Boulevard,,10,"Q10, Q37, Q7, Q9",Based on student interest.  ,Q226,840.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.LehmanHS.com,2053680001.0,"{'latitude': '40.840513977', 'longitude': '-73.83812096', 'human_address': '{""address"": ""3000 East Tremont Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",3000 East Tremont Avenue,,12,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,X405,194.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.laguardiahs.org,1011560030.0,"{'latitude': '40.773670507', 'longitude': '-73.985268558', 'human_address': '{""address"": ""100 Amsterdam Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10023""}'}",100 Amsterdam Avenue,"Sony Music, Warner Music Group, Capital Cities ABC, The Walt Disney Company",12,"M10, M104, M11, M20, M31, M5, M57, M66, M7, M72",,M485,151.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
,1022330020.0,"{'latitude': '40.866045549', 'longitude': '-73.924856642', 'human_address': '{""address"": ""650 Academy Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",650 Academy Street,,10,"Bx12-SBS, Bx20, Bx7, M100, M3, M4",,M052,291.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/23/K514,3035410001.0,"{'latitude': '40.665810912', 'longitude': '-73.911699645', 'human_address': '{""address"": ""226 Bristol Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",226 Bristol Street,McGraw-Hill (male mentoring),12,"B12, B14, B15, B60, B7",,K175,924.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
