objectid,loc,sept_10_md,sept_18_am,may_16_md,may_08_md,may_12_md,oct_22_md,may_10_md,sept_13_md,may_12_pm,sept_15_pm,may_07_md,may_12_am,may_22_p_m,may_11_pm,may_08_am,may_09_md,oct24_md,sept_13_pm,oct_20_md,may_09_am,sept_07_md,may_13_md,may_19_md,may_11_am,street_nam,may_22_md,sept_09_md,sept_07_pm,may_17_am,sept_08_pm,oct_21_md,iex,sept_17_md,may_10_pm,sept_16_md,sept_10_am
102,102.0,3,1,13,0,109,66,32,34,23,7,0,9,115,24,0,28,32,10,0,14,0,18,0,9,Manhattan Bridge  North Path,43,0,0,3,0,34,N,5,36,9,0
91,91.0,1088,8495,4257,2758,1658,919,2511,2341,3350,7769,2204,2892,2443,6346,4996,806,481,7274,954,1952,1627,2443,0,4461,Queens Plaza North & South,1413,1297,6082,6045,6031,1268,N,4890,5254,1952,4687
30,30.0,1846,350,3518,807,1773,3441,1644,2438,990,3126,875,222,2490,1185,98,1178,3048,1620,1116,103,658,2325,0,143,Old Fulton Street,3455,1349,783,244,923,1988,N,2932,996,3179,157
94,94.0,1216,1355,734,955,1162,1037,1610,1264,1310,2552,806,876,1887,2254,320,871,1942,2135,875,1093,812,967,0,912,Sutphin Boulevard,1103,977,1664,1448,2686,814,N,942,2559,1015,1441
60,60.0,2031,2532,2836,1776,2578,2785,2690,3284,3654,6619,2066,2159,4746,4564,2077,1933,3002,5529,2713,1605,2047,2277,2982,1853,Seco Avenue,2753,1493,5431,2604,3574,3164,Y,1904,4311,2751,2162
70,70.0,469,389,625,186,1948,934,201,1043,118,694,310,255,865,563,90,64,990,639,542,27,363,2519,0,307,Hudson River Greenway,704,436,342,255,234,754,N,950,453,483,273
27,27.0,2562,2230,2680,2699,1996,2600,2966,3471,3426,4755,2866,1476,4350,5447,1382,3390,2436,6054,0,1156,2125,2585,0,1980,Kings Highway,2174,3174,3524,1908,5990,2112,N,2548,5041,2387,1479
85,85.0,2977,1461,2505,3214,3082,2411,3218,3449,3596,2141,5741,1397,3777,5433,1358,3101,2252,4681,2439,1316,5109,3702,2479,1296,Myrtle Avenue,2486,3619,5867,1458,4978,2793,Y,2391,4634,2605,1541
68,68.0,6784,4564,7928,7308,7974,6349,5874,7740,9640,13880,9134,3337,12216,13185,2973,6386,8196,13493,1366,3151,9352,9366,7587,3883,Broadway,7095,8480,12401,4902,14026,4380,Y,9274,12065,7641,4222
64,64.0,2054,4203,2556,2144,2539,2074,2104,2676,6394,10719,3297,3903,5806,8962,2407,2281,2019,11649,868,2498,2239,2004,0,3694,Madison Avenue,1884,4224,9188,3733,8742,1314,N,1479,9460,2059,2451
39,39.0,3407,1756,4162,3910,3703,3114,3633,4070,2283,8626,3500,1603,3205,4024,895,3084,3982,3998,2407,1041,2523,4968,0,1520,Columbus Avenue,2756,2629,2748,1558,3306,2846,N,2977,3464,4522,1632
62,62.0,2481,5127,3776,2968,3075,2345,2781,3613,7253,11681,4805,5610,7193,12261,5659,3131,3072,11573,831,3614,2600,3524,0,6003,Lexington Avenue,2060,2768,10010,6508,20071,1932,N,2480,12143,2900,4941
48,48.0,2502,2940,3429,4686,3775,3254,2593,3251,4285,5359,3167,2611,4818,8206,2112,2992,3868,5578,0,3544,2637,4899,0,2633,Fulton Street,2502,2685,5113,1977,7309,2018,N,2938,6308,3555,2647
104,104.0,396,464,819,455,305,876,468,800,377,812,370,269,862,647,203,507,943,838,0,328,312,1086,0,256,Williamsburg Bridge,783,343,289,442,382,696,N,713,402,731,269
58,58.0,2417,7971,3407,2175,2616,2885,2868,3167,8884,13370,2639,8340,9637,11750,6019,1664,4894,12234,1252,5064,2606,2321,2734,5540,West 40th Street,3431,2136,11208,5923,8616,2402,Y,3818,11224,2753,7467
57,57.0,9900,14021,12029,14646,13790,9996,10055,13107,18969,25687,12528,13645,20529,31701,12391,13971,10803,30743,5287,12690,14201,15594,11452,9969,West 34th Street,9122,12044,32673,11874,29019,8475,Y,17262,30544,15233,10010
54,54.0,6443,2266,5791,5219,5603,3920,7142,5256,5255,8046,3949,1900,5751,8165,1921,3984,6549,9667,4421,1277,5084,5586,5437,2231,West 125th Street,3881,5492,7546,2227,7681,5037,Y,5486,7855,5483,2388
44,44.0,7476,7816,10030,13498,9213,10327,8685,9879,13250,19064,12143,5608,19400,20010,10246,5749,15642,18822,1596,8366,16629,9577,0,6058,Eighth Avenue,15618,4423,23290,8389,13671,11739,N,12536,16136,8346,3841
56,56.0,5056,1520,4671,4174,5567,3620,4679,6194,5254,7544,3281,1307,5131,8257,1071,4881,3794,7409,3453,1032,4725,5704,4361,1375,West 181st Street,3257,3926,5562,1343,7394,6786,Y,6307,8364,6295,1212
112,112.0,50,162,123,100,71,117,71,144,114,338,127,82,212,87,218,78,92,349,0,83,85,108,0,71,Willis Avenue Bridge,73,79,214,109,178,90,N,181,102,158,78
7,7.0,4866,1649,6688,4461,5551,3324,4565,4294,6961,7894,2865,1367,5361,7138,636,3540,3078,6701,3020,1696,5501,6599,4967,1773,Third Avenue,3866,7409,6503,2027,5803,3287,Y,6921,6877,6900,1701
21,21.0,4735,896,3960,2023,1855,2313,2678,3695,482,4588,5106,605,2789,3982,772,1985,2148,4091,2102,795,3097,3463,4416,837,Flatbush Avenue,2446,3047,4188,903,5312,2222,Y,2716,4775,2642,1186
107,107.0,281,424,296,331,369,220,386,298,327,606,321,222,389,682,181,245,96,579,0,162,172,348,0,186,University Heights Bridge,145,308,343,331,487,196,N,290,538,320,259
78,78.0,213,1009,742,112,222,1788,238,296,463,1081,108,669,2296,463,380,79,1603,960,857,451,62,300,0,401,Jackson Avenue,1718,288,408,707,382,1372,N,522,319,326,326
16,16.0,2894,1958,2282,2147,3157,1827,2533,3235,1113,4884,1703,1268,3139,4858,1681,1971,2012,6095,0,2086,2517,3267,2404,2309,Church Avenue,1838,1885,4737,2441,3962,1987,Y,2368,4764,2040,2265
36,36.0,6569,4437,7116,4098,5350,4877,3907,7564,9308,13111,2361,5462,7018,9628,3110,5281,6432,11809,1337,3085,12748,6990,7029,4357,Broadway,5383,6513,15554,6274,11912,3884,Y,8126,11032,7720,4644
113,113.0,64,12,8,16,49,0,55,40,21,40,34,26,0,45,30,23,0,31,0,37,24,16,0,10,Triborough Bridge (Manhattan span),0,66,44,7,200,0,N,24,39,21,36
37,37.0,6147,2122,5003,5804,8376,5391,5390,7064,4690,11244,4592,2086,6730,8878,1293,5207,4249,9566,3555,1620,4111,6034,4907,1999,Broadway,4752,4236,5674,1962,8454,4966,Y,4663,8750,5944,2447
76,76.0,590,151,385,414,1241,599,636,555,197,975,649,455,798,1007,413,447,652,1008,563,511,565,607,0,444,Fresh Po Road,619,514,965,499,1028,517,N,376,919,346,509
26,26.0,1496,3887,1582,1024,2432,0,2572,1852,3362,4245,3066,2850,0,3458,2636,1383,0,6873,860,2519,1478,2367,1765,2259,Jay Street,0,962,6321,3166,4956,0,Y,2353,8284,2635,2384
66,66.0,6787,8352,8095,7523,4718,6196,7042,8928,11446,22568,7527,5885,13784,17964,8627,5385,8475,20989,2279,4880,14386,9578,0,7109,Sixth Avenue,9144,8340,20504,9078,23605,4826,N,7483,22076,8578,7565
82,82.0,6510,2520,6579,8784,4723,6312,7886,7097,5932,8652,8266,2450,5318,8323,1444,5867,6908,7998,5160,1563,7615,8554,6409,1644,Main Street,4845,6584,5818,2782,4706,6156,Y,7963,6559,6689,1942
2,2.0,1477,2006,2311,1522,1912,1867,1409,1832,1875,4790,1971,1233,4227,3333,1136,1304,1655,3890,1287,1351,1183,2288,1576,1734,East 161st Street,2168,2762,3754,1848,3283,1770,Y,2832,3283,2548,1007
67,67.0,4951,5643,6798,7303,6298,5630,5245,5974,8700,13831,9375,4125,11165,12448,6100,5383,6283,12929,0,4052,6120,6575,0,3580,Seventh Avenue,5535,8703,13179,6066,20666,4210,N,6408,18116,7043,4730
72,72.0,3412,1341,2319,3367,3457,3207,2710,3742,3408,5667,3142,1244,4480,5929,1058,2782,3180,5683,2519,1236,3500,3188,3023,1406,37th Avenue,3022,2574,4398,1256,5184,3348,Y,2787,4116,2305,1361
11,11.0,2611,3567,2925,2682,3858,2065,3436,2709,2641,4217,2519,2583,4522,4018,3259,2944,2239,4642,2452,2233,1917,3242,2966,2713,7th Avenue,1986,2212,3801,3108,3900,1935,Y,2450,3881,2520,2888
90,90.0,2529,469,1632,2362,2171,1398,2092,2182,2576,2035,1790,1063,1761,2350,481,2591,3223,2290,1147,368,2180,2121,0,356,Queens Boulevard,1859,3145,2795,422,2631,1631,N,1957,2593,1744,492
42,42.0,5193,9358,9351,4689,6480,5696,5715,7617,12937,17425,6239,8083,13406,16756,6149,6303,5810,17327,2127,8306,4885,6703,5619,7149,East 42 Street,5809,5006,16133,9241,13819,3545,Y,6279,17256,6400,9320
