loc,may_19_pm,oct_20_am,sept_12_md,sept_13_am,sept_17_pm,may_15_am,oct_20_pm,sept_11_md,oct24_am,sept_16_am,may_22_am,may_21_am,may_15_pm,sept_09_am,sept_15_md,may_16_am,borough,may_21_pm,may_11_md,may_19_am,may_14_pm,oct_22_pm,may25_pm,may_18_md,may_09_pm,sept_11_am,from_stree,the_geom,oct_23_pm,may25_md,may_08_pm,may_14_md,may_15_md,may_14_am,sept_12_am,may_17_md,oct_21_am
101.0,0,0,2848,641,4015,631,0,2140,816,604,567,354,3173,1259,3308,365,East River Bridges,2618,2979,0,6493,2693,8471,6037,2670,646,midpoint,"{'type': 'Point', 'coordinates': [-73.99669788343083, 40.70597016498046]}",2921,4654,2641,6049,3835,618,614,4713,531
80.0,9483,610,7293,1430,10284,1215,4129,9834,1293,1326,893,801,6715,1149,4798,1280,Queens,6364,7961,1238,10063,4620,5074,7393,9724,1363,162 Street,"{'type': 'Point', 'coordinates': [-73.79726496612192, 40.704505550443635]}",5939,4627,8011,7273,4764,1359,1414,5155,1072
38.0,6598,832,4144,8232,9937,8324,1302,4674,3239,7639,4615,1316,9689,8091,1696,6923,Manhattan,2643,2677,3075,10248,5645,5989,3630,10866,14456,West Broadway,"{'type': 'Point', 'coordinates': [-74.01009312926121, 40.715904559004244]}",6100,2478,10440,1580,2422,8140,8185,2994,4604
33.0,0,119,493,123,295,111,384,425,175,130,159,200,295,100,348,110,Brooklyn,394,380,0,260,398,516,465,186,123,Beard Street,"{'type': 'Point', 'coordinates': [-74.01511472616954, 40.67546559688342]}",348,689,380,350,468,68,112,606,140
3.0,11739,972,7421,2651,12388,2382,6976,8140,1689,2422,1501,942,11216,2387,9072,2540,Bronx,5576,9167,1625,12490,6572,4936,7066,8374,2679,Valentine Avenue,"{'type': 'Point', 'coordinates': [-73.89535781584335, 40.86215460031517]}",6880,4688,8013,6339,7574,2699,2704,6499,1798
95.0,0,188,1051,421,781,281,338,347,610,354,277,348,887,188,429,352,Queens,689,795,0,687,500,731,321,564,243,Queens Boulevard,"{'type': 'Point', 'coordinates': [-73.84840699076847, 40.72272482164015]}",1693,596,620,356,468,251,462,470,242
114.0,0,0,569,92,519,189,0,936,604,159,235,237,539,43,581,160,Harlem River Bridges,405,70,0,527,146,495,351,213,62,midpoint,"{'type': 'Point', 'coordinates': [-73.93686603590555, 40.78611224350854]}",1071,223,203,312,312,164,102,312,188
35.0,7302,707,1341,3758,8303,4177,1248,1681,2547,4041,2143,1158,6445,2421,1411,4632,Manhattan,2577,853,4100,5845,3643,4670,1756,5954,4254,Beaver Street,"{'type': 'Point', 'coordinates': [-74.01155687409947, 40.70463665187375]}",4095,1423,7042,1149,993,3666,4302,1715,1736
88.0,0,196,1630,296,2299,459,858,1419,498,358,270,173,2163,256,1676,330,Queens,1623,1319,0,1360,1571,3766,1977,1007,255,37th Avenue,"{'type': 'Point', 'coordinates': [-73.83274555228842, 40.76053254069111]}",2280,4632,995,1509,1694,271,312,1753,227
6.0,1881,511,1059,963,1872,839,1459,859,684,982,718,500,2023,599,1161,767,Bronx,878,891,694,2035,1175,1558,956,1271,802,East 164th Street,"{'type': 'Point', 'coordinates': [-73.92087824799184, 40.83015855511035]}",1035,849,1554,1042,1059,858,936,925,919
98.0,2139,395,943,1068,1679,914,651,654,800,1148,699,314,2046,1044,1032,1090,Staten Isla,520,838,1358,1771,833,836,1333,1981,1037,50' north of Richmo Terrace,"{'type': 'Point', 'coordinates': [-74.0752448014028, 40.64298352630176]}",1092,499,1871,829,470,933,1206,992,753
110.0,0,0,170,341,589,356,0,231,364,410,337,245,542,214,223,238,Harlem River Bridges,342,240,0,501,538,464,239,331,295,midpoint,"{'type': 'Point', 'coordinates': [-73.9331330278822, 40.814131067977755]}",357,207,148,194,193,344,418,237,348
97.0,0,55,719,603,654,496,238,428,415,529,344,95,616,675,405,530,Staten Isla,240,484,0,462,590,677,364,814,502,Hylan Boulevard,"{'type': 'Point', 'coordinates': [-74.1108725293572, 40.57107102644238]}",752,741,571,386,484,425,611,363,533
34.0,0,322,1406,849,3996,487,938,1469,1135,838,875,481,1799,977,1877,930,Brooklyn,1170,1232,0,3362,4281,6013,3408,995,732,Front Street,"{'type': 'Point', 'coordinates': [-73.98960330219742, 40.70286152715002]}",1713,4283,1476,1691,1588,737,257,2340,632
55.0,8860,724,5285,2176,9186,1935,1975,3514,2779,2193,1853,1306,8995,2047,4751,2150,Manhattan,5804,4963,2168,11953,0,7523,5848,6047,1949,Hudson Street,"{'type': 'Point', 'coordinates': [-74.00384095197924, 40.740305392828965]}",7174,4792,6274,6519,4635,5272,2024,5170,1507
31.0,3071,292,2534,1791,2445,938,2329,1230,353,844,528,230,2343,664,2251,636,Brooklyn,2030,2657,485,2262,1588,2062,2020,3753,518,Bristol Street,"{'type': 'Point', 'coordinates': [-73.91307856842978, 40.669334561930114]}",1986,1645,3372,1622,2222,672,840,2244,573
41.0,4692,1045,8102,2930,19584,3462,4787,7005,2297,3979,2241,1443,13830,3135,6103,3017,Manhattan,7443,9130,1704,12888,10237,8684,6924,17128,2803,Fifth Avenue,"{'type': 'Point', 'coordinates': [-73.99265748471083, 40.73559926423828]}",8750,5215,11119,8876,9616,3029,2730,10204,2181
23.0,11619,875,6033,1981,11406,2006,5336,5690,1492,2289,1200,956,11648,1330,5037,2045,Brooklyn,4438,6993,1952,10265,7814,7387,6617,11949,1507,Lawrence Street,"{'type': 'Point', 'coordinates': [-73.98588670734839, 40.69087186438648]}",8354,4201,15733,6022,7232,1865,1791,6073,1424
18.0,6108,1017,3863,1952,5129,1761,2672,4100,2069,2308,1623,1284,4714,1223,3163,2003,Brooklyn,3320,3887,1901,4426,3801,4911,3937,4225,2096,Atlantic Avenue,"{'type': 'Point', 'coordinates': [-73.99249336775775, 40.68942537824676]}",4243,3756,3486,4856,7496,1844,1932,4713,1819
28.0,4199,800,4419,1247,4121,1404,2190,3754,1401,1577,1155,987,4932,1249,2182,1283,Brooklyn,2228,3659,1508,4766,2705,3863,3240,4089,1595,Henry Street,"{'type': 'Point', 'coordinates': [-73.99336426671383, 40.69453486150852]}",3266,2996,4318,2946,3042,1389,1482,3232,1103
22.0,0,498,1727,759,2678,699,1714,1336,808,808,621,527,2090,539,1486,714,Brooklyn,1886,1568,0,1795,2166,2263,2618,1499,513,St. Marks Avenue,"{'type': 'Point', 'coordinates': [-73.97390965382397, 40.67918699313476]}",2095,1747,1675,1920,1699,631,645,1794,684
69.0,0,1357,5097,4311,12806,3675,3366,5309,3690,4669,3460,1959,12228,3549,4924,4446,Manhattan,5948,4276,0,15305,9959,11258,7613,9975,3626,50th Street,"{'type': 'Point', 'coordinates': [-73.98589867014988, 40.76257065006476]}",9607,6203,10656,8567,8666,4178,3834,7899,2705
73.0,8641,1211,6132,2674,8450,2640,5004,5022,1879,2905,1980,1534,8479,2545,6037,2868,Queens,7625,5125,2016,8668,6186,5338,4252,10839,2649,37th Avenue,"{'type': 'Point', 'coordinates': [-73.88412639509386, 40.74873155074409]}",6345,4639,6851,4657,5501,2510,2642,6133,2272
45.0,16971,1085,14405,3951,19551,4113,3180,15946,3362,4360,3139,1669,26831,8483,11320,4443,Manhattan,8766,12370,3892,20639,0,15485,16299,20508,3968,East 54th Street,"{'type': 'Point', 'coordinates': [-73.97514418621735, 40.761353610911776]}",14804,9925,25732,16089,12417,3616,3472,11394,1966
93.0,0,481,4250,1179,4770,951,3688,3790,1088,1047,677,543,5907,1113,3609,1081,Queens,3831,3917,0,5743,3320,2967,3853,5290,1050,31st Avenue,"{'type': 'Point', 'coordinates': [-73.91804029865675, 40.76015497952589]}",3704,2677,6034,4660,4299,1102,1212,3270,777
8.0,5007,728,3851,1479,5520,1512,3556,2360,1227,1377,1263,763,4333,1461,3092,1638,Bronx,4344,2985,1305,5166,3493,3085,3391,3490,1689,Pelham Parkway South,"{'type': 'Point', 'coordinates': [-73.86767352599497, 40.85558871971955]}",3891,2193,4798,2540,3122,1495,1591,3420,1108
32.0,2644,691,1825,1618,2840,1576,1952,1395,1203,1927,1168,770,3211,1676,1497,1845,Brooklyn,1791,1893,1514,2627,2461,2696,1449,3094,1932,East 14th Street,"{'type': 'Point', 'coordinates': [-73.95475091689498, 40.58754340485192]}",2528,1344,3289,1366,1220,1418,1729,1374,1071
