objectid,may_21_md,oct_22_am,may_18_pm,sept_18_pm,oct_23_am,sept_08_am,sept_07_am,may_18_am,sept_17_am,oct24_pm,sept_15_am,sept_14_pm,oct_21_pm,to_street,oct_23_md,may_23_p_m,may_13_pm,sept_16_pm,sept_18_md,may_07_pm,may_10_am,sept_14_am,sept_11_pm,june_24_am,sept_10_pm,may_23_am,may_23_md,sept_09_pm,may_17_pm,sept_12_pm,may_13_am,june_24_md,may_07_am,sept_08_md,june_24_pm,may_16_pm,may25_am,sept_14_md
14,3315,3033,7961,7524,3187,1951,1875,2938,2566,4835,2714,7600,5750,North 6th Street,4335,7657,6527,8301,7034,4462,2179,3463,5692,1094,5090,2712,4914,5136,8736,6429,2300,4194,1852,4048,4587,6058,3524,5494
4,1161,1448,2892,2682,1404,3020,1360,1648,2453,2474,2256,3425,1978,Rochambeau Avenue,807,2280,3981,2771,1693,2673,2954,2382,2836,1394,3006,1398,1303,3135,3130,3500,2052,1190,764,1662,2023,2944,1261,1339
1,1710,745,4502,4464,935,1125,734,1271,1111,4097,1204,4646,2807,Naples Terrace,1745,5018,4710,3642,2967,4094,1010,1450,3820,901,4119,1897,2496,4262,5893,4315,1210,2052,1189,3420,3482,4531,811,2996
109,337,136,502,493,129,89,158,162,235,419,193,526,414,,289,355,897,563,284,200,70,197,219,129,197,127,234,216,457,836,250,182,132,99,342,456,173,386
49,1853,3352,9699,10451,3298,4231,4251,4218,4656,7213,5870,11716,6341,East 58th Street,3511,6930,12682,12007,3828,21634,4123,4298,11014,3386,11880,3083,3330,10679,12400,12345,4138,2621,4502,5962,7100,12301,3208,5628
29,1356,830,2237,2296,962,0,1129,1392,1495,2418,1453,1561,1997,Clinton Avenue,1202,2014,2214,2089,1724,0,660,812,2129,722,1315,944,1120,1272,1719,2223,1182,1201,0,0,1849,2481,818,2025
74,2219,807,4454,4906,1016,705,514,700,866,4268,669,4566,3451,70th Road,3066,4015,5334,3818,2908,4356,657,840,4435,967,4039,781,3428,4407,5835,4530,995,3116,622,2469,4485,5007,927,3357
79,1329,613,3589,2516,890,735,639,887,1625,3761,769,2948,2527,149th Street,2172,2498,3245,3328,2302,3336,651,530,3152,819,1942,644,1879,3324,3599,2766,751,1981,813,1896,2914,3171,808,1807
40,2390,1220,4772,4010,1063,958,1433,1851,1634,4381,1557,4480,3643,Ludlow Street,2939,4128,4415,4847,3034,2733,940,1636,2606,1055,2912,1077,2868,4708,4534,4262,1472,2657,1085,1635,3672,5086,1158,2626
108,162,144,455,420,155,209,224,251,459,397,423,664,374,,174,355,485,714,314,197,166,404,472,172,409,124,224,478,497,460,267,198,103,168,282,518,148,585
77,1271,872,2556,2820,841,923,1429,1015,1131,2718,982,3240,2477,170th Street,1888,3187,2973,3719,2032,3280,889,668,3531,570,3997,1055,1871,3811,3545,3427,1211,1453,1693,1553,2034,3577,868,1791
13,1093,475,2219,2133,578,411,356,581,603,2269,498,1497,1888,Smith Street,1985,2301,1637,1706,1466,889,387,518,1175,410,1385,502,1610,902,2253,1182,442,1314,357,984,2002,1916,569,1340
47,2536,2416,6681,7838,3665,5041,3446,3191,3625,5509,4127,7212,4357,Nassau Street,4176,7477,8727,6740,4297,9162,3922,3457,10248,2566,8945,3959,4127,6708,9223,9180,4543,2435,4530,2043,5882,8459,2871,1856
52,912,1275,4381,4631,5179,3362,4982,1554,2306,2484,1527,5095,1566,Thames Street,6199,2746,4530,4403,3062,7164,2224,2346,4312,1310,4424,1271,1168,5836,4475,4897,2216,1763,4552,1688,2880,4073,1436,1738
15,2524,1189,6064,5788,1390,1828,1215,1566,1575,5044,1687,6397,4087,Brighton 5th Street,4031,5410,5960,5930,4451,5968,1332,1752,5520,1286,6080,1332,4155,5590,6544,5272,1515,3646,1204,5920,5523,5257,1276,4453
10,1429,592,2252,2297,604,487,422,743,905,2284,922,2390,2334,President Street,2389,2464,2764,2911,2196,2207,582,955,2848,570,3063,657,2456,2310,2570,3255,688,1615,504,2321,2185,2751,669,1962
103,34,154,622,636,168,75,64,164,176,595,176,283,581,,430,634,313,260,520,131,60,124,102,252,245,173,144,198,542,305,134,512,82,85,583,277,208,201
99,31,46,358,246,116,123,138,209,169,156,167,231,151,,196,165,186,216,186,129,139,158,140,67,245,90,104,223,224,161,124,78,134,151,141,199,64,159
17,1252,2001,2855,2625,1922,2014,1324,2056,2598,3088,1608,2878,2336,Rugby Road,2232,2818,2936,2747,1512,2459,2110,1876,3097,1793,2997,1711,1386,2345,3015,3066,2060,1164,1708,1961,2650,2634,1834,1486
111,49,80,382,377,56,66,88,91,229,218,198,360,135,,29,197,332,342,71,126,96,196,230,76,201,107,85,166,352,374,179,50,49,73,172,324,80,188
61,1411,3519,11973,9956,3608,5547,6329,5999,5148,8090,5920,7625,4716,51st Street,2038,7243,11707,8838,3119,8447,5302,4063,10387,4879,7303,3477,1972,11033,12548,11225,5793,2363,5504,2501,7692,10549,4056,2312
24,2102,446,3197,2669,500,793,854,724,1004,2194,477,4006,2333,Varet Street,1405,2234,4435,2526,3261,3732,867,944,4959,451,2710,472,1969,3071,3061,4250,818,1647,864,3020,2056,3431,492,3491
65,6181,3400,15500,25452,3173,5006,4759,3426,5221,14834,3311,16284,10583,51st Street,13164,16049,20567,20399,13558,18855,4360,3900,18865,4160,16915,3091,15490,20562,17620,25523,4375,10729,5565,14623,18178,23382,3073,10995
89,476,1002,2433,2429,1026,2356,6876,1682,1368,2515,1947,2503,1371,,612,1558,4468,2061,626,9070,1769,1704,4926,1155,6977,1126,454,4323,2496,1904,2080,652,6569,2273,2709,2338,1030,648
84,1080,574,1006,1186,591,891,661,655,813,1646,730,2827,1882,Central Avenue,1103,1967,2003,1791,1153,2468,727,1017,3664,595,1543,814,1250,1952,2248,2119,658,1129,927,1734,1519,1581,768,2025
106,548,538,1046,973,616,420,271,481,521,782,566,818,797,,521,805,976,1034,588,782,406,530,1117,427,926,501,540,924,1081,1084,478,367,360,751,667,981,509,594
59,833,2021,9199,10349,3246,2953,3043,3371,2696,7497,4128,12687,0,Fifth Avenue,1493,8899,11828,13021,2330,14939,3972,5009,9064,2650,8928,3708,1894,10736,12022,10003,4463,1624,3897,2389,8200,14037,2685,2559
92,5851,3115,12760,12321,5988,9044,9198,3266,3415,14621,3759,12683,10098,Union Street,8459,12242,9307,11927,7303,10566,10891,3955,14081,4187,14574,6464,7781,15500,11835,13446,4380,9848,7893,7078,12202,12573,2323,7966
46,2255,1013,6451,5535,976,1598,1290,1509,1336,3104,1451,5461,2607,Division Street,3072,2889,4688,4059,3962,7481,1353,1517,5186,1141,4606,971,1354,6998,6610,5951,1586,1774,1373,5347,2881,4788,971,3043
75,1040,339,1558,2607,422,513,597,762,632,1941,781,2136,1227,41st Avenue,1468,1673,1807,2479,1481,1578,553,815,1836,451,1739,316,1721,1506,1484,1699,496,1446,549,1160,2069,2149,535,950
63,729,4032,9687,10011,4331,6059,7868,5166,5576,10500,6279,8301,4556,51st Street,1278,7135,10628,9465,1328,10653,5342,4229,9879,5509,10317,4116,952,10971,13654,13358,6103,617,6824,1460,10255,10165,5409,1001
50,1408,792,3779,3191,740,1014,680,770,786,2415,2235,2983,0,East 72 Street,3619,2907,3183,6911,1510,3760,706,739,2998,659,3114,735,1252,3250,2681,3899,729,1325,667,4099,2166,2988,865,1630
43,1676,1267,5073,5929,1091,975,952,905,1212,4471,1183,5118,3763,Greene Street,2970,17928,5771,6299,3014,5422,1035,1200,5290,883,5350,6470,9492,5810,4866,6025,1111,1636,944,2947,2799,5138,784,2335
86,1621,376,1796,1922,472,354,308,1286,880,2122,1046,2789,1866,Centre Street,1819,2059,3181,2761,1232,3161,586,522,2949,393,3363,354,1958,3305,2820,2654,406,1999,426,2517,1770,2668,346,2535
51,5752,4877,29618,30194,1356,8407,8803,12171,9523,16054,9103,27744,13607,West 33rd Street,1139,12508,26609,38885,13037,25156,12189,12246,23015,6347,22613,5005,6010,27632,24343,28208,11898,5180,10084,11704,15261,31856,7327,10281
71,2396,279,3877,2658,423,882,717,455,1165,1900,987,4106,2477,Jamaica Avenue,2410,879,5050,3859,2232,3972,757,848,5450,359,7848,315,829,5177,5360,5531,895,1915,824,2237,2353,3676,341,2048
87,329,213,1029,1027,268,254,306,278,283,923,301,965,549,,702,617,888,725,619,706,258,307,860,175,816,209,417,672,1330,567,280,414,302,440,664,1145,200,415
25,927,372,1373,1086,666,488,918,357,606,1470,725,1537,1377,Graham Avenue,782,1371,1596,2573,1301,1772,495,573,2174,419,1446,419,865,1468,2787,1249,479,918,401,1392,1179,2094,430,1363
