pops_number,building_address_with_zip,latitude,longitude,bbl,:@computed_region_92fq_4b7q,zip_code,hour_of_access_required
M060028,"141 EAST 48 STREET, New York, NY 10017",40.755138,-73.972442,1013037501.0,51,10017,24 Hours
M080056,"353 EAST 83 STREET, New York, NY 10028",40.775349,-73.9509,1015460023.0,1,10028,24 Hours
M060082,"401 EAST 34 STREET, New York, NY 10016",40.743838,-73.972537,1009660001.0,51,10016,24 Hours
M060017,"222 EAST 39 STREET, New York, NY 10016",40.748203,-73.974848,1009190042.0,51,10016,24 Hours
M080006,"733 PARK AVENUE, New York, NY 10021",40.770092,-73.964136,1014050072.0,51,10021,24 Hours
M080019,"300 EAST 62 STREET, New York, NY 10065",40.762203,-73.96279,1014367501.0,1,10065,24 Hours
M060039,"212 EAST 42 STREET, New York, NY 10017",40.750107,-73.973982,1013150044.0,51,10017,24 Hours
M050055,"1133 SIXTH AVENUE, New York, NY 10036",40.756057,-73.983866,1009960029.0,51,10036,24 Hours
M070006,"201 WEST 70 STREET, New York, NY 10023",40.777798,-73.982788,1011620029.0,19,10023,24 Hours
M060012,"200 EAST 24 STREET, New York, NY 10010",40.739149,-73.982513,1009040050.0,50,10010,24 Hours
M050038,"1633 BROADWAY, New York, NY 10019",40.762107,-73.984702,1010220043.0,10,10019,24 Hours
M080039,"171 EAST 84 STREET, New York, NY 10028",40.777876,-73.955231,1015137501.0,1,10028,24 Hours
M080098,"422 EAST 72 STREET, New York, NY 10021",40.766853,-73.955026,1014667501.0,1,10021,24 Hours
M110004,"225 EAST 126 STREET, New York, NY 10035",40.804311,-73.93422,1017910001.0,35,10035,
M050071,"108 FIFTH AVENUE, New York, NY 10011",40.737289,-73.993043,1008177501.0,10,10011,24 Hours
M050047,"1211 SIXTH AVENUE, New York, NY 10036",40.758664,-73.982399,1010000029.0,51,10036,24 Hours
M050064,"1 PENNSYLVANIA PLAZA, New York, NY 10119",40.751263,-73.992374,1007830070.0,10,10119,24 Hours
M060045,"212 EAST 47 STREET, New York, NY 10017",40.753272,-73.971659,1013207506.0,51,10017,24 Hours
M110001,"175 EAST 96 STREET, New York, NY 10128",40.785712,-73.949629,1016240033.0,1,10128,24 Hours
M050048,"1185 SIXTH AVENUE, New York, NY 10036",40.757899,-73.982519,1009990029.0,51,10036,24 Hours
M050058,"6 EAST 43 STREET, New York, NY 10017",40.753507,-73.979798,1012770008.0,51,10017,24 Hours
M050091,"1535 BROADWAY, New York, NY 10036",40.758627,-73.986197,1010177501.0,10,10036,24 Hours; Restricted Hours
M050111,"172 MADISON AVENUE, New York, NY 10016",40.747406,-73.983637,1008637502.0,51,10016,24 Hours
M010008,"200 WATER STREET, New York, NY 10038",40.70741,-74.004736,1000750001.0,32,10038,24 Hours
M050024,"535 MADISON AVENUE, New York, NY 10022",40.76043,-73.973277,1012900021.0,51,10022,24 Hours
M080061,"345 EAST 93 STREET, New York, NY 10128",40.78178,-73.946256,1015560023.0,1,10128,24 Hours
M010033,"160 WATER STREET, New York, NY 10038",40.706804,-74.005879,1000700043.0,32,10038,24 Hours
M010042,"17 BATTERY PLACE, New York, NY 10004",40.7056,-74.015837,1000157501.0,32,10004,24 Hours
M050022,"1350 SIXTH AVENUE, New York, NY 10019",40.762575,-73.977778,1012700071.0,51,10019,24 Hours
M080008,"200 EAST 61 STREET, New York, NY 10065",40.762366,-73.965591,1014157501.0,51,10065,Restricted Hours
M050086,"65 EAST 55 STREET, New York, NY 10022",40.760886,-73.972133,1012910028.0,51,10022,24 Hours
M060031,"599 LEXINGTON AVENUE, New York, NY 10022",40.757866,-73.970752,1013070023.0,51,10022,24 Hours
M040011,"525 EIGHTH AVENUE, New York, NY 10018",40.753821,-73.992669,1007600039.0,10,10018,24 Hours
M080055,"303 EAST 83 STREET, New York, NY 10028",40.776028,-73.952651,1015460001.0,1,10028,24 Hours
K010001,"334 WALLABOUT STREET, Brooklyn, NY 11206",40.70116,-73.948665,3022657501.0,38,11206,
M060086,"353 EAST 17 STREET, New York, NY 10003",40.733602,-73.981432,1009237501.0,50,10003,24 Hours
M070011,"130 WEST 67 STREET, New York, NY 10023",40.774875,-73.983233,1011380053.0,19,10023,24 Hours
M070030,"40 COLUMBUS AVENUE, New York, NY 10023",40.770871,-73.984295,1011320001.0,10,10023,
M060072,"300 EAST 59 STREET, New York, NY 10022",40.760167,-73.964228,1013510001.0,1,10022,24 Hours
M020006,"246 SPRING STREET, New York, NY 10013",40.725306,-74.005408,1004917503.0,10,10013,24 Hours
M010031,"17 STATE STREET, New York, NY 10004",40.702892,-74.013878,1000090014.0,32,10004,24 Hours
M060006,"166 EAST 34 STREET, New York, NY 10016",40.745467,-73.978675,1008890039.0,50,10016,24 Hours
M010056,"43 PARK PLACE, New York, NY 10007",40.713726,-74.009794,1001260008.0,32,10007,24 Hours
M080013,"265 EAST 66 STREET, New York, NY 10065",40.765598,-73.96142,1014210021.0,51,10065,24 Hours
M050036,"650 FIFTH AVENUE, New York, NY 10019",40.75977,-73.976804,1012670041.0,51,10019,Restricted Hours
