bronx_cooperatives_comparable_properties_boro_block_lot,bronx_cooperatives_comparable_properties_address,latitude,longitude,comparable_rental_3_building_classification,comparable_rental_1_net_operating_income,comparable_rental_2_full_market_value,bronx_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_2_address,bronx_cooperatives_comparable_properties_gross_sqft,bronx_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_1_expense_per_sqft,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_2_gross_income_per_sqft,bronx_cooperatives_comparable_properties_market_value_per_sqft,bronx_cooperatives_comparable_properties_full_market_value,comparable_rental_2_estimated_expense,community_council,comparable_rental_1_total_units,comparable_rental_3_distance_from_coop_in_miles
2-05723-0094,"{'latitude': '40.877536330964', 'longitude': '-73.91792310986', 'human_address': '{""address"": ""510 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.877321,-73.917959, ,379201,991000,11.88,"{'latitude': '40.878974479573', 'longitude': '-73.907338647933', 'human_address': '{""address"": ""3044 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",43000,510840,6.91,0.61,10.73,41.6,1789000,174998,11.0,70, 
2-05726-0673,"{'latitude': '40.879603218091', 'longitude': '-73.912411560798', 'human_address': '{""address"": ""2750 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879943,-73.912213, ,564795,3432000,11.54,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2700 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",93060,1073912,5.33,0.38,11.29,37.83,3520000,539876,11.0,96, 
2-03279-0016,"{'latitude': '40.866423581366', 'longitude': '-73.885204364523', 'human_address': '{""address"": ""398 OLIVER PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.866485,-73.885237,D7-ELEVATOR,199017,2145000,11.02,"{'latitude': '40.869575835091', 'longitude': '-73.883264102385', 'human_address': '{""address"": ""2976 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",42975,473585,6.47,0.2,11.02,33.79,1452000,376775,15.0,36,0.18
2-05778-0879,"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888544,-73.90316, ,415262,1875000,11.1,"{'latitude': '40.884963636937', 'longitude': '-73.899586402077', 'human_address': '{""address"": ""3816 REVIEW PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",150000,1665000,4.92,0.43,10.95,30.8,4620000,406088,11.0,55, 
2-03175-0010,"{'latitude': '40.86302792518', 'longitude': '-73.898419606109', 'human_address': '{""address"": ""55 190 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D1-ELEVATOR,260131,1680000,11.96,"{'latitude': '40.86296527441', 'longitude': '-73.898273420979', 'human_address': '{""address"": ""65 190 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",55440,663062,6.73,0.0,12.38,34.29,1901000,321198,,54,0.06
2-05796-0135,"{'latitude': '40.88844553753', 'longitude': '-73.909190566716', 'human_address': '{""address"": ""3656 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888123,-73.909323,D3-ELEVATOR,583456,2772000,12.64,"{'latitude': '40.88632086694', 'longitude': '-73.908793797665', 'human_address': '{""address"": ""3555 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",73911,934235,6.15,0.05,12.25,37.8,2794000,335602,11.0,64,0
2-02931-0098,"{'latitude': '40.83190131863', 'longitude': '-73.902344298592', 'human_address': '{""address"": ""605 169 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,, ,106606,915000,10.36,"{'latitude': '40.870266345425', 'longitude': '-73.904440241983', 'human_address': '{""address"": ""160 KINGSBRIDGE ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",41580,430769,5.36,2.75,10.36,23.98,997000,189192,,36, 
2-03627-0040,"{'latitude': '40.820116404128', 'longitude': '-73.87619412647', 'human_address': '{""address"": ""820 BOYNTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.82007,-73.87622,D7-ELEVATOR,139237,3592000,10.76,"{'latitude': '40.821021276082', 'longitude': '-73.89565834556', 'human_address': '{""address"": ""955 163 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",256750,2762630,7.03,1.03,10.76,24.1,6188000,1022326,17.0,25,1.03
2-02684-0074,"{'latitude': '40.814631976912', 'longitude': '-73.899936085143', 'human_address': '{""address"": ""986 LEGGETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.814645,-73.899915,C7-WALK-UP,116827,286000,8.56,"{'latitude': '40.815931850688', 'longitude': '-73.899100996573', 'human_address': '{""address"": ""744 BECK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",16950,145092,3.85,0.12,8.77,27.26,462000,86285,17.0,42,0.32
2-02967-0006,"{'latitude': '40.835732215568', 'longitude': '-73.891405855244', 'human_address': '{""address"": ""1574 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.835744,-73.891484, ,378461,2367000,13.5,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2280 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",50000,675000,8.73,1.23,12.31,40.26,2013000,286998,17.0,56, 
