latitude,longitude,comparable_rental_2_market_value_per_sqft,bronx_cooperatives_comparable_properties_expense_per_sqft,bronx_cooperatives_comparable_properties_net_operating_income,comparable_rental_3_estimated_expense,census_tract,bin,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_total_units,comparable_rental_2_estimated_gross_income
,,29.36,4.85,223689,"234,792",,,9.45,2-03292-0051,55,570064
40.858285,-73.86658,25.28,5.49,669552,"373,100",330.0,2093353.0,9.76,2-04348-0005,64,677757
40.878891,-73.918231,49.8,6.9,1479116, ,29302.0,2091864.0,13.98,,74,880115
40.829448,-73.918419,23.75,6.04,308835,"430,875",18302.0,2002499.0,9.9,2-02461-0016,94,1237241
40.868418,-73.883589,19.35,5.44,144358,"234,792",415.0,2016582.0,9.87,2-03292-0051,31,301686
,,21.41,7.25,697894, ,,,11.72,,54,605658
40.884511,-73.912362,38.21,4.63,624840,"298,924",297.0,2084126.0,13.06,2-05795-0537,57,888992
40.880351,-73.921025,31.5,5.18,580447,"505,762",29301.0,2083466.0,12.5,2-05787-0137,78,1229714
40.827716,-73.856386,31.01,7.8,666594, ,4001.0,2025666.0,12.75,,20,302025
40.895547,-73.908376,39.1,6.23,1458941,"810,013",30701.0,2085820.0,13.05,2-05920-0670,270,3060447
40.848235,-73.885728,29.04,6.69,47520,"139,240",371.0,2012753.0,10.93,2-03125-0014,11,109850
40.814007,-73.88971,22.95,6.62,228984,"125,719",93.0,2006612.0,12.69,2-02709-0024,22,224243
,,50.1,7.5,22586399,"1,310,877",,,12.75,2-03094-0003,131,1566660
40.855226,-73.887834,21.49,6.87,43751,"135,607",391.0,2012139.0,10.91,2-03099-0006,16,105966
40.820288,-73.893432,38.95,5.95,134694, ,89.0,2005762.0,9.81,,31,401679
,,26.93,4.68,490875,"413,731",,,11.02,2-03281-0077,44,436074
40.856629,-73.875725,29.24,6.02,316954,"397,864",334.0,,10.95,2-04317-0085,78,822706
,,34.26,4.73,780661,"804,540",,,9.6,2-03262-0077,136,1430437
,,31.17,6.63,496314, ,,,10.08,,53,809456
40.825103,-73.875484,37.23,6.36,151011,"289,836",48.0,2023554.0,11.69,2-03866-0005,38,387780
40.884793,-73.908308,32.52,6.51,644365, ,295.0,2084073.0,12.79,,66,629252
40.860771,-73.90465,29.12,7.09,233269, ,253.0,2014559.0,13.62,,95,664987
40.852358,-73.865413,23.62,5.99,368811,"726,466",22404.0,2090368.0,9.64,2-04087-0033,90,822634
40.825437,-73.925209,21.21,5.48,406228,"623,553",63.0,2002901.0,9.82,2-02483-0015,84,823965
,,26.39,6.95,140956,"265,758",,,13.32,2-02609-0046,43,334439
40.876816,-73.918201,22.7,5.37,1059320,"368,300",29302.0,2083244.0,18.19,2-05703-0197,100,1204731
40.905352,-73.896457,26.72,5.3,807720, ,345.0,2091886.0,11.77,,127,1750318
40.89871,-73.897111,38.01,6.7,212220, ,351.0,2096904.0,14.07,,33,304845
40.817721,-73.895441,23.52,7.01,66232, ,89.0,2087653.0,13.49,,20,106284
40.826121,-73.89089,16.82,6.71,68331,"102,120",12701.0,2006047.0,9.96,2-02980-0046,58,412647
40.908632,-73.906499,40.42,8.08,2561737, ,323.0,2086321.0,15.09,,77,1415876
40.89581,-73.875714,39.16,4.65,145838,"315,977",44901.0,2018738.0,11.77,2-03397-0029,65,601392
40.848179,-73.890123,22.25,6.62,57173, ,373.0,2012339.0,10.93,,41,312306
40.854709,-73.884166,29.83,6.45,69017, ,389.0,2012903.0,12.63,,26,221627
40.861182,-73.900159,24.87,6.86,267035,"459,872",23703.0,2013904.0,10.48,2-03173-0005,43,398895
