building_id,facility_name,address_1,natural_gas_use_therms,supermarkets_grocery_gross,medical_office_percent_cooled,supermarkets_grocery_weekly,office_weekly_operating_hours,city,supermarkets_grocery_percent,hotel_presence_of_cooking,address_2,supermarkets_grocery_presence,national_average_source_eui,office_pc_density,bank_financial_institution_2,supermarkets_grocery_walk,fuel_oil_56_use_kbtu,k_12_school_walk_in_refrig,k_12_school_percent_cooled,supermarkets_grocery_number_2,retail_workers_density,energy_star_application_status,multifamily_home_number_of_1,retail_exterior_entrance,indoor_water_use_per_sq_ft,other_gross_floor_area_sq,hotel_onsite_laundry_short,target_site_energy_intensity,other_space_type_name
2654445,Milstein - 201 87th street,201 87th street,151054.6,,,,,Manhattan,,,,,,,,,21992924.94,,,,1.0,No Status Available,405.0,1.0,,,,0.0,
2660306,Deljanin - 61-10 Alderton,61-10 Alderton Street,51782.2,,100.0,,65.0,Queens,,,,,,2.2,,,,,,,1.0,No Status Available,92.0,1.0,,,,0.0,
2661664,Pinnacle - 932 carroll,932 carroll st,47279.7,,,,,brooklyn,,,,,,,,,,,,,,No Status Available,58.0,,,,,0.0,
2657998,Pinnacle - 323 west 96th,323 west 96th street,50877.1,,100.0,,65.0,ny,,,,,,2.2,,,,,,,,No Status Available,172.0,,,,,0.0,
2680639,545 WEST 111TH ST.,545 WEST 111TH ST.,4456.9,,,,,NEW YORK,,,,,,,,,10865602.29,,,,,No Status Available,,,,,,0.0,
2663763,Pinnacle - 520 e21st,520 east 21st street,104909.2,,,,,brooklyn,,,,,,,,,,,,,,No Status Available,102.0,,,,,0.0,
2639015,100 Park Terrace West Owners Corp,100 Park Terrace West,927.0,,,,,NY,,,,,,,,,,,,,,No Status Available,,,,,,0.0,
2664019,RA COHEN 212 WEST 91 STREET,212 WEST 91 STREET,134762.8,,,,,NEW YORK,,,,,,,,,,,,,1.0,No Status Available,363.0,1.0,,,,0.0,
2666533,SW - 120-124 w 183rd,120-124 w 183rd street,,,,,,bronx,,,,,,,,,7545748.41,,,,,No Status Available,57.0,,,,,0.0,
2665524,Stellar 223 2nd Avenue,223 2nd Avenue,,,,,,NY,,,,,,,,,3878031.78,,,,1.0,No Status Available,85.0,1.0,,,,0.0,
2679733,DE 7548 - 151 west 17th,151 west 17th,59971.7,,100.0,,,ny,,,,,,,,,,,,,,No Status Available,51.0,,,,,0.0,
2674045,DE 1594 - 1435 lexington,1435 lexington ave,,,100.0,,,ny,,,,,,,,,7767739.43,,,,1.0,No Status Available,66.0,1.0,,,,0.0,
2693067,DE 1894 - 111-20 73rd ave,111-20 73rd ave,,,100.0,,65.0,queens,,,,,,2.2,,,19411864.04,,,,1.0,No Status Available,120.0,1.0,,,,0.0,
2668262,SW - 3155 grand concourse,3155 grand concourse,,,,,,bronx,,,,,,,,,,,,,,No Status Available,64.0,,,,,0.0,
2680820,Larrin 30-60 Crescent Street,30-60 Crescent Street,58534.5,,100.0,,,Queens,,,,,,,,,,,,,,No Status Available,81.0,,,,,0.0,
2658289,Vantage-34 Hillside Ave,34 Hillside Ave,138870.3,,,,,New York,,,,,,,,,,,,,1.0,No Status Available,185.0,1.0,,,,0.0,
2656222,Wallack Mang- 333 East 79th Street,333 East 79th Steet,,,,,65.0,New york,,,,,,2.2,,,30533955.01,,,,,No Status Available,439.0,,,,,0.0,
2678523,DE 1120 - 138-52 elder ave,138-52 elder ave,72575.0,,,,65.0,queens,,,,,,2.2,,,,,,,,No Status Available,159.0,,,,,0.0,
2667020,SW - 2165 bolton,2165 bolton street,,,,,,bronx,,,,,,,,,5427478.15,,,,,No Status Available,66.0,,,,,0.0,
2679770,DE 7644 - 66 leonard,66 leonard street,19005.8,,,,,ny,,,,,,,,,,,,,1.0,No Status Available,47.0,1.0,,,,0.0,
2233950,FRBNY HO,33 Liberty Street,15852.6,,,,168.0,New York,,,,,311.9,1.64,,,,,,,,No Status Available,,,,47285.0,,73.7,Other
2672687,DE 2076 - 225 e 73rd,225 east 73rd street,,,,,,ny,,,,,,,,,4999662.7,,,,,No Status Available,88.0,,,,,0.0,
2679387,DE 1402 - 45-25 kissena,45-25 kissena boulevard,,,,,65.0,queens,,,,,,2.2,,,,,,,,No Status Available,134.0,,,,,0.0,
2663923,Pinnacle - 3202 nostrand,3202 nostrand ave,88083.3,,,,,brooklyn,,,,,,,,,,,,,,No Status Available,78.0,,,,,0.0,
2665931,SW - 100 e mosholu,100 e mosholu parkway,,,,,,bronx,,,,,,,,,,,,,,No Status Available,49.0,,,,,0.0,
2682219,Gold - 32 Washington Square West,32 Washington Square West,,,,,,New York,,,,,,,,,3932219.74,,,,,No Status Available,31.0,,,,,0.0,
2654628,Milstein 295 Greenwich ct.,295 Greenwich ct.,,,,,,New York,,,,,,,,,,,,,1.0,No Status Available,131.0,1.0,,,,0.0,
2680053,Solow - 525 east 72nd,525 east 72nd street,377461.1,,,,,ny,,,,,,,,,,,,,,No Status Available,414.0,,,,,0.0,
2660185,WALLACK 30 EAST 72ND STREET,30 EAST 72ND STREET,,,100.0,,,NEW YORK,,,,,,,,,4053986.98,,,,,No Status Available,25.0,,,,,0.0,
2664467,Pinnacle - 132-35 sanford,132-35 sanford avenue,,,,,,queens,,,,,,,,,,,,,,No Status Available,204.0,,,,,0.0,
2684258,Clipper - 1750 Ocean Pkwy,1750 Ocean Parkway,58026.0,,100.0,,,Brooklyn,,,,,,,,,,,,,,No Status Available,73.0,,,,,0.0,
2665123,ABRO 55 OVERLOOK TERRACE,55 OVERLOOK TERRACE,,,,,,NEW YORK,,,,,,,,,,,,,,No Status Available,67.0,,,,,0.0,
2662145,Pinnacle - 1834 caton,1834 caton,,,,,,brooklyn,,,,,,,,,,,,,,No Status Available,82.0,,,,,0.0,
2672675,DE 2020 - 83-85 woodhaven blvd,83-85 woodhaven boulevard,175155.1,,,,65.0,Queens,,,,,,2.2,,,,,,,,No Status Available,288.0,,,,,0.0,
2680681,215 WEST 75TH st.,215 west 75th st.,966.0,,,,,New York,,,,,,,,,6684119.42,,,,,No Status Available,,,,,,0.0,
2682327,RY- 10/20/30/40 Richman Plaza,10/20/30/40 Richman Plaza,,,100.0,,,Bronx,,,,,,,,,,,,,,No Status Available,1654.0,,,,,0.0,
2665452,Stellar 105 Haven Avenue,105 Haven Avenue,,,,,,NY,,,,,,,,,,,,,,No Status Available,68.0,,,,,0.0,
2718521,DE2 2446 - 33 West 56 St,33 West 56th Street,,,,,65.0,New York,,,,,,2.2,,,,,,,,No Status Available,51.0,,,,,0.0,
2646139,45 Main Street,45 Main Street,89096.0,,,,67.0,New York,,,,,281.6,2.15,2.45,,,,,,0.94,No Status Available,,1.0,,,,0.0,
2677378,Waterside - 10-35 Waterside,10-35 Waterside Plaza,,,,,65.0,New York,,,,,,2.2,,,,,,,1.0,No Status Available,1101.0,1.0,,,,0.0,
2710741,Gold - 840 8th Ave,840 8th Avenue,119627.4,,,,,New York,,,,,,,,,,,,,1.0,No Status Available,278.0,1.0,,,,0.0,
2692031,DE 1224 - 5 east 22nd,5 east 22nd street,,,,,,ny,,,,,,,,,21806612.66,,,,1.0,No Status Available,425.0,1.0,,,,0.0,
2665877,Stonehenge 235 West 48th Street,235 West 48th Street,,,,,65.0,NY,,,,,,2.2,,,25393795.8,,,,1.0,No Status Available,479.0,1.0,,,,0.0,
2682311,Gold - 359 Hendrix St,359 Hendrix Street,28262.0,,,,,Brooklyn,,,,,,,,,,,,,,No Status Available,54.0,,,,,0.0,
2704649,DE 2964 - 24 Fifth Ave,24 Fifth Avenue,,,100.0,,65.0,New York,,,,,,2.2,,,22492644.22,,,,1.0,No Status Available,420.0,1.0,,,,0.0,
2684668,Clipper - 111 Wadsworth Ave,111 Wadsworth Avenue,,,,,,New York,,,,,,,,,58058957.33,,,,1.0,No Status Available,480.0,1.0,,,,0.0,
2682114,JEMB - 370 7th ave,370 7th ave,,,,,65.0,ny,,,,,274.8,2.2,,,,,,,1.0,No Status Available,,1.0,,,,0.0,
2647943,Nagle (Bogardus),31 Nagle ave.,64269.5,,,,,New York,,,,,,,,,,,,,,No Status Available,,,,,,0.0,
2682035,JEMB - 50 west 34th,50 west 34th street,,,,,65.0,ny,,,,,,2.2,,,42694465.45,,,,1.0,No Status Available,690.0,1.0,,,,0.0,
2669345,Caran Prop.235 W 75th St,235 W 75th St,,,,,,New York,,,,,,,,,,,,,1.0,No Status Available,206.0,1.0,,,,0.0,
2681391,10 Barclay Street,10 Barclay Street,,,,,,New York,,,,,,,,,,,,,,No Status Available,,,,,,,
2661517,Pinnacle - 2440 olinville,2440 olinville ave,,,,,,bronx,,,,,,,,,9859065.4,,,,,No Status Available,83.0,,,,,0.0,
2663732,Vantage- 47-05 45th Street,47-05 45th Street,,,,,,Queens,,,,,,,,,3716515.73,,,,,No Status Available,60.0,,,,,0.0,
2718562,DE2 7608 - 37 Riverside,37 Riverside Drive,,,,,,New York,,,,,,,,,4608222.04,,,,,No Status Available,33.0,,,,,0.0,
2672607,DE 1474 - 350 west 50th,350 west 50th street,,,,,,ny,,,,,,,,,,,,,1.0,No Status Available,654.0,1.0,,,,0.0,
2680528,Solow - 380 madison,380 madison ave,,,,,65.0,ny,,,,,280.2,2.2,,,,,,,1.0,No Status Available,,1.0,,,,0.0,
2682071,RY- 227 Dumont Ave,227 Dumont Ave,,,,,,Brooklyn,,,,,,,,,,,,,,No Status Available,42.0,,,,,0.0,
2680709,Thor Equities 693 5th Ave,693 5th Ave,,,,,65.0,New York,,,,,228.9,2.2,,,,,,,1.0,No Status Available,,1.0,,,,0.0,
2721560,United - 3145 Brighton 4th St,3145 Brighton 4th Street,83608.4,,,,,Brooklyn,,,,,,,,,,,,,1.0,No Status Available,96.0,1.0,,,,0.0,
2805660,DE3 7536 - 15 E 69 St,15 East 69th Street,,,,,,New York,,,,,,,,,,,,,1.0,No Status Available,47.0,1.0,,,,0.0,
2658180,Vantage-620 Lenox Ave,620 Lenox Ave,148923.3,,,,,New York,,,,,,,,,294291.52,,,,,No Status Available,257.0,,,,,0.0,
2662119,Vantage-83-40 Britton Ave,83-40 Britton Ave,40780.2,,,,65.0,Queens,,,,,,2.2,,,,,,,,No Status Available,68.0,,,,,0.0,
2707991,Esquire - 155-31 155th Ave,155-31 155th Avenue,71725.0,,,,,Queens,,,,,,,,,,,,,,No Status Available,118.0,,,,,0.0,
2665923,Stonehenge 210 West 89th Street,210 West 89th Street,,,,,65.0,NY,,,,,,2.2,,,7275407.37,,,,1.0,No Status Available,151.0,1.0,,,,0.0,
2653159,Chestnut-2345 Tiebout Ave,2345 Tiebout Ave,,,,,,Bronx,,,,,,,,,6088062.33,,,,,No Status Available,67.0,,,,,0.0,
2661976,Pinnacle - 85 clarkson,85 clarkson ave,83791.1,,,,,brooklyn,,,,,,,,,,,,,,No Status Available,71.0,,,,,0.0,
2732545,DE2 1330-1 - 196-12 69th Ave,196-12 69th Avenue,28505.0,,,,,Queens,,,,,,,,,8926942.66,,,,,No Status Available,144.0,,,,,0.0,
2682377,Gold - 135 West 23rd St,135 West 23rd Street,118201.1,,,,65.0,New York,,,,,,2.2,,,,,,,,No Status Available,205.0,,,,,0.0,
