daily_task_id,medical_waste,date_worked,gispropnum,napsw,ncrew
1581066,No,2023-04-19T00:00:00.000,B049,1,1
1581795,No,2023-04-20T00:00:00.000,MZ291,0,4
1580774,No,2023-04-18T00:00:00.000,M029,0,2
1581630,No,2023-04-20T00:00:00.000,XZ304,1,2
1581850,No,2023-04-20T00:00:00.000,M156,0,1
1.58e+06,No,2023-04-20T00:00:00.000,,1,2
1581277,No,2023-04-18T00:00:00.000,QZ669,0,4
1581371,No,2023-04-19T00:00:00.000,M277,0,1
1581134,No,2023-04-17T00:00:00.000,B255H,0,1
1581737,No,2023-04-20T00:00:00.000,X150J,1,1
1577163,No,2023-04-12T00:00:00.000,B057,1,2
1580121,No,2023-04-13T00:00:00.000,Q008,1,2
1582575,No,2023-04-17T00:00:00.000,M048,1,7
1581757,No,2023-04-18T00:00:00.000,R160,0,3
1580991,No,2023-04-19T00:00:00.000,MZ21,1,5
1578663,No,2023-04-15T00:00:00.000,,1,1
1579431,No,2023-04-16T00:00:00.000,X155,1,2
1582131,No,2023-04-19T00:00:00.000,M200,0,2
1582687,No,2023-04-16T00:00:00.000,Q015,1,2
1581488,No,2023-04-19T00:00:00.000,XZ444,0,4
1579146,No,2023-04-15T00:00:00.000,QZ318,0,2
1580151,No,2023-04-16T00:00:00.000,B099,1,2
1581670,No,2023-04-16T00:00:00.000,X284,0,1
1579898,No,2023-04-09T00:00:00.000,QZ511,0,1
1580956,No,2023-04-18T00:00:00.000,Q310,2,4
1581572,No,2023-04-19T00:00:00.000,Q015,0,3
158284500.00%,No,2023-04-22T00:00:00.000,B146,0,2
1579824,No,2023-04-16T00:00:00.000,X115,1,2
1583017,No,2023-04-17T00:00:00.000,B298,0,2
1581292,No,2023-04-19T00:00:00.000,,1,3
1579829,No,2023-04-17T00:00:00.000,,1,2
1581288,No,2023-04-19T00:00:00.000,B404,1,5
1582180,No,2023-04-18T00:00:00.000,B379,0,3
1579815,No,2023-04-16T00:00:00.000,X036,1,3
1579626,No,2023-04-16T00:00:00.000,M289,1,2
1579768,No,2023-04-16T00:00:00.000,XZ209,0,2
1580136,No,2023-04-17T00:00:00.000,X096,1,4
1579824,No,2023-04-16T00:00:00.000,X115,1,2
1581883,No,2023-04-20T00:00:00.000,M056,0,2
1580674,No,2023-04-17T00:00:00.000,Q014,0,1
1582945,No,2023-04-22T00:00:00.000,,1,1
1579898,No,2023-04-09T00:00:00.000,,0,1
1579176,No,2023-04-13T00:00:00.000,B130,1,1
1582004,No,2023-04-20T00:00:00.000,X300,0,2
1583128,No,2023-04-21T00:00:00.000,B001,0,3
1580284,No,2023-04-10T00:00:00.000,QZ33,0,1
1581298,No,2023-04-18T00:00:00.000,R027A,1,1
1581650,No,2023-04-20T00:00:00.000,R127,0,3
1581088,No,2023-04-18T00:00:00.000,Q055,0,3
1580944,No,2023-04-19T00:00:00.000,Q424,1,5
1582567,No,2023-04-22T00:00:00.000,,1,2
1579843,Yes,2023-04-10T00:00:00.000,R149,1,3
1579903,Yes,2023-04-17T00:00:00.000,X295,0,2
1581482,No,2023-04-19T00:00:00.000,,1,4
1581696,No,2023-04-19T00:00:00.000,R079,0,3
1579811,No,2023-04-16T00:00:00.000,,0,3
1581142,Yes,2023-04-19T00:00:00.000,X042,1,3
1582121,No,2023-04-19T00:00:00.000,M233,0,2
1582817,No,2023-04-21T00:00:00.000,B018,0,3
1579940,No,2023-04-16T00:00:00.000,Q107,0,4
1579143,No,2023-04-16T00:00:00.000,Q471,2,7
1580679,No,2023-04-18T00:00:00.000,X217,1,2
1580484,No,2023-04-18T00:00:00.000,QT05,1,1
1580942,No,2023-04-19T00:00:00.000,Q471,1,1
1579431,No,2023-04-16T00:00:00.000,X041,1,2
1579133,No,2023-04-15T00:00:00.000,,0,3
1580484,No,2023-04-18T00:00:00.000,,1,1
1580771,Yes,2023-04-18T00:00:00.000,X061,0,1
1581918,No,2023-04-20T00:00:00.000,R-02,0,2
1580045,No,2023-04-09T00:00:00.000,X010,0,1
1579576,No,2023-04-16T00:00:00.000,M193,1,2
158130900.00%,No,2023-04-18T00:00:00.000,XZ346,0,2
1582858,No,2023-04-22T00:00:00.000,,1,3
1580015,No,2023-04-13T00:00:00.000,R085,1,1
1579694,No,2023-04-11T00:00:00.000,X166,0,3
1582261,No,2023-04-19T00:00:00.000,Q410,0,2
1581499,No,2023-04-19T00:00:00.000,Q099,0,5
1581128,No,2023-04-19T00:00:00.000,Q094,0,2
1580572,No,2023-04-16T00:00:00.000,B233,0,1
