daily_task_activity_id,fiscal_qtr,vehicle_number,district,fiscal_day
6364598,2023Q4,4834.0,X-03,295
6358865,2023Q4,9034.0,,293
6351030,2023Q4,5440.0,Q-11,285
6358156,2023Q4,,X-03,290
6349814,2023Q4,7017.0,R-03,286
6355797,2023Q4,5312.0,B-07,289
7319615,2024Q4,8344.0,Q-07,300
6346094,2023Q4,,M-09,284
6361243,2023Q4,7096.0,R-01,293
634907100.00%,2023Q4,8477.0,M-10,290
6353522,2023Q4,0.0,X-06,291
6355824,2023Q4,5366.0,B-07,289
6353365,2023Q4,7218.0,M-11,291
6351792,2023Q4,,M-02,290
6363398,2023Q4,8280.0,X-01,295
6365256,2023Q4,,B-05,295
6352958,2023Q4,3595.0,M-09,291
6351411,2023Q4,5034.0,,290
6349130,2023Q4,,Q-04,289
6353181,2023Q4,,Q-04,290
6358354,2023Q4,5151.0,X-01,293
6359514,2023Q4,5229.0,B-01,292
6358156,2023Q4,,X-03,290
6365236,2023Q4,,B-06,294
6349445,2023Q4,,X-03,288
6351238,2023Q4,,B-19,287
6364134,2023Q4,7009.0,M-04,295
6358957,2023Q4,5663.0,X-03,293
6361804,2023Q4,5314.0,M-12A,294
6358167,2023Q4,,X-03,291
6347494,2023Q4,8622.0,M-11,289
6349871,2023Q4,5365.0,,290
6358446,2023Q4,5663.0,X-03,293
6349840,2023Q4,5229.0,B-01,289
6360319,2023Q4,5051.0,M-12,293
6347045,2023Q4,8280.0,X-01,289
6364598,2023Q4,4834.0,X-03,295
6351436,2023Q4,0.0,X-03,290
7314271,2024Q4,7164.0,Q-14,296
6358432,2023Q4,8480.0,Q-01,293
6360909,2023Q4,,M-07,292
6356164,2023Q4,8480.0,Q-02,292
6353698,2023Q4,8345.0,,291
6351503,2023Q4,4612.0,,290
6361928,2023Q4,5245.0,M-11R,293
6352183,2023Q4,7434.0,B-03,290
6359488,2023Q4,8604.0,B-10,293
6358446,2023Q4,5663.0,X-03,293
6357357,2023Q4,4820.0,X-03,292
6355395,2023Q4,8475.0,Q-07,292
6352750,2023Q4,,Q-01,289
6355836,2023Q4,5741.0,X-05,292
6346598,2023Q4,7090.0,Q-05,289
6354717,2023Q4,,Q-05,291
6352992,2023Q4,8602.0,B-06,291
6354776,2023Q4,8602.0,B-06,292
6355092,2023Q4,8615.0,Q-07A,291
6359970,2023Q4,4834.0,X-03,293
6355668,2023Q4,,B-07,290
6346766,2023Q4,8347.0,B-01,286
6357374,2023Q4,,M-01,290
6362796,2023Q4,5828.0,Q-11,294
6364933,2023Q4,8251.0,,293
6.36e+06,2023Q4,8623.0,,293
6349587,2023Q4,,X-03,286
6361884,2023Q4,,Q-13,291
6348433,2023Q4,5938.0,X-04,289
6355449,2023Q4,7017.0,R-03,290
6349551,2023Q4,7149.0,M-03,288
6358692,2023Q4,7429.0,,292
6362039,2023Q4,7310.0,,294
6356144,2023Q4,8493.0,X-15,291
6357793,2023Q4,,M-02,292
6355715,2023Q4,,B-07,291
6351372,2023Q4,,B-19,287
6357404,2023Q4,680.0,B-18,292
6348433,2023Q4,5938.0,X-04,289
6359914,2023Q4,8301.0,Q-02,293
6364220,2023Q4,,M-12,295
6353185,2023Q4,7520.0,X-15A,290
635239000.00%,2023Q4,7017.0,,289
6365407,2023Q4,7088.0,Q-14,295
6355645,2023Q4,8301.0,Q-02,292
6347566,2023Q4,8335.0,B-18,289
6352378,2023Q4,5277.0,B-02,287
6364720,2023Q4,7013.0,B-17,295
6359617,2023Q4,8364.0,Q-10,293
6356272,2023Q4,7167.0,,291
6355499,2023Q4,7169.0,B-07,292
6364425,2023Q4,8484.0,X-03,295
6359819,2023Q4,7190.0,X-08,293
6356418,2023Q4,7017.0,R-03,291
6350522,2023Q4,,B-13,288
6354178,2023Q4,5041.0,X-05,291
6360247,2023Q4,5245.0,M-11R,290
6350808,2023Q4,5440.0,Q-11,282
6347387,2023Q4,,B-18,287
6355808,2023Q4,,R-03,290
6345939,2023Q4,,Q-06,288
6352109,2023Q4,5425.0,R-03,288
6358029,2023Q4,7089.0,Q-12,293
6361861,2023Q4,9034.0,M-09,294
6617263,2024Q1,5213.0,B-01,27
6348448,2023Q4,8355.0,B-08,289
6350638,2023Q4,5513.0,M-06,290
6347482,2023Q4,,B-18,288
6347926,2023Q4,7218.0,M-11,289
6355049,2023Q4,5137.0,Q-03,290
6348219,2023Q4,,X-03,284
6360445,2023Q4,5021.0,,293
6352932,2023Q4,8280.0,X-01,291
6352239,2023Q4,1164.0,Q-07,289
6363320,2023Q4,,Q-05A,292
6346600,2023Q4,,M-09,287
6357745,2023Q4,105.0,Q-16,292
6363796,2023Q4,8477.0,M-10,295
6350299,2023Q4,,X-06,290
6358956,2023Q4,8624.0,Q-12,293
6350290,2023Q4,7010.0,X-07,290
6349797,2023Q4,8622.0,M-11,290
6351201,2023Q4,5452.0,,290
6331787,2023Q4,4598.0,Q-15,283
6353395,2023Q4,7089.0,Q-12,291
6363207,2023Q4,,M-14,291
6357352,2023Q4,4820.0,X-03,292
6352482,2023Q4,,R-02B,288
6357215,2023Q4,4600.0,Q-15,292
635077200.00%,2023Q4,4829.0,X-04,290
6353285,2023Q4,7013.0,B-17,291
6356531,2023Q4,5425.0,R-03,291
636403000.00%,2023Q4,7366.0,B-10,295
6354178,2023Q4,5041.0,X-05,291
6357153,2023Q4,5188.0,,292
6347829,2023Q4,5770.0,B-10,289
6355760,2023Q4,5364.0,X-13,292
6354403,2023Q4,,B-06,291
6348693,2023Q4,0.0,,289
6347904,2023Q4,7166.0,M-06,289
6355720,2023Q4,5339.0,X-06,292
6350842,2023Q4,5440.0,Q-11,282
6347406,2023Q4,7000.0,Q-14,287
6353795,2023Q4,7078.0,,291
6358847,2023Q4,8364.0,Q-10,293
6352612,2023Q4,5801.0,X-04,291
6350418,2023Q4,,Q-15,286
6356667,2023Q4,,M-03,292
6361083,2023Q4,5921.0,X-01,294
6363604,2023Q4,5007.0,X-10,289
6348649,2023Q4,,M-02,289
6355191,2023Q4,,Q-04,291
6357352,2023Q4,4820.0,X-03,292
6354143,2023Q4,4834.0,X-03,291
6348986,2023Q4,,X-01,287
6357329,2023Q4,,M-01,289
6357135,2023Q4,5164.0,B-05,292
6357259,2023Q4,5312.0,,291
6349854,2023Q4,5425.0,,286
6363832,2023Q4,5671.0,B-14,295
6361350,2023Q4,7078.0,B-15,294
6356492,2023Q4,,Q-01,291
6355833,2023Q4,5741.0,X-05,292
6365042,2023Q4,5245.0,M-11R,294
6363611,2023Q4,5007.0,X-10,289
6357564,2023Q4,4629.0,X-04,292
635378500.00%,2023Q4,5143.0,B-06,291
6358560,2023Q4,5021.0,X-02,293
6357944,2023Q4,5384.0,,293
6364382,2023Q4,5440.0,Q-11,290
6354103,2023Q4,5840.0,Q-12,290
6349834,2023Q4,8325.0,B-03,290
6359527,2023Q4,,M-12A,293
6353042,2023Q4,8364.0,Q-12,291
6.35e+06,2023Q4,5440.0,Q-11,283
6360055,2023Q4,8365.0,Q-15,293
6348876,2023Q4,8301.0,,290
6346527,2023Q4,7855.0,B-01,286
6364456,2023Q4,8491.0,Q-05A,295
6350299,2023Q4,,X-06,290
6349395,2023Q4,,Q-12,289
6359055,2023Q4,5031.0,M-08,293
6364534,2023Q4,4609.0,M-12A,295
6347857,2023Q4,0.0,,284
6361674,2023Q4,5383.0,,294
6353066,2023Q4,7855.0,B-01,290
6350375,2023Q4,8366.0,B-10,290
6352507,2023Q4,,B-02,286
6349666,2023Q4,8613.0,B-13,287
6359578,2023Q4,0.0,X-01,293
6352137,2023Q4,5425.0,,288
6362438,2023Q4,5108.0,B-18,294
635603900.00%,2023Q4,8484.0,X-03,292
6356863,2023Q4,5369.0,Q-13,292
6357237,2023Q4,,R-02B,292
6345957,2023Q4,,M-03,288
6361832,2023Q4,5314.0,M-12A,294
6357399,2023Q4,680.0,B-18,292
6358394,2023Q4,8364.0,,293
6364667,2023Q4,,B-04,295
6363062,2023Q4,7177.0,Q-10,295
6346530,2023Q4,,Q-05,287
6353626,2023Q4,4858.0,Q-01,291
6357719,2023Q4,8487.0,B-02,292
