jun_18,mar_18,apr_12,jan_11,jan_18,apr_13,may_15,jul_14,geographic_unit,jun_14,feb_16,oct_10,agency,jun_15,dec_16,dec_15,nov_18,aug_18,nov_10,jan_14,oct_11,sep_12,apr_16,jul_13,dec_12
13,13,19,16,19,15,23,18,Precinct,22,14,18,NYPD,24,18,17,20.0,16,15,14,18,26,19,20,15
9,18,21,27,14,11,15,19,Precinct,14,11,29,NYPD,16,11,15,13.0,13,29,17,26,20,14,28,31
11,11,35,27,14,21,22,29,Precinct,14,10,22,NYPD,16,29,15,8.0,10,27,31,20,29,20,23,27
95.27,96.52,97.60,93.40,99.16,91.90,94.71,92.10,Community District,97.70,96.86,94.80,DSNY,93.03,100.00,93.42,,99.25,99.60,96.60,92.20,98.40,94.89,96.00,93.90
0,0,0,0,0,0,0,0,Precinct,0,0,0,NYPD,0,0,0,0.0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,Precinct,0,0,0,NYPD,0,0,0,0.0,0,0,0,0,0,0,0,0
6.17,5.59,5.07,4.20,5.90,5.11,5.57,5.70,Community District,5.97,5.81,5.53,DSNY,6.21,6.32,6.49,6.42,5.91,5.60,5.05,5.25,5.54,5.67,5.45,5.79
17.23,16.31,13.25,14.21,17.99,12.60,12.97,13.57,Community District,14.20,16.91,13.21,DSNY,14.31,15.29,15.17,18.53,17.10,12.57,16.06,12.82,13.45,13.99,13.57,13.98
2,5,0,1,1,2,3,2,Precinct,2,0,1,NYPD,2,0,0,2.0,0,1,3,1,2,2,0,0
12.52,11.82,8.24,7.81,13.10,8.40,9.42,9.10,Community District,9.45,13.04,8.40,DSNY,10.63,12.41,11.76,12.11,12.32,7.97,10.26,8.37,8.75,10.86,8.66,8.32
100.00,98.34,91.50,98.40,88.58,91.80,95.47,89.50,Community District,91.70,90.42,90.60,DSNY,86.47,92.45,92.37,,97.54,94.90,92.20,91.60,92.90,96.80,93.60,82.70
4,7,15,7,10,22,24,17,Precinct,5,6,17,NYPD,12,20,18,9.0,14,13,12,9,11,13,14,16
122,131,88,91,106,97,106,105,Precinct,102,95,152,NYPD,105,107,132,120.0,136,101,102,107,78,99,98,110
99.01,95.90,94.60,79.40,98.50,92.50,98.54,97.50,Community District,97.70,89.88,92.10,DSNY,100.00,97.84,96.68,,96.02,94.80,94.10,97.70,95.80,96.67,94.60,90.40
2,1,2,2,1,0,0,0,Precinct,2,0,4,NYPD,1,1,0,2.0,3,2,1,0,2,0,1,0
171,171,154,181,176,163,171,179,Precinct,185,138,172,NYPD,162,230,215,190.0,170,202,179,175,167,164,198,248
99.39,96.57,94.20,93.00,85.85,97.20,92.72,96.50,Community District,94.60,96.83,98.60,DSNY,94.16,92.63,98.52,,95.28,94.80,87.60,94.20,98.50,94.59,93.30,82.80
98.49,97.90,98.00,96.00,95.12,90.00,96.68,93.40,Community District,98.50,96.72,95.70,DSNY,97.29,97.59,93.36,,96.64,96.60,96.10,95.30,99.10,99.10,94.30,72.60
9.41,8.59,9.37,8.45,8.83,9.47,10.18,9.55,Community District,10.23,9.09,9.40,DSNY,10.28,9.40,9.58,9.76,8.89,9.24,8.48,9.54,9.84,9.46,9.53,9.72
14,19,3,8,8,11,5,11,Precinct,6,10,7,NYPD,9,4,13,5.0,4,10,6,10,7,6,6,13
1,0,0,1,0,2,0,1,Precinct,0,1,0,NYPD,0,0,2,0.0,2,0,1,1,0,0,0,0
7,9,7,19,2,11,14,21,Precinct,20,8,16,NYPD,10,12,10,4.0,8,16,15,15,17,6,23,25
0,0,0,0,0,0,0,0,Precinct,1,0,0,NYPD,0,0,0,0.0,0,1,0,0,0,0,0,0
9.92,9.61,9.56,10.56,9.20,9.77,10.07,9.89,Community District,10.32,9.58,10.02,DSNY,10.22,9.87,10.18,10.26,9.98,10.00,9.68,10.17,10.24,9.96,9.97,10.49
-,0.26,-,0.90,-,-,0.90,-,Community District,-,0.45,-,DSNY,-,-,0.45,,-,-,-,-,-,-,0.40,0.90
0,0,0,0,3,0,1,0,Precinct,0,0,0,NYPD,0,2,0,0.0,0,0,0,0,0,0,0,0
4,7,4,6,3,4,10,2,Precinct,5,4,8,NYPD,13,2,9,5.0,5,10,5,10,8,2,4,12
0,0,0,0,0,0,0,0,Precinct,0,0,1,NYPD,0,0,0,0.0,0,0,0,1,1,3,1,0
12.05,11.57,11.77,12.63,10.98,11.66,12.08,12.17,Community District,12.34,11.33,12.50,DSNY,12.40,11.72,12.16,11.89,11.96,12.41,11.43,12.51,12.12,11.61,12.34,12.28
0,1,2,1,2,2,5,0,Precinct,0,2,0,NYPD,2,1,3,1.0,2,0,1,4,1,0,0,1
104,74,117,137,105,96,95,101,Precinct,97,94,175,NYPD,86,128,127,106.0,117,153,78,160,137,117,105,131
100,90,114,134,91,106,133,148,Precinct,154,101,132,NYPD,148,110,106,109.0,103,131,133,129,159,113,179,128
0,1,0,0,0,1,0,0,Precinct,0,0,0,NYPD,0,0,1,1.0,0,0,0,0,1,0,0,0
-,0.85,-,-,-,0.50,0.92,1.10,Community District,0.30,-,0.90,DSNY,-,0.56,-,,-,-,0.50,0.40,0.60,-,2.00,2.30
9,3,7,8,1,13,7,8,Precinct,7,14,13,NYPD,8,4,13,9.0,9,7,5,6,10,9,11,6
100.00,95.28,97.40,94.80,96.12,91.50,98.17,96.50,Community District,95.50,97.94,99.00,DSNY,94.82,98.50,98.58,,97.00,96.10,89.60,93.30,97.90,97.81,96.30,94.60
16.87,15.54,14.01,16.81,15.22,13.88,15.91,14.83,Community District,17.89,16.98,16.48,DSNY,17.84,16.28,17.13,15.6,15.06,15.19,15.10,15.62,16.38,15.26,13.69,17.35
6.17,5.68,5.23,4.90,5.56,5.13,5.69,5.90,Community District,6.15,5.68,5.58,DSNY,6.21,6.45,6.83,6.31,6.11,5.59,5.61,5.52,5.59,5.91,5.74,5.94
1,3,0,0,0,0,0,0,Precinct,0,0,1,NYPD,0,1,1,0.0,0,1,0,0,0,1,1,0
5.95,5.24,3.85,3.89,5.75,3.74,4.56,4.51,Community District,4.51,5.10,3.89,DSNY,4.58,5.71,5.12,6.14,6.17,3.58,4.21,3.73,4.02,4.88,4.58,3.90
93,95,117,99,104,122,147,129,Precinct,120,89,145,NYPD,138,117,161,114.0,107,125,129,112,163,77,129,127
0,,0,0,0,0,1,0,Precinct,2,0,0,NYPD,1,0,2,1.0,1,2,0,1,0,0,1,1
11.78,11.06,13.61,15.82,10.87,13.85,13.48,13.91,Community District,13.71,13.27,14.40,DSNY,13.81,13.66,13.78,12.15,11.78,15.30,12.66,14.47,14.10,13.12,13.73,14.70
19,10,30,23,18,32,23,24,Precinct,20,11,26,NYPD,17,15,23,16.0,11,30,25,15,24,18,31,21
11.06,9.67,10.15,9.31,9.31,10.64,10.84,10.78,Community District,10.81,8.97,10.30,DSNY,11.01,9.22,9.66,10.65,11.01,10.12,9.64,10.44,10.72,9.74,11.30,10.93
0,2,1,1,0,2,0,0,Precinct,1,0,1,NYPD,1,1,0,0.0,0,2,2,2,1,1,2,1
25.89,27.31,21.83,19.49,23.98,20.49,20.21,19.25,Community District,23.18,26.23,19.92,DSNY,24.12,27.00,25.77,27.5,24.36,17.67,20.74,21.26,23.42,24.22,17.49,22.84
21.90,19.46,18.31,18.49,19.72,18.69,19.10,20.69,Community District,22.55,20.79,21.16,DSNY,23.13,23.83,24.38,19.34,19.26,19.04,19.23,19.51,19.94,19.71,20.47,21.68
100.00,98.53,99.60,90.70,98.23,97.60,100.00,98.30,Community District,94.80,99.56,97.40,DSNY,97.87,98.21,100.00,,99.20,97.90,94.30,99.60,98.20,98.38,98.60,100.00
7.63,7.15,4.80,5.53,7.47,5.17,6.87,6.04,Community District,6.14,8.50,4.63,DSNY,6.92,7.77,7.92,7.67,7.44,4.63,6.25,4.69,4.65,7.69,5.04,5.23
-,0.33,0.30,-,-,0.20,-,0.50,Community District,-,0.89,0.20,DSNY,-,0.27,-,,-,-,-,-,-,-,-,-
99.13,97.29,91.30,58.00,90.89,91.80,92.12,91.00,Community District,80.40,94.38,93.20,DSNY,93.08,97.21,87.22,,94.59,90.10,73.40,91.60,89.20,93.72,90.80,79.60
42,39,21,19,43,39,38,41,Precinct,41,37,28,NYPD,33,31,36,45.0,45,28,28,31,47,49,61,35
44,34,29,30,37,34,55,52,Precinct,50,42,41,NYPD,53,63,58,51.0,62,46,40,32,33,45,43,36
11.53,11.11,11.90,11.32,10.64,11.64,12.11,12.58,Community District,12.24,11.76,12.66,DSNY,12.41,11.26,12.22,12.35,11.76,12.19,11.29,12.49,12.66,11.47,12.37,12.10
18,24,45,48,40,24,40,42,Precinct,22,29,68,NYPD,61,32,38,13.0,37,53,43,42,47,21,44,48
6.00,4.99,3.37,3.30,5.28,3.40,3.97,3.98,Community District,4.39,6.01,2.98,DSNY,4.81,5.02,4.87,5.64,5.59,2.96,3.91,3.09,3.26,5.15,3.60,2.92
97.62,93.56,93.90,92.40,100.00,95.70,96.89,96.10,Community District,95.90,96.26,95.00,DSNY,89.87,93.08,96.25,,92.21,90.90,96.90,92.50,93.10,95.69,89.40,88.50
5,7,9,12,4,17,8,13,Precinct,11,14,12,NYPD,12,7,19,12.0,9,13,15,16,15,15,16,23
14.84,14.33,10.33,9.39,15.66,10.03,11.91,11.88,Community District,12.47,15.26,10.22,DSNY,13.04,14.37,14.42,14.63,14.25,9.70,12.94,10.04,10.59,13.31,10.86,10.23
8,3,8,11,5,11,7,23,Precinct,14,7,23,NYPD,8,7,10,12.0,8,9,7,17,15,14,10,17
40,46,36,34,56,67,59,59,Precinct,40,26,42,NYPD,39,43,46,28.0,41,34,58,42,71,32,63,45
13.28,12.38,10.52,12.69,13.38,10.44,11.31,10.10,Community District,11.72,13.56,11.13,DSNY,12.15,12.73,12.50,13.36,11.23,10.99,11.67,10.71,10.05,12.37,9.37,10.44
6.37,5.51,4.75,4.65,5.87,4.73,5.18,5.51,Community District,5.46,5.13,5.18,DSNY,5.67,6.34,6.38,6.25,6.12,5.16,5.23,5.06,5.17,5.35,5.52,5.35
97.71,98.58,91.20,92.00,93.88,91.80,90.27,92.70,Community District,98.40,91.35,94.60,DSNY,94.41,95.62,89.94,,93.31,93.30,82.60,96.30,99.00,96.12,91.70,96.00
100.00,97.78,96.90,95.00,98.76,100.00,97.00,97.30,Community District,93.90,99.03,94.60,DSNY,97.78,99.01,99.34,,94.63,96.70,99.20,97.20,96.00,100.00,95.20,96.20
8,8,14,5,9,12,9,10,Precinct,9,6,13,NYPD,6,5,4,7.0,3,6,13,14,16,6,4,6
96.98,95.20,96.30,99.30,89.94,90.00,95.44,85.30,Community District,90.90,91.93,97.70,DSNY,93.85,98.28,92.36,,95.56,94.20,83.90,93.80,96.30,93.76,96.00,92.50
15,10,19,27,18,17,18,25,Precinct,20,10,33,NYPD,18,10,15,10.0,16,37,28,26,20,6,28,27
19.75,19.96,17.58,19.81,23.62,17.29,17.50,17.88,Community District,19.06,21.90,18.23,DSNY,19.13,21.21,20.69,20.14,19.71,17.78,20.26,17.88,17.35,19.57,17.51,19.33
4.24,3.52,3.71,2.60,3.42,3.57,3.76,3.86,Community District,3.98,3.52,3.93,DSNY,4.05,4.42,4.48,4.31,4.13,3.92,3.56,3.77,3.92,3.81,3.96,4.22
10.29,9.03,9.35,8.45,8.56,9.50,10.35,9.91,Community District,10.04,9.11,9.84,DSNY,10.53,9.64,9.86,10.24,9.92,9.86,8.16,9.78,10.05,9.60,9.79,9.87
11,11,13,3,10,9,7,10,Precinct,2,8,11,NYPD,4,12,10,13.0,7,12,11,18,12,9,12,12
2,0,1,0,0,1,2,0,Precinct,2,0,2,NYPD,1,0,2,1.0,4,1,0,2,0,1,1,0
4.86,3.93,3.52,2.96,3.80,3.55,4.09,4.29,Community District,4.32,3.78,3.84,DSNY,4.52,4.84,4.91,4.77,4.70,3.81,3.56,3.71,3.87,4.23,4.31,3.90
280,226,287,246,257,333,312,344,Precinct,315,230,320,NYPD,306,283,296,255.0,349,244,308,296,331,248,391,332
30.92,28.90,23.43,28.52,31.63,23.28,25.43,23.35,Community District,26.75,33.19,23.94,DSNY,27.72,30.30,29.74,30.99,27.47,23.45,27.65,23.81,22.74,29.76,22.47,24.19
12,13,18,26,25,19,17,21,Precinct,32,20,31,NYPD,21,19,22,18.0,25,19,38,28,24,17,28,32
-,-,0.50,3.00,-,-,-,-,Community District,0.30,-,1.20,DSNY,0.34,-,-,,-,-,-,-,-,1.01,1.00,0.70
39,45,51,30,50,45,46,44,Precinct,46,30,81,NYPD,34,41,46,50.0,38,55,31,58,58,41,44,56
19.04,20.22,17.55,20.40,23.19,17.10,16.78,18.12,Community District,19.11,23.09,19.25,DSNY,18.75,22.38,21.70,27.31,18.01,17.72,23.97,17.88,18.18,18.85,17.71,19.08
0,1,3,2,0,1,0,4,Precinct,2,0,0,NYPD,0,1,0,1.0,1,1,0,1,0,1,1,1
5,1,18,8,3,7,7,8,Precinct,13,2,13,NYPD,6,8,8,2.0,5,7,12,7,4,4,7,4
13.05,11.33,9.31,9.70,11.27,8.64,9.83,9.51,Community District,10.92,12.18,9.94,DSNY,12.43,12.27,11.61,12.8,11.43,9.29,9.93,9.66,10.09,9.83,8.80,9.98
1,2,1,3,0,1,0,2,Precinct,0,0,2,NYPD,1,0,3,2.0,0,1,4,1,0,2,2,1
11.61,11.29,8.88,8.57,11.95,8.76,10.24,9.88,Community District,10.62,13.15,8.81,DSNY,11.32,12.32,11.75,11.14,10.97,8.74,10.40,8.51,9.16,11.85,9.35,8.80
5.87,4.88,4.34,3.88,4.59,4.26,4.82,5.03,Community District,5.21,4.88,4.70,DSNY,5.51,5.67,5.86,5.67,5.48,4.78,4.92,4.53,4.73,5.08,5.08,4.82
100.00,100.00,99.60,100.00,99.06,100.00,100.00,99.10,Community District,99.20,100.00,100.00,DSNY,98.26,100.00,99.22,,100.00,100.00,100.00,98.90,100.00,100.00,95.80,99.30
97.04,98.79,95.70,94.70,90.06,96.40,97.77,95.30,Community District,97.70,93.36,94.30,DSNY,93.76,96.94,97.92,,98.91,96.40,96.30,94.70,97.00,97.66,93.90,91.80
29.63,25.89,25.04,28.44,25.38,25.83,24.66,25.91,Community District,29.56,28.64,29.25,DSNY,30.16,32.31,31.40,28.47,26.09,27.78,28.08,27.93,26.77,24.68,25.60,31.32
9.18,7.64,8.22,6.94,6.21,8.46,9.04,8.83,Community District,9.05,6.88,8.56,DSNY,9.01,8.22,8.43,8.64,9.31,8.65,7.28,8.58,8.84,8.18,9.00,8.79
2.56,-,1.80,-,-,1.70,1.88,-,Community District,0.60,0.57,1.20,DSNY,1.78,1.15,2.35,,0.91,1.20,0.60,0.90,0.80,3.67,1.50,2.30
7.54,6.98,6.43,7.63,6.65,6.17,7.07,6.26,Community District,7.31,7.43,7.98,DSNY,7.34,7.94,8.41,8.12,6.61,8.13,6.72,6.52,7.30,7.54,5.56,7.69
4,2,0,1,2,0,0,1,Precinct,2,0,1,NYPD,1,0,0,0.0,0,0,0,1,3,1,0,0
6,2,7,6,4,4,4,6,Precinct,3,3,11,NYPD,5,8,8,4.0,6,13,5,10,10,3,5,7
1,0,1,0,1,2,0,0,Precinct,0,0,1,NYPD,0,0,0,1.0,1,0,0,0,2,1,1,2
23.39,24.62,18.79,21.23,26.38,18.43,20.70,21.87,Community District,21.33,26.99,19.34,DSNY,23.64,29.16,26.79,24.65,22.78,18.92,22.96,19.11,18.80,23.83,19.45,20.69
21.20,22.09,17.95,18.43,24.03,17.39,17.54,18.03,Community District,19.02,21.60,18.15,DSNY,19.32,22.13,21.61,22.0,21.25,17.82,20.58,18.69,18.01,19.32,17.80,19.07
1,4,5,3,0,3,3,1,Precinct,5,5,3,NYPD,7,4,5,1.0,5,7,3,4,4,3,6,2
9.10,7.85,8.78,9.35,7.84,8.87,9.69,9.65,Community District,9.77,8.88,9.11,DSNY,9.77,9.10,9.41,8.96,9.02,9.41,8.67,8.92,9.35,8.86,9.52,9.05
92.89,98.16,92.20,65.10,93.05,88.50,93.78,84.30,Community District,89.60,83.99,93.50,DSNY,93.09,94.73,88.46,,92.25,95.40,70.90,95.00,91.20,94.49,89.70,95.90
6.94,6.51,5.65,6.61,6.94,5.63,6.34,5.86,Community District,6.20,7.17,5.99,DSNY,6.25,7.06,6.79,7.14,6.45,5.93,6.69,6.18,5.72,6.71,5.21,5.54
-,-,-,-,-,0.80,-,-,Community District,-,-,-,DSNY,-,-,-,,-,-,-,-,-,-,-,-
100.00,96.74,100.00,98.30,94.71,100.00,98.46,91.50,Community District,94.60,96.38,97.80,DSNY,96.79,100.00,92.84,,99.07,94.20,92.50,93.80,98.70,99.13,97.60,96.70
5.41,5.36,5.09,3.94,5.12,5.36,5.31,4.54,Community District,5.51,5.41,5.59,DSNY,5.77,5.91,5.64,5.9,4.82,5.31,4.57,5.29,5.69,5.28,4.33,5.72
8,6,16,17,6,15,12,14,Precinct,24,3,29,NYPD,11,8,23,7.0,8,20,17,25,19,5,13,15
9.48,8.24,7.42,8.65,8.07,7.53,8.31,7.53,Community District,8.74,8.99,9.20,DSNY,8.86,9.54,10.09,9.78,8.41,9.74,8.09,8.32,8.64,9.10,7.09,9.67
6.03,5.17,5.22,4.02,5.30,4.93,5.52,5.68,Community District,5.83,5.16,5.61,DSNY,6.22,6.36,6.20,6.69,6.41,5.65,4.80,5.27,5.42,5.66,5.41,5.80
159,106,136,162,120,117,141,170,Precinct,140,94,198,NYPD,159,123,113,105.0,128,156,133,169,130,126,150,136
21.62,19.00,21.07,22.49,20.35,20.32,19.09,20.35,Community District,23.37,23.30,22.16,DSNY,23.86,24.51,24.70,21.86,18.60,21.51,21.90,21.11,21.48,19.63,20.34,24.06
20.95,21.62,16.83,18.20,23.41,16.72,16.08,16.47,Community District,17.54,20.70,17.72,DSNY,17.75,20.05,19.62,22.31,19.72,16.94,20.61,17.50,16.16,17.93,16.48,18.47
10.28,10.33,8.88,8.26,11.40,8.71,8.51,9.00,Community District,9.39,11.42,9.25,DSNY,9.77,11.08,10.57,10.43,9.98,9.02,10.53,8.69,8.94,9.62,8.96,9.33
-,0.75,0.70,0.40,-,-,-,-,Community District,-,-,-,DSNY,-,-,-,,-,0.60,0.40,0.20,0.90,0.20,1.00,1.10
97.05,96.64,93.70,100.00,97.37,92.40,98.85,95.90,Community District,90.70,92.48,95.80,DSNY,94.02,96.40,92.48,,100.00,97.20,87.10,97.10,95.20,95.89,89.40,80.40
3,3,2,0,2,0,0,1,Precinct,2,2,1,NYPD,3,1,0,0.0,1,0,0,1,2,0,0,1
11,1,17,12,8,4,7,21,Precinct,10,15,23,NYPD,6,14,9,7.0,6,20,7,18,28,8,12,18
1,0,3,0,0,0,1,0,Precinct,1,0,2,NYPD,1,0,0,0.0,0,1,3,2,1,1,0,0
106,92,79,65,90,83,95,99,Precinct,104,75,101,NYPD,80,112,89,72.0,86,91,81,66,68,75,86,98
15.55,14.88,10.81,11.98,14.79,10.62,12.22,11.11,Community District,12.03,15.38,10.71,DSNY,13.78,14.02,13.19,15.7,14.48,10.39,12.65,10.71,10.46,13.40,11.02,10.96
94,64,81,66,94,101,99,114,Precinct,103,81,96,NYPD,80,83,196,91.0,85,94,79,106,95,73,114,106
155,142,186,200,165,193,198,223,Precinct,201,163,190,NYPD,174,143,195,133.0,184,179,180,232,200,157,222,240
115,95,88,54,71,96,88,86,Precinct,104,65,77,NYPD,103,79,99,82.0,115,86,82,78,82,78,111,84
10.36,9.79,10.70,10.35,9.00,10.40,10.61,10.73,Community District,10.74,9.70,11.55,DSNY,10.82,10.00,10.23,10.78,10.60,11.24,9.70,11.12,11.47,9.84,10.63,10.58
3,1,0,0,3,1,2,4,Precinct,1,3,0,NYPD,1,3,2,1.0,2,4,4,1,4,2,3,1
100.00,100.00,100.00,99.00,98.11,98.10,98.99,100.00,Community District,98.10,98.18,98.50,DSNY,97.41,98.18,94.71,,98.28,99.50,96.80,100.00,98.10,99.09,98.90,100.00
4,1,3,1,1,2,2,2,Precinct,4,0,2,NYPD,1,0,0,1.0,2,4,2,3,0,1,2,3
100.00,97.62,98.60,95.00,97.30,95.60,97.09,98.40,Community District,93.30,94.91,96.50,DSNY,96.42,99.29,100.00,,94.55,96.20,97.40,97.90,100.00,98.81,97.60,95.60
14.73,14.18,15.03,17.62,13.39,15.05,14.54,14.92,Community District,15.13,13.87,16.50,DSNY,14.50,14.09,14.83,15.17,14.89,17.78,14.81,15.86,15.02,13.61,15.15,16.04
0,2,0,3,0,2,1,0,Precinct,1,0,2,NYPD,0,1,0,1.0,2,1,1,0,3,0,0,0
-,-,-,-,0.94,-,-,-,Community District,-,-,-,DSNY,0.87,-,-,,-,-,-,-,-,-,-,-
-,-,-,-,-,0.50,0.94,1.00,Community District,1.40,0.51,0.50,DSNY,0.51,-,-,,1.79,0.50,0.50,-,-,0.49,0.40,-
33.40,25.31,20.61,20.13,26.34,21.44,24.37,25.60,Community District,26.23,27.39,20.49,DSNY,27.11,27.21,27.00,30.37,30.45,18.82,23.57,20.34,22.02,25.83,26.15,20.60
21.56,20.04,14.17,15.02,21.39,14.15,14.47,14.94,Community District,15.67,18.72,14.07,DSNY,15.78,17.73,17.45,22.75,21.22,13.38,17.30,14.04,14.06,16.39,15.08,15.11
1,0,0,0,0,0,0,0,Precinct,0,0,3,NYPD,0,0,0,1.0,0,0,0,0,1,1,0,0
-,-,-,2.00,-,0.40,0.70,-,Community District,-,-,-,DSNY,-,1.00,-,,-,1.40,1.90,0.50,-,-,0.50,-
32,27,30,22,29,28,30,24,Precinct,15,27,21,NYPD,33,18,34,25.0,29,24,28,27,28,25,29,30
7.63,6.88,7.59,7.58,6.83,7.72,8.26,7.40,Community District,7.73,10.29,8.41,DSNY,8.13,7.02,12.90,8.43,7.42,7.73,7.62,8.07,8.38,13.42,7.71,8.00
-,3.02,-,1.30,-,1.20,0.62,-,Community District,-,1.26,-,DSNY,-,-,-,,2.54,0.40,1.20,-,-,-,-,1.20
20.25,20.35,20.91,23.30,21.44,21.32,17.75,16.74,Community District,18.10,21.80,24.70,DSNY,17.80,21.01,20.59,21.45,19.06,23.96,19.82,22.64,23.97,19.69,14.11,23.26
100.00,95.88,96.70,100.00,88.66,97.40,91.78,85.20,Community District,97.20,92.43,95.30,DSNY,97.28,97.99,91.59,,97.38,98.70,96.00,98.00,98.00,93.88,98.70,99.40
14.57,14.53,12.56,11.98,15.44,11.68,11.82,11.51,Community District,12.71,15.32,12.44,DSNY,12.65,15.18,13.66,14.79,14.47,12.05,12.95,12.49,12.07,13.38,11.67,9.07
0,0,0,0,0,0,0,0,Precinct,0,0,0,NYPD,0,0,0,0.0,1,0,0,0,0,0,0,0
66,79,84,64,81,66,99,98,Precinct,76,68,76,NYPD,98,61,103,64.0,89,77,89,82,85,87,103,87
73,64,63,76,59,73,83,87,Precinct,69,87,79,NYPD,82,72,80,78.0,87,99,67,91,119,75,83,90
4,1,5,3,1,13,12,10,Precinct,13,0,3,NYPD,11,5,5,1.0,7,2,2,12,14,5,17,7
8.86,8.16,5.96,6.25,8.34,6.82,7.46,6.90,Community District,8.04,8.97,6.45,DSNY,8.15,8.68,7.84,8.24,8.93,5.80,6.63,6.39,6.39,8.54,7.38,4.73
-,0.33,0.40,0.90,-,0.40,-,0.90,Community District,-,0.78,-,DSNY,-,-,0.45,,-,-,1.40,0.30,0.60,0.36,-,0.70
-,0.86,0.30,-,0.78,0.70,0.85,0.90,Community District,-,2.73,1.50,DSNY,1.74,1.20,-,,1.33,0.60,-,0.60,0.90,0.59,2.30,3.10
16,25,28,18,8,14,27,35,Precinct,24,15,23,NYPD,33,14,17,17.0,14,25,29,43,32,18,19,33
-,-,-,-,-,-,-,-,Community District,-,-,-,DSNY,-,-,-,,-,-,-,-,-,-,-,-
5.03,4.58,3.15,3.38,4.04,3.35,3.82,3.53,Community District,4.52,4.47,3.43,DSNY,4.72,4.95,4.76,4.63,4.25,2.89,3.57,3.31,3.54,3.99,3.15,3.82
-,-,-,-,0.77,-,-,-,Community District,-,-,-,DSNY,-,-,-,,-,-,-,-,-,-,-,-
95.93,93.29,88.80,97.60,74.64,76.90,84.23,97.00,Community District,80.90,82.15,91.60,DSNY,88.69,92.16,88.11,,79.51,88.30,83.70,86.50,79.60,88.22,88.90,79.10
100,82,82,91,72,88,71,128,Precinct,108,87,126,NYPD,89,92,125,104.0,98,90,85,114,114,104,124,99
25.91,22.86,24.69,26.59,23.79,24.58,22.73,24.65,Community District,27.25,27.98,26.47,DSNY,27.94,27.38,28.40,25.71,23.02,25.34,26.44,24.92,25.66,22.55,24.74,28.79
5.92,5.07,5.49,3.65,5.10,5.42,5.49,5.31,Community District,5.79,4.75,5.96,DSNY,5.99,6.03,5.99,6.05,5.92,5.91,4.27,5.49,5.81,5.74,5.03,6.21
13,15,37,25,26,26,24,32,Precinct,24,10,31,NYPD,20,22,19,11.0,17,18,33,20,35,20,28,43
39,24,31,31,35,33,36,38,Precinct,32,28,47,NYPD,36,41,49,43.0,47,35,25,48,32,51,49,43
206,229,234,246,234,215,228,235,Precinct,235,182,246,NYPD,220,291,278,240.0,208,263,231,238,222,228,257,312
-,-,-,0.80,-,-,-,-,Community District,-,-,1.20,DSNY,-,-,-,,-,1.50,-,-,-,-,-,-
