oct_14,nov_11,may_16,oct_15,sep_10,sep_16,dec_13,apr_14,may_11,oct_18,jun_13,jun_17,apr_15,aug_10,jul_12,oct_17,mar_11,aug_12
19,16,35,29,25,12,23,10,12,15,9,17,8,18,22,18,24,25
28,29,15,15,39,21,26,14,31,9,17,12,15,32,23,11,21,19
36,36,19,10,27,23,31,20,26,9,23,14,23,20,22,17,26,39
93.39,94.30,97.47,95.89,94.40,100.00,89.90,91.40,93.40,92.93,94.90,98.37,90.05,96.00,96.70,88.07,97.20,99.20
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5.59,5.50,5.83,5.69,5.69,6.06,5.81,5.60,5.44,6.02,5.77,6.49,5.53,5.30,5.38,5.74,5.48,5.25
13.58,12.92,13.83,13.92,13.94,13.75,15.25,13.58,12.79,16.43,14.12,14.09,13.78,13.83,13.18,16.87,14.00,13.35
0,1,1,1,0,1,0,0,4,1,0,1,0,1,0,3,1,0
9.52,8.16,11.02,10.52,8.74,11.71,9.38,8.95,8.02,12.29,8.91,11.81,9.95,8.44,8.21,11.57,8.79,8.21
92.03,87.30,94.57,96.13,96.90,100.00,96.30,97.00,97.10,99.10,98.30,100.00,94.41,97.00,88.20,94.77,93.00,94.90
12,11,5,18,9,9,15,10,11,11,9,9,13,25,14,8,6,17
107,88,105,132,116,108,106,81,115,122,82,117,102,108,114,124,100,100
93.00,97.30,97.78,92.24,87.90,94.07,91.60,94.10,93.90,93.50,95.30,99.59,95.46,87.30,93.90,88.96,94.90,94.00
0,3,3,0,0,2,0,1,0,1,0,0,0,1,0,1,1,2
201,199,192,170,192,155,258,143,174,171,173,173,161,174,196,177,184,214
92.20,93.50,95.93,91.28,95.00,93.57,95.70,95.60,91.30,90.88,92.60,96.32,96.77,97.50,92.00,92.95,80.50,93.60
94.04,94.20,97.50,98.19,97.50,97.47,99.20,95.30,95.50,98.19,96.80,100.00,94.11,97.80,94.60,97.34,95.10,97.50
10.06,10.08,9.76,9.82,9.46,9.66,9.28,10.04,9.69,9.32,10.32,9.28,9.66,8.74,9.53,9.09,9.05,9.55
9,23,8,8,10,10,5,5,6,2,7,5,11,7,6,9,5,16
1,0,2,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0
20,18,11,11,8,9,19,9,20,5,16,7,12,21,17,7,5,23
0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
10.11,10.59,10.20,10.01,9.87,10.04,10.01,10.52,10.50,10.18,10.37,10.48,9.96,9.57,9.81,10.27,10.03,9.97
0.46,-,-,-,-,-,-,0.50,-,0.35,-,-,-,-,-,-,-,-
0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
5,8,1,2,13,4,5,6,11,3,4,7,6,5,6,1,8,5
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12.16,12.79,12.06,11.95,12.70,11.90,12.22,12.04,12.81,12.18,12.73,12.39,11.36,12.32,11.97,11.85,12.26,12.04
3,1,2,4,2,0,3,1,2,1,2,1,3,2,7,2,2,4
109,152,102,138,146,87,96,79,138,120,107,111,76,137,140,133,117,135
162,141,112,135,133,108,150,134,142,94,161,88,103,138,141,89,98,144
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
-,-,-,-,-,0.75,3.60,0.90,0.50,-,0.70,-,1.06,-,-,0.57,1.10,-
6,6,7,12,15,13,4,5,11,11,10,4,4,6,15,12,15,18
96.00,93.60,93.25,96.85,95.00,98.79,94.10,95.10,98.00,99.02,94.20,98.90,95.91,96.50,92.90,90.15,93.70,91.70
15.97,15.67,15.85,16.26,19.14,16.85,16.45,14.98,16.37,16.09,16.53,17.37,15.15,15.14,13.31,16.00,15.34,14.08
5.65,5.80,6.01,5.80,5.74,6.17,6.01,5.76,5.35,6.19,5.86,6.27,5.57,5.52,5.67,6.20,5.36,5.48
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0
4.12,3.84,5.09,4.71,4.35,5.27,4.15,4.37,3.90,5.96,4.34,6.14,4.40,4.27,4.17,5.37,3.91,4.06
134,144,153,134,138,114,164,106,101,109,137,103,112,118,146,125,137,153
2,2,1,2,1,0,1,1,0,0,1,0,0,1,1,0,0,1
13.23,15.09,13.12,13.03,14.40,13.66,13.65,13.51,15.04,11.51,14.15,14.06,12.92,14.20,14.09,11.26,14.86,13.80
24,23,26,25,17,18,23,21,20,15,21,8,20,21,29,18,20,27
10.40,10.31,10.24,9.91,10.68,9.61,10.04,10.49,10.94,10.51,11.32,10.64,10.19,10.87,10.60,9.93,10.01,10.77
0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,1,1,1
22.60,21.35,23.96,22.90,20.06,26.70,23.36,23.73,21.81,27.43,22.67,25.69,22.75,17.63,18.17,24.52,21.05,19.21
19.14,20.22,20.52,19.50,21.48,20.47,22.72,19.91,21.67,19.03,22.43,22.28,19.71,20.67,19.00,17.39,22.06,19.46
95.88,96.60,100.00,93.86,99.60,97.79,97.80,97.90,98.70,99.12,94.70,99.12,99.14,100.00,98.30,98.20,99.60,97.50
6.32,4.93,7.62,7.13,4.76,7.39,5.00,5.98,4.80,7.60,5.24,7.78,6.89,4.77,4.48,7.65,4.79,4.76
0,4,3,1,3,3,3,1,1,3,2,5,3,1,5,4,1,2
99.56,98.80,99.07,99.02,98.50,99.52,97.90,99.50,100.00,99.54,99.70,99.74,98.31,98.30,98.80,98.71,99.30,98.70
15,8,7,14,2,5,7,6,11,4,6,4,5,6,9,16,10,13
98.02,99.50,100.00,97.97,98.00,98.97,93.10,96.00,95.00,97.10,97.80,98.31,97.74,99.00,98.00,97.01,99.00,99.50
10.18,11.69,10.41,10.33,10.72,10.62,9.77,10.13,11.44,10.43,10.81,11.12,9.99,10.25,10.06,9.83,10.55,10.21
54,44,67,84,50,51,37,57,57,61,43,62,63,50,50,72,43,50
14.85,15.05,15.28,15.16,15.36,16.11,16.19,14.79,14.80,14.88,15.96,16.80,14.19,13.33,12.69,13.88,15.13,12.98
14.19,14.67,14.86,14.48,15.60,15.87,16.48,14.64,14.25,14.64,13.98,15.20,14.55,14.98,14.56,15.17,15.80,14.33
28,31,37,31,28,51,38,51,57,26,37,34,32,33,65,31,43,53
98.59,98.80,96.56,98.94,97.40,100.00,99.40,98.80,98.80,98.53,100.00,98.41,100.00,97.40,99.10,98.41,98.10,97.60
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.60
-,-,-,0.86,0.90,-,-,-,-,-,0.80,0.50,1.10,-,-,0.68,-,-
13,23,14,16,32,17,16,9,30,14,26,11,15,30,24,22,19,26
-,-,0.29,-,-,0.43,-,-,0.60,-,-,-,0.81,0.40,-,-,-,0.30
5,2,6,1,3,2,2,2,5,5,4,4,4,6,5,8,3,6
63,81,43,51,73,54,86,59,60,53,57,47,50,75,74,63,65,63
15.03,12.18,16.64,15.30,14.81,16.15,14.70,18.37,13.69,17.23,13.26,17.18,17.04,11.47,11.21,17.60,14.35,11.04
0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
44,52,21,21,43,24,38,30,31,11,35,8,26,52,39,27,33,40
0.58,1.90,1.07,1.04,-,0.82,1.10,2.30,1.10,1.04,0.30,-,1.46,0.60,1.70,-,1.40,-
91.58,89.10,97.38,91.73,92.80,87.46,84.80,90.00,93.40,87.90,89.30,89.61,93.74,94.00,91.50,89.07,95.50,93.50
1,0,1,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0
34,33,20,29,32,28,27,25,25,16,32,17,20,24,33,32,18,23
9,7,5,4,10,7,10,7,12,7,7,12,15,12,16,7,6,10
21.05,19.41,25.17,20.83,20.65,25.16,23.86,23.47,20.65,25.15,24.76,29.40,21.61,20.15,21.46,24.01,19.96,21.08
3.93,4.47,4.55,4.09,4.49,4.72,4.64,4.18,4.35,4.61,4.62,5.10,4.15,4.24,4.27,4.26,4.29,4.09
66,51,54,57,58,30,43,44,59,40,63,38,62,73,64,44,42,80
-,-,0.49,0.49,0.40,-,3.00,-,0.50,0.67,0.50,3.04,1.06,0.50,1.00,-,-,0.50
94.75,94.10,98.40,96.26,95.00,97.84,96.00,96.40,93.90,95.86,91.30,98.86,98.11,94.40,93.50,89.09,96.90,92.60
17.68,15.60,18.75,18.47,17.06,19.05,20.34,17.42,15.00,19.95,17.25,20.13,16.92,16.37,16.58,19.73,17.32,16.25
2,0,2,2,1,1,0,1,2,2,0,0,0,2,1,2,1,1
21.56,24.54,21.40,21.39,24.68,21.66,25.06,22.02,24.53,20.64,25.09,23.11,20.95,22.91,21.05,20.30,23.77,21.34
61,29,51,55,50,50,58,32,31,50,47,54,52,41,57,52,30,60
26.28,29.71,25.69,25.85,28.83,26.51,31.90,25.73,33.67,24.42,31.81,26.67,24.96,27.45,24.43,22.82,28.50,25.69
83.92,91.40,96.70,91.97,87.90,96.11,93.40,87.60,95.00,87.84,84.10,84.55,91.16,96.60,91.50,89.28,94.00,90.50
8.22,7.32,9.01,8.89,7.81,9.14,8.62,9.02,8.03,9.29,9.74,10.60,8.77,7.23,7.09,8.73,8.84,7.22
4.83,4.82,5.41,5.08,5.18,5.55,5.13,5.06,4.82,5.59,5.45,5.97,5.09,5.11,4.68,5.35,4.99,4.57
5.75,6.06,6.05,6.05,5.91,6.48,6.29,5.85,5.73,6.31,5.91,6.50,5.81,5.77,5.53,6.11,5.39,5.58
16.79,14.58,19.55,18.59,15.18,19.01,16.53,15.88,14.28,18.53,14.85,19.49,18.11,15.09,14.07,18.15,14.39,13.66
136,107,67,101,108,87,108,91,107,67,132,87,111,150,170,75,82,167
-,-,0.87,-,-,-,-,1.20,-,1.28,-,0.79,0.40,0.40,-,-,0.80,-
56,42,39,55,35,43,44,50,29,52,58,38,38,40,45,53,38,29
12.92,13.43,13.73,13.54,13.90,14.23,14.79,13.05,12.45,14.02,13.65,14.39,13.26,13.51,13.02,13.81,14.06,12.90
-,0.20,0.54,-,-,-,0.40,-,0.90,-,-,-,-,0.50,0.80,-,0.10,0.60
3,0,5,3,3,2,0,1,1,1,3,3,0,0,0,1,2,2
36,22,25,19,21,16,33,23,26,29,20,14,24,24,20,26,19,16
30,15,17,21,33,15,23,20,18,7,27,6,12,25,25,25,26,28
13.64,15.55,14.19,14.48,15.95,14.23,17.04,14.21,15.26,12.92,16.12,15.60,13.39,13.88,13.00,13.58,15.39,13.46
96.35,96.60,96.23,88.05,94.70,95.80,96.30,93.80,91.30,100.00,90.20,97.34,98.09,95.60,95.90,98.97,95.70,97.20
7.83,6.89,8.70,8.15,7.08,6.81,7.46,7.85,6.69,6.68,7.47,7.05,8.31,6.58,7.08,6.47,6.52,6.84
60,55,57,83,43,48,68,40,50,56,72,66,40,66,53,70,47,73
6.79,7.84,6.80,6.87,7.48,7.08,7.10,6.79,7.84,6.88,7.59,6.79,6.63,6.68,6.86,6.52,6.92,6.83
8.55,8.91,9.29,9.02,10.35,9.89,9.39,8.67,9.10,9.30,10.01,11.27,8.63,8.51,7.91,9.03,9.77,8.21
94.63,92.30,93.24,92.77,96.50,95.22,89.00,94.20,91.00,94.30,91.60,92.04,94.19,95.20,89.30,93.17,93.60,94.50
21,44,19,26,36,17,23,27,31,10,18,24,17,34,20,10,28,30
14,14,16,37,20,25,15,12,22,32,21,15,14,16,14,25,30,25
96,96,86,97,93,97,87,81,95,79,79,73,82,125,86,95,66,86
97.18,99.10,100.00,99.11,100.00,98.34,100.00,97.80,98.00,100.00,99.10,100.00,99.17,99.10,96.90,100.00,97.50,99.10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,47,24,33,36,25,31,30,36,38,28,15,31,31,25,31,31,30
2,5,2,6,9,3,3,3,4,2,3,0,3,5,1,5,10,3
1,0,1,1,0,1,1,0,1,1,1,0,2,1,1,0,2,3
34,25,8,13,27,13,35,17,21,15,28,21,15,27,16,11,27,40
91.22,89.90,93.29,89.49,84.80,95.57,93.30,86.70,96.10,94.70,84.40,88.28,93.14,94.00,93.40,89.05,94.70,86.00
25,12,11,25,20,10,16,9,3,26,16,16,18,33,15,6,10,29
4.74,4.74,5.11,4.95,4.99,5.37,5.15,4.98,4.71,5.49,4.99,5.37,4.72,4.68,4.86,4.95,4.81,4.62
98.84,96.40,98.52,98.52,97.00,95.18,95.40,100.00,97.60,97.63,96.70,100.00,98.79,94.80,91.40,96.97,92.00,97.30
8.03,8.83,7.75,7.82,8.35,7.77,7.49,8.13,8.77,8.08,8.78,8.29,7.42,8.06,7.77,7.86,7.79,8.14
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94.57,95.70,96.96,94.63,97.60,89.96,93.80,96.70,91.70,92.54,90.10,99.08,90.82,94.80,93.10,94.43,96.60,96.10
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27.10,28.58,27.11,27.72,28.53,28.30,29.64,27.18,33.50,27.76,32.37,30.22,25.79,27.40,25.66,26.08,28.82,25.20
98.64,100.00,98.75,98.53,95.80,100.00,94.20,100.00,98.00,98.82,100.00,99.44,97.35,97.40,98.20,91.88,96.60,96.10
1,1,3,0,2,1,3,2,3,3,2,0,0,2,0,2,1,2
3,3,1,0,2,2,1,2,2,3,2,2,3,2,3,1,2,2
0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
8,10,6,13,9,6,5,9,13,4,4,0,5,10,9,7,8,8
59,49,65,72,50,72,76,53,60,74,86,73,80,66,108,74,36,86
4.21,3.29,6.90,5.37,3.23,6.18,3.51,4.16,3.41,6.52,3.90,6.12,5.03,3.10,3.37,5.95,3.44,3.27
2,2,1,1,0,1,1,1,1,4,1,0,3,2,3,5,2,2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0
-,-,-,-,0.50,-,0.90,0.40,-,0.81,-,-,-,0.40,0.30,-,-,-
197,189,136,166,159,190,200,135,143,169,175,154,169,175,168,169,120,176
16,8,7,18,16,13,7,11,16,5,12,7,13,15,13,7,16,14
4,,7,7,,5,6,4,,3,4,5,8,,,6,,
-,0.70,-,1.12,-,-,-,-,-,-,-,-,-,0.40,-,-,1.00,-
