jun_19,may_12,mar_12,may_19,oct_13,aug_17,sep_17,oct_12,indicator,aug_15,jan_16,nov_15,nov_14,mar_15,aug_11,oct_16,jul_16,apr_11,aug_16,dec_10,may_13,jul_15,feb_17,jul_18,nov_12,jan_17,mar_16,mar_13
16.0,17,13,16.0,11,11,13,20,Burglary,40,18,27,11,15,29,27,17,15,19,18,20,27,14,11,24,14,23,15
5.0,10,30,8.0,20,16,17,28,Burglary,15,17,10,14,19,44,14,11,27,16,22,26,19,9,19,40,9,16,27
13.0,43,7,7.0,39,13,11,17,Burglary,22,10,13,27,17,34,30,17,16,14,29,27,21,25,10,22,15,22,18
,94.40,97.60,,92.40,94.18,91.65,91.20,Streets rated acceptably clean (%),97.26,94.98,97.63,96.76,85.46,93.50,100.00,100.00,98.00,,93.60,95.70,95.26,87.84,100.00,99.20,97.35,94.37,90.80
0.0,0,0,0.0,1,0,0,1,Murder and non-negligent manslaughter,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0,0,0.0,0,0,0,0,Grand larceny auto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.47,5.30,4.87,5.98,5.26,5.81,5.84,5.32,Recycling tons per truckshift,5.63,5.49,6.00,5.66,5.38,5.41,5.89,6.08,5.51,5.75,5.78,5.28,5.86,5.33,5.97,5.86,6.07,5.71,5.12
17.16,12.76,13.49,16.76,13.50,17.18,17.23,10.37,Curbside and Containerized Recycling Diversion Rate,13.88,13.69,12.83,13.14,14.51,13.44,13.61,13.96,13.36,13.91,14.11,12.68,13.72,13.94,16.74,13.85,15.58,14.18,13.42
2.0,0,2,2.0,1,1,0,0,Forcible rape,5,3,0,1,2,0,1,2,2,0,1,2,1,0,1,0,1,3,0
12.64,8.13,8.28,11.71,8.68,11.95,12.10,6.81,Curbside and Containerized Recycling Diversion Rate,10.27,10.58,10.12,9.29,10.45,7.98,11.43,11.23,8.52,11.31,9.23,8.13,10.07,11.59,12.35,9.26,13.03,11.26,8.35
,94.20,97.70,,91.10,97.29,89.40,88.20,Sidewalks rated acceptably clean (%),91.23,93.35,92.30,91.24,88.64,95.80,85.76,92.48,95.10,,89.20,87.80,99.10,100.00,93.38,,98.53,96.44,96.40
7.0,16,27,11.0,15,10,6,17,Burglary,19,7,12,15,9,15,18,12,8,12,10,7,9,11,10,12,14,10,11
134.0,106,95,130.0,78,109,115,105,Major felony crime,111,100,103,73,115,116,133,137,89,117,106,114,121,101,126,104,118,109,114
