reporting_year,gi_result_roof_access,si_req_rodent_bird,meet_standards,nys_certified,record_count,total_amount,avg_amount,max_amount,min_amount
2023,N,Y,,Y,12,14,1.1666666666666667,2,1
2022,N,Y,,Y,21,24,1.1428571428571428,2,1
2020,N,Y,Y,Y,7,7,1.0,1,1
2016,N,Y,,Y,5,6,1.2,2,1
2025,N,Y,,Y,9,9,1.0,1,1
2024,N,Y,,Y,14,21,1.5,3,1
2015,N,Y,,Y,25,27,1.08,3,1
2021,N,Y,,Y,13,16,1.2307692307692308,2,1
