borough,school_year,total,count,average
K,2016 - 17,93.0,48,4.894736842105263
X,2016 - 17,50.0,4,50.0
M,2016 - 17,22.0,39,1.0476190476190477
Q,2016 - 17,4.0,3,1.3333333333333333
R,2016 - 17,0.0,1,0.0
