brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,latitude,category,count,avg_value,total_value,max_value
3-00235-0044,"{'latitude': '40.697672128422', 'longitude': '-73.994744379748', 'human_address': '{""address"": ""130 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.697532,Medium Value,1,2130000.0,2130000,2130000
3-07464-0035,"{'latitude': '40.586510824766', 'longitude': '-73.949066628079', 'human_address': '{""address"": ""3060 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.586733,High Value,1,6650000.0,6650000,6650000
3-01083-0045,"{'latitude': '40.700601192899', 'longitude': '-73.986689185254', 'human_address': '{""address"": ""92 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-07158-0063,"{'latitude': '40.594364129614', 'longitude': '-73.964489496344', 'human_address': '{""address"": ""2265 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.59427,Medium Value,1,3610000.0,3610000,3610000
3-01106-0014,"{'latitude': '40.700781920764', 'longitude': '-73.990411793896', 'human_address': '{""address"": ""7 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-06462-0040,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8847 BAY 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.603108,Medium Value,1,3560000.0,3560000,3560000
3-01106-0016,"{'latitude': '40.700718609954', 'longitude': '-73.989944198243', 'human_address': '{""address"": ""10 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-02715-0005,"{'latitude': '40.721275035634', 'longitude': '-73.946816971154', 'human_address': '{""address"": ""532 GRAHAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.721168,Low Value,1,718000.0,718000,718000
3-01433-0060,"{'latitude': '40.675822338388', 'longitude': '-73.915437089504', 'human_address': '{""address"": ""2153 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.675773,Low Value,1,400000.0,400000,400000
3-01106-0014,"{'latitude': '40.700781920764', 'longitude': '-73.990411793896', 'human_address': '{""address"": ""7 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-00236-0018,"{'latitude': '40.695970750246', 'longitude': '-73.995472459332', 'human_address': '{""address"": ""187 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.696019,Medium Value,1,3290000.0,3290000,3290000
3-01943-0006,"{'latitude': '40.687439695741', 'longitude': '-73.967724177885', 'human_address': '{""address"": ""360 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.687394,High Value,1,6410000.0,6410000,6410000
3-05064-0029,"{'latitude': '40.654875040802', 'longitude': '-73.95867318209', 'human_address': '{""address"": ""32 CLARKSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.654906,Low Value,1,1720000.0,1720000,1720000
3-05257-0045,"{'latitude': '40.70062638776', 'longitude': '-73.985401400454', 'human_address': '{""address"": ""135 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-01107-0009,"{'latitude': '40.700744744272', 'longitude': '-73.989234718086', 'human_address': '{""address"": ""41 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-06503-0020,"{'latitude': '40.628941072506', 'longitude': '-73.971685704399', 'human_address': '{""address"": ""800 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.628805,Medium Value,1,3570000.0,3570000,3570000
3-01059-0055,"{'latitude': '40.67509062861', 'longitude': '-73.972857045219', 'human_address': '{""address"": ""225 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.675123,Medium Value,1,4720000.0,4720000,4720000
3-05329-0062,"{'latitude': '40.645817999296', 'longitude': '-73.974259765762', 'human_address': '{""address"": ""179 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.645795,Low Value,1,886000.0,886000,886000
3-01083-0045,"{'latitude': '40.700601192899', 'longitude': '-73.986689185254', 'human_address': '{""address"": ""92 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-06681-0415,"{'latitude': '40.604687768398', 'longitude': '-73.967081100248', 'human_address': '{""address"": ""1802 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.604451,High Value,1,5530000.0,5530000,5530000
3-01066-0063,"{'latitude': '40.672606618631', 'longitude': '-73.972674751687', 'human_address': '{""address"": ""915 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.672535,Low Value,1,692000.0,692000,692000
3-07440-0028,"{'latitude': '40.589296304507', 'longitude': '-73.949603704658', 'human_address': '{""address"": ""2950 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.589374,Medium Value,1,2720000.0,2720000,2720000
3-06296-0046,"{'latitude': '40.608773273552', 'longitude': '-73.998935439725', 'human_address': '{""address"": ""1855 82 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.608766,Low Value,1,2000000.0,2000000,2000000
3-05424-0001,"{'latitude': '40.631063312045', 'longitude': '-73.971458088', 'human_address': '{""address"": ""715 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.630992,High Value,1,5030000.0,5030000,5030000
