councildist,police_precinct,categoriesaccepted,categoriesavailable,primary_district,local_assembly,count,total
36.0,79.0,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,8.0,56.0,1,8.0
10.0,34.0,"Clothing/Personal Accessories, Footwear",,13.0,72.0,1,13.0
37.0,83.0,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",,7.0,53.0,1,7.0
51.0,121.0,"Clothing/Personal Accessories, Footwear",,11.0,63.0,1,11.0
20.0,109.0,"Clothing/Personal Accessories, Footwear",,6.0,40.0,1,6.0
36.0,77.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",,9.0,43.0,1,9.0
42.0,75.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",,8.0,60.0,1,8.0
29.0,102.0,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",5.0,38.0,1,5.0
12.0,47.0,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",,15.0,83.0,1,15.0
8.0,40.0,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment","Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",14.0,84.0,1,14.0
49.0,121.0,"Clothing/Personal Accessories, Footwear",,11.0,61.0,1,11.0
34.0,90.0,Books/Media,Books/Media,7.0,50.0,2,14.0
13.0,49.0,"Clothing/Personal Accessories, Footwear",,15.0,80.0,1,15.0
24.0,107.0,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games","Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games",5.0,29.0,1,5.0
51.0,,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",,11.0,62.0,1,11.0
13.0,49.0,HealthCare,,15.0,80.0,2,30.0
33.0,94.0,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",,7.0,50.0,1,7.0
32.0,102.0,"Clothing/Personal Accessories, Footwear",,7.0,38.0,1,7.0
15.0,48.0,"Clothing/Personal Accessories, Footwear",,15.0,86.0,1,15.0
3.0,6.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings","Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",10.0,66.0,1,10.0
1.0,5.0,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings","Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",10.0,66.0,1,10.0
37.0,83.0,"Clothing/Personal Accessories, Footwear",,7.0,54.0,1,7.0
23.0,103.0,"Clothing/Personal Accessories, Footwear",,5.0,29.0,1,5.0
31.0,116.0,Clothing/Personal Accessories,Clothing/Personal Accessories,5.0,29.0,1,5.0
15.0,48.0,Food/Beverage,Food/Beverage,15.0,78.0,1,15.0
51.0,,Clothing/Personal Accessories,,11.0,62.0,2,22.0
22.0,114.0,"Clothing/Personal Accessories, Footwear",,7.0,36.0,1,7.0
36.0,79.0,"Clothing/Personal Accessories, Footwear",,8.0,57.0,1,8.0
33.0,94.0,"Clothing/Personal Accessories, Footwear",,7.0,50.0,1,7.0
38.0,72.0,"Food/Beverage, Baby Care",Baby Care,10.0,51.0,1,10.0
19.0,109.0,"Clothing/Personal Accessories, Footwear",,14.0,27.0,3,42.0
