location_name,location_name,workstation_number,wireline_dwn,productivity_tools_ex_using,digital_literacy,wifi_dwn,job_readiness_ex_resume_help,total_wifi_dwn
Greenbelt Media Lab,Greenbelt Media Lab,9.0,,N,N,,N,
Stanley M. Isaacs Neighborhood Community Center,Stanley M. Isaacs Neighborhood Community Center,,0.0,N,Y,0.0,Y,0.0
Scheuer House of Coney Island Older Adult Center,Scheuer House of Coney Island Older Adult Center,2.0,94.4,N,Y,92.1,N,92.1
Saint Nicholas Social Club,Saint Nicholas Social Club,7.0,420.2,N,Y,420.2,N,420.2
Jacob A. Riis Neighborhood Settlement Community Center,Jacob A. Riis Neighborhood Settlement Community Center,,0.0,N,Y,0.0,Y,0.0
Sue Ginsburg Older Adult Center,Sue Ginsburg Older Adult Center,4.0,93.3,Y,N,91.0,N,91.0
High Bridge Library,High Bridge Library,31.0,1000.0,Y,N,1000.0,Y,1000.0
Cypress Hills Adult Social Club,Cypress Hills Adult Social Club,0.0,523.5,N,N,416.6,N,416.6
Coney Island Library,Coney Island Library,12.0,101.0,N,Y,100.0,N,100.0
Melrose Mott Haven Neighborhood Senior Center,Melrose Mott Haven Neighborhood Senior Center,6.0,45.8,Y,Y,84.7,N,84.7
St Charles Neighborhood Senior Center,St Charles Neighborhood Senior Center,6.0,87.5,N,N,97.5,N,97.5
South Jamaica Cornerstone Community Center,South Jamaica Cornerstone Community Center,6.0,250.8,N,N,10.4,N,10.4
Harry Belafonte 115th Street Library,Harry Belafonte 115th Street Library,23.0,1000.0,Y,N,1000.0,Y,1000.0
Independence Plaza Older Adult Center,Independence Plaza Older Adult Center,0.0,466.3,Y,Y,24.3,N,24.3
Club Holliswood Older Adult Center,Club Holliswood Older Adult Center,0.0,107.1,N,N,94.1,N,94.1
Lenox Hill Neighborhood House,Lenox Hill Neighborhood House,12.0,94.0,Y,Y,92.4,Y,92.4
SAGE Center Harlem,SAGE Center Harlem,3.0,529.3,N,N,511.4,N,511.4
North Forest Park Library,North Forest Park Library,8.0,500.0,N,N,24.4,N,24.4
Rugby Library,Rugby Library,20.0,101.0,Y,N,100.0,Y,100.0
McCarren Media Lab,McCarren Media Lab,13.0,143.5,N,N,103.6,N,103.6
Broad Channel Library,Broad Channel Library,5.0,500.0,N,N,24.4,N,24.4
Carver Neighborhood Older Adults Center,Carver Neighborhood Older Adults Center,16.0,96.0,Y,Y,96.0,N,96.0
