system,total_shape_star,nys_senate,councildis
QZ370,3038.60282898,11,23
QZ110,1012.57501221,13,26
QZ765,1452.70996094,16,24
QZ228,13083.455719,12,26
QZ601,6059.31440735,14,27
B178-BZ182,1193.37138367,17,45
X003-XZ181,582.368743896,34,13
Q262-QZ466,3016.45735168,11,19
QZ149,618.87046814,11,19
QZ429,2750.01525879,14,29
MZ104,2739.8253479,29,8
QZ499,2411.06352234,14,23
BZ561,2306.99453735,20,35
X278-XZ146,6375.62779236,36,13
MZ234,2099.12437439,26,1
QZ544,1954.79397583,14,31
QZ49,1539.22038269,16,25
QZ285,3334.82867432,13,21
QZ140,1174.81408691,13,21
Q157-QZ799,4842.65480042,14,29
QZ364,573.304107666,11,19
MZ378,274.705474854,27,3
MZ393,114.222549438,27,3
QZ30,3801.23580933,16,20
B178-BZ183,1408.10548401,17,45
QZ138,2332.11395264,12,26
QZ318,11768.1815033,16,21
QZ389,471.714935303,11,24
M123-MZ300,5535.38293457,26,1
QZ82,2275.31309509,11,23
X148K2-XZ415,10262.8613892,33,18
X049-XZ405,1995.1231842,34,13
QZ175,3550.87445068,13,26
QZ153,1012.70649719,11,19
QZ763,1557.54232788,"16, 11",24
BZ527,1075.71203613,18,41
QZ148,511.014099121,11,19
QZ128,566.996673584,11,23
M072-MZ223,1306.47663879,31,7
QZ351,630.554168701,11,19
XZ458,764.096252441,33,15
Q099-QZ142B,1747.13276672,13,21
QZ538,2085.38346863,14,31
X082-XZ327,14717.5106049,29,16
QZ775,1151.93687439,16,24
QZ239,1391.81155396,13,21
X148M-XZ407,29836.6232605,34,18
B255D-BZ493,4006.90568542,21,38
QZ689,8692.96177673,15,32
QZ448,3276.19450378,15,32
