property_id,property_name,percent_better_than_national,property_floor_area_building,energy_star_certification_3,date_property_last_modified,national_median_site_energy,national_median_energy_cost
1712194,CW Diesel 220 West 19th Street,-41.3,110032,False,12/19/2013 06:55 AM EST,11421321.6,458260.92
2273786,82 Wall Street,-63,56271,False,04/25/2014 06:50 AM EDT,8063634.3,0
2587548,MMS428 - East 110th street,75.8,222200,False,04/17/2014 12:41 PM EDT,3955160,198669.65
2592027,Westleigh Company LLC,Not Available,80754,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2638808,350 E 77 St.,Not Available,66962,False,04/15/2014 07:32 AM EDT,Not Available,Not Available
1357969,The Ford Foundation,23,287400,False,04/29/2014 10:48 AM EDT,18278640,0
1357969,The Ford Foundation,23,287400,False,04/29/2014 10:48 AM EDT,18278640,0
2612591,1461 SHORE PKWY PLPM,Not Available,85757,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2598358,Flushing,168.3,166738,False,02/10/2014 01:08 PM EST,20241993.2,0
2609630,1840 Concourse Associates,Not Available,58000,False,04/29/2014 12:29 PM EDT,Not Available,Not Available
2271554,Higgins Hall,12.2,136000,False,04/22/2014 10:32 AM EDT,8486400,0
2598352,327 Central Park West Condominium,Not Available,102972,False,03/31/2014 08:04 AM EDT,Not Available,Not Available
1217055,cushwake450,Not Available,2613986,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
1460459,909 Third,-27.1,791632,True,09/15/2013 04:29 PM EDT,106632830.4,2789156.31
2440099,209 E 23,Not Available,79965,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
2535600,175 lawrence,-37.1,105000,False,09/15/2013 04:31 PM EDT,11424000,0
2638025,225 FOURTH COMPANY,-32,615000,True,09/15/2013 04:30 PM EDT,75645000,0
2383832,257 West 86th Street,Not Available,68821,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
2612655,Hudson Alley,-26.4,51750,False,09/15/2013 04:30 PM EDT,3669075,0
1730167,250 West 57th,-40.7,601586,False,09/15/2013 04:29 PM EDT,67377632,0
2630978,50 ARLO RD ENT,Not Available,22033,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2388674,44 West 62nd Street,Not Available,213796,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
1758568,10167 55 E 59th Street,-23.9,295780,False,04/29/2014 01:15 PM EDT,29578000,121341.49
2497918,"Plaza 52, LLC",8.6,297836,False,04/07/2014 07:37 AM EDT,27162643.2,0
2552613,AMBASSADOR APTS INC,Not Available,50070,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2561172,2955 W29th (Oceangate 28),Not Available,149955,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2563484,KOFLER ASSOCIATES,-40,63270,True,03/28/2014 12:57 PM EDT,6358635,0
2604537,250 West 24th Street,Not Available,74545,False,03/31/2014 02:41 PM EDT,Not Available,Not Available
2638869,595 West End Ave,Not Available,55190,False,02/06/2014 06:32 AM EST,Not Available,Not Available
1426392,845 Third Avenue,-6.2,342387,False,09/15/2013 04:29 PM EDT,44578787.4,0
1536164,ATCO - 555 Fifth Avenue,Not Available,244534,False,04/30/2014 02:39 PM EDT,Not Available,Not Available
1839071,315 Hudson St,-41.7,427972,False,09/15/2013 04:29 PM EDT,33339018.8,0
2386537,1160 Third Avenue - Frost Owners Corp,Not Available,152026,False,02/06/2014 06:32 AM EST,Not Available,Not Available
2636855,230 West 38th Street,-72.1,157059,False,02/12/2014 05:32 AM EST,21234376.8,0
2638784,316 W 84 St.,Not Available,51450,False,04/15/2014 12:59 PM EDT,Not Available,Not Available
2591543,TRUSTEES OF THE MASONIC HALL,-23.8,372545,False,03/19/2014 12:13 PM EDT,42023076,0
2638939,130 Jane St.,Not Available,50820,False,02/06/2014 06:32 AM EST,Not Available,Not Available
1261446,One Liberty Plaza,-29,2346193,False,01/10/2014 06:08 AM EST,409176059.2,13419748.81
1719778,Court Square Place,56.4,275252,False,04/14/2014 10:53 AM EDT,16047191.6,0
1719778,Court Square Place,56.4,275252,False,04/14/2014 10:53 AM EDT,16047191.6,0
2383987,785 Fifth Avenue,Not Available,184489,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
2546297,"RSD 920, LLC",Not Available,83952,False,04/03/2014 12:37 PM EDT,Not Available,Not Available
2630962,2612 W 2 ST PLPM,Not Available,194870,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2630976,23 ARLO RD OM,Not Available,39667,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
2383250,200 East 84th Street,Not Available,137469,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
2563039,"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available
