site,categoriesaccepted,senate_district,count,total
University Heights Educational c/o BCS,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",59.0,1,59.0
Los Redimidos en la Sangre de Cristo,Food/Beverage,33.0,1,33.0
City Harvest,"Food/Beverage, Baby Care",26.0,1,26.0
Staten Island Animal Care Center,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",24.0,1,24.0
Women's Facility,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",20.0,1,20.0
Hope Gardens Multi-Service Senior Center,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",18.0,1,18.0
Calvary's Mission,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",15.0,1,15.0
Love Covenant Church,Clothing/Personal Accessories,14.0,1,14.0
