dobrundate,job_status,other_description,sign_const_type,latest_action_date,applicant_professional_title,sign_near_park,sign_near_highway
2017-10-12 00:00:00,D,SIGN           ,,10/11/2017 00:00:00,PE,N,
2017-09-09 00:00:00,D,               ,,10/05/2017 00:00:00,RA,N,
2017-09-09 00:00:00,D,               ,,10/05/2017 00:00:00,RA,N,
2017-09-15 00:00:00,D,               ,,10/05/2017 00:00:00,RA,N,
2017-09-15 00:00:00,D,               ,,10/05/2017 00:00:00,RA,N,
2017-08-30 00:00:00,J,SIGN           ,,10/11/2017 00:00:00,RA,N,
2017-08-30 00:00:00,J,SIGN           ,,10/11/2017 00:00:00,RA,N,
2017-10-04 00:00:00,J,SIGN           ,,10/03/2017 00:00:00,PE,N,
2017-10-04 00:00:00,J,SIGN           ,,10/03/2017 00:00:00,PE,N,
2017-08-30 00:00:00,J,SIGN           ,,08/29/2017 00:00:00,PE,N,
2017-09-02 00:00:00,H,GEN. CONSTR.   ,,09/01/2017 00:00:00,RA,N,
2017-10-07 00:00:00,P,SIGN           ,,10/06/2017 00:00:00,PE,N,
2017-09-29 00:00:00,P,SIGN           ,,09/28/2017 00:00:00,PE,N,
2017-09-21 00:00:00,P,SIGN           ,,09/20/2017 00:00:00,PE,N,
2017-09-21 00:00:00,P,SIGN           ,,09/20/2017 00:00:00,PE,N,
2017-09-16 00:00:00,P,SIGN           ,,09/15/2017 00:00:00,RA,N,
2017-10-13 00:00:00,R,               ,,10/12/2017 00:00:00,RA,N,
2017-10-13 00:00:00,R,               ,,10/12/2017 00:00:00,RA,N,
2017-10-12 00:00:00,R,SIGN           ,,10/11/2017 00:00:00,RA,N,
2017-10-12 00:00:00,R,SIGN           ,,10/11/2017 00:00:00,RA,N,
2017-10-12 00:00:00,R,SIGN           ,,10/11/2017 00:00:00,PE,N,
