property_name,t3_property_name,latitude,longitude,t5_latitude,t5_longitude,property_floor_area_building,national_median_energy_cost
230 West 38th Street,230 West 38th Street,40.753942,-73.989829,40.753942,-73.989829,157059,0
3130 Grand Concourse,3130 Grand Concourse,40.875123,-73.886286,40.875123,-73.886286,150135,Not Available
845 Third Avenue,845 Third Avenue,40.756688,-73.970128,40.756688,-73.970128,342387,0
Court Square Place,Court Square Place,40.748206,-73.943731,40.748206,-73.943731,275252,0
Court Square Place,Court Square Place,40.748206,-73.943731,40.748206,-73.943731,275252,0
350 E 77 St.,350 E 77 St.,40.771508,-73.95482,40.771508,-73.95482,66962,Not Available
50 ARLO RD ENT,50 ARLO RD ENT,40.619938,-74.092171,40.619938,-74.092171,22033,Not Available
1160 Third Avenue - Frost Owners Corp,1160 Third Avenue - Frost Owners Corp,40.766971,-73.962639,40.766971,-73.962639,152026,Not Available
316 W 84 St.,316 W 84 St.,40.787832,-73.97947,40.787832,-73.97947,51450,Not Available
"Plaza 52, LLC","Plaza 52, LLC",40.757534,-73.970965,40.757534,-73.970965,297836,0
1461 SHORE PKWY PLPM,1461 SHORE PKWY PLPM,40.598335,-74.005315,40.598335,-74.005315,85757,Not Available
225 FOURTH COMPANY,225 FOURTH COMPANY,40.737366,-73.988424,40.737366,-73.988424,615000,0
Patchogue Homes Condo I,Patchogue Homes Condo I,40.668248,-73.849372,40.668248,-73.849372,192368,Not Available
"RSD 920, LLC","RSD 920, LLC",40.838824,-73.945635,40.838824,-73.945635,83952,Not Available
cushwake450,cushwake450,40.741617,-73.987449,40.741617,-73.987449,2613986,Not Available
130 Jane St.,130 Jane St.,40.738137,-74.009093,40.738137,-74.009093,50820,Not Available
2612 W 2 ST PLPM,2612 W 2 ST PLPM,40.585708,-73.971212,40.585708,-73.971212,194870,Not Available
10167 55 E 59th Street,10167 55 E 59th Street,40.763336,-73.970789,40.763336,-73.970789,295780,121341.49
250 West 57th,250 West 57th,40.766391,-73.982119,40.766391,-73.982119,601586,0
209 E 23,209 E 23,40.738642,-73.982679,40.738642,-73.982679,79965,Not Available
909 Third,909 Third,40.758744,-73.968618,40.758744,-73.968618,791632,2789156.31
Flushing,Flushing,40.759785,-73.829236,40.759785,-73.829236,166738,0
MMS428 - East 110th street,MMS428 - East 110th street,40.792132,-73.938046,40.792132,-73.938046,222200,198669.65
2955 W29th (Oceangate 28),2955 W29th (Oceangate 28),40.573627,-73.995033,40.573627,-73.995033,149955,Not Available
1007-7501,1007-7501,40.768051,-73.89144,40.768051,-73.89144,90374,Not Available
1007-7501,1007-7501,40.768051,-73.89144,40.768051,-73.89144,90374,Not Available
1007-7501,1007-7501,40.768051,-73.89144,40.768051,-73.89144,90374,Not Available
1007-7501,1007-7501,40.768051,-73.89144,40.768051,-73.89144,90374,Not Available
1007-7501,1007-7501,40.768051,-73.89144,40.768051,-73.89144,90374,Not Available
23 ARLO RD OM,23 ARLO RD OM,40.619815,-74.091487,40.619815,-74.091487,39667,Not Available
250 West 24th Street,250 West 24th Street,40.745378,-73.996651,40.745378,-73.996651,74545,Not Available
AMBASSADOR APTS INC,AMBASSADOR APTS INC,40.705268,-73.807754,40.705268,-73.807754,50070,Not Available
CW Diesel 220 West 19th Street,CW Diesel 220 West 19th Street,40.742093,-73.998528,40.742093,-73.998528,110032,458260.92
"DIAMOND: 2115 Washington Realty, L.L.C.","DIAMOND: 2115 Washington Realty, L.L.C.",40.852799,-73.853325,40.852799,-73.853325,85550,Not Available
"DIAMOND: 2115 Washington Realty, L.L.C.","DIAMOND: 2115 Washington Realty, L.L.C.",40.852799,-73.853325,40.852799,-73.853325,85550,Not Available
"DIAMOND: 2115 Washington Realty, L.L.C.","DIAMOND: 2115 Washington Realty, L.L.C.",40.852799,-73.853325,40.852799,-73.853325,85550,Not Available
"DIAMOND: 2115 Washington Realty, L.L.C.","DIAMOND: 2115 Washington Realty, L.L.C.",40.852799,-73.853325,40.852799,-73.853325,85550,Not Available
"DIAMOND: 2115 Washington Realty, L.L.C.","DIAMOND: 2115 Washington Realty, L.L.C.",40.852799,-73.853325,40.852799,-73.853325,85550,Not Available
The Ford Foundation,The Ford Foundation,40.750156,-73.970935,40.750156,-73.970935,287400,0
The Ford Foundation,The Ford Foundation,40.750156,-73.970935,40.750156,-73.970935,287400,0
220 Riverside Boulevard,220 Riverside Boulevard,40.77969,-73.987882,40.77969,-73.987882,795215,Not Available
327 Central Park West Condominium,327 Central Park West Condominium,40.789792,-73.966491,40.789792,-73.966491,102972,Not Available
Higgins Hall,Higgins Hall,40.688353,-73.964511,40.688353,-73.964511,136000,0
Hudson Alley,Hudson Alley,40.722374,-74.00815,40.722374,-74.00815,51750,0
Westleigh Company LLC,Westleigh Company LLC,40.75201,-73.882634,40.75201,-73.882634,80754,Not Available
1840 Concourse Associates,1840 Concourse Associates,40.848054,-73.907271,40.848054,-73.907271,58000,Not Available
257 West 86th Street,257 West 86th Street,40.788559,-73.977065,40.788559,-73.977065,68821,Not Available
44 West 62nd Street,44 West 62nd Street,40.770755,-73.98262,40.770755,-73.98262,213796,Not Available
