global_id,omppropid,gispropnum,gisobjid,acres,subcategor,rank,dense_rank
{429A04BA-3FC8-42D6-A301-9A41B661AB04},Q512,Q512,100042695,0.1,,3,1
{13E74215-EA2C-49C5-A7CB-E8CAD9176128},M103,M103,100003961,0.208,,1,2
{B2B11A75-EF65-4990-B9C7-C19591B33336},M042,M042,100004337,196.398,Large Park,1,1
{238EEEB3-F7B5-4CC0-8E22-C42D4602A6B4},X148F4,X148F4,100005065,0.759,Sitting Area/Triangle/Mall,2,1
{01AD13F4-0459-44AD-976B-9A84F11D1D1D},B367,B367,100004252,0.918,Neighborhood Park,2,1
{36C1A3DB-2755-46E6-A13C-2642A1EC8FD0},X154,X154,100004886,1.001,Neighborhood Plgd,5,1
{844F730C-7ED2-46FD-B641-9411AB7281F4},B058,B058,100004428,36.493,Large Park,3,1
{BF0FA841-10C0-4707-B313-9A3930A9A6EE},B385,B385,100003886,6.611,Neighborhood Park,1,2
{26B901CA-AE06-4CFE-B1C8-F6C58567E5BB},M130,M130,100003730,0.17,,2,1
{C1C8959D-31C9-41A4-9B82-E9DA37028410},X141,X141,100004608,1.23,JOP,2,1
{F8075B8C-CBF6-4787-8286-015F5D19C353},X296,X296,100005098,0.494,To Be Determined,1,1
{F9FD25ED-3B64-4849-A637-79D12F811721},Q096,Q096,100000385,202.647,EXWY,1,1
{AECF1315-55D2-4882-A227-DD20B3B95DAC},Q340,Q340,100000087,2.027,Neighborhood Plgd,3,1
{1AEAE35B-1374-45AC-8866-7035922C15F1},Q464,Q464,100000421,19.556,Large Park,5,1
{80EE6F41-8ECE-40CB-AB06-819401523580},Q400,Q400,100000418,1.166,JOP,3,1
{178C3F6A-2C23-417C-A965-1A17FE90B1C7},Q262,Q262,100000376,0.553,Sitting Area/Triangle/Mall,4,2
{4A48662F-0062-42F0-A485-3F0BE8B11A8A},Q100A,Q100A,100000158,0.658,Sitting Area/Triangle/Mall,3,1
{4D71EF50-63FA-4C6D-B831-1EBF5905CB69},M323,M323,100003900,0.186,Greenthumb,2,1
{48CF5D4C-74BB-4F63-824C-A3C0B148C8A3},M344,M344,100004784,0.11,Greenthumb,5,1
{7338ADD9-84F0-426C-A952-EA4AD20A0B7C},M406,M406,100036981,0.068,,4,1
{B687C2C5-C8E0-4125-9E3C-18E61DE3771D},B582,B582,100024481,0.058,,5,1
{0374C559-56ED-4988-BA55-62CAE46E2A97},B246,B246,100004184,0.694,JOP,4,1
{AD2ED4D0-A6E0-4F5E-ABBE-A732A0935378},B533,B533,100003834,0.249,Greenthumb,1,3
{DF9E1D08-7B54-43BA-8C68-1309EE96FC89},B371,B371,100004750,42.583,REDEC,1,4
{F92F99BD-A37C-4B40-89DD-0989C91D6F7C},R088,R088,100004808,94.1,Flagship Park,1,1
{CE57A32B-7860-4EA4-8505-5CAD00DEA7AC},R132,R132,100004989,36.691,Undeveloped,1,2
{8CC7B469-8879-476E-9334-540B312FB426},B223IB,B223IB,100004193,0.489,Sitting Area/Triangle/Mall,5,2
{8842C92B-92E3-49EB-99E4-61493E957B92},B111A,B111A,100003913,1.549,JOP,1,3
{B27DA744-13D8-4E86-B199-F97F8D2A484A},B431,B431,100005143,21.377,Large Park,4,4
{3D60D1B7-D2D6-4408-9301-BDF84926E5A0},B297,B297,100004017,0.538,JOP,5,1
{D00C4E51-80F2-4CA2-8928-93161F8C15A8},M033,M033,100005068,4.3,Neighborhood Plgd,1,1
{FA432DB3-2C80-4B4D-B8B4-C8C3211EBCB2},M059,M059,100004741,1.275,Neighborhood Plgd,4,2
{78B799A1-4216-4643-AD02-B5E98A723324},M361,M361,100003808,0.15,Greenthumb,3,3
{851E032C-7A4D-47FC-9AD8-2D18BF5160D3},X331,X331,100004037,0.15,Greenthumb,3,1
{4CFA9421-3D04-46C8-A0BE-9C8080CDD298},Q066H,Q066H,100000149,1.226,Sitting Area/Triangle/Mall,1,1
{15373BE7-0EF4-4B2F-96BC-B4DEF766450E},B324,B324,100004147,2.984,Neighborhood Plgd,2,1
{F883B0AA-D83C-481C-AA13-261DA55C619B},X142,X142,100004035,144.29,Large Park,2,2
