system,total_acres
QZ239,0.03195159
QZ153,0.02324854
QZ138,0.05353797
X049-XZ405,0.04580172
QZ389,0.01082908
QZ285,0.07655713
QZ49,0.03533563
X148K2-XZ415,0.23560287
QZ140,0.02697001
QZ448,0.07521107
QZ765,0.03334963
MZ234,0.04818926
QZ689,0.19956293
QZ148,0.01173126
QZ499,0.05535039
QZ775,0.02644483
B255D-BZ493,0.09198589
X082-XZ327,0.33786755
Q262-QZ466,0.06924833
M072-MZ223,0.02999257
BZ561,0.05383873
MZ104,0.06289773
QZ30,0.08726436
B178-BZ182,0.02739603
XZ458,0.01754123
QZ128,0.01301645
QZ175,0.08151685
QZ429,0.06313166
QZ110,0.02324552
QZ318,0.27016027
Q157-QZ799,0.11117205
MZ393,0.00262218
QZ601,0.13910271
QZ149,0.01420731
QZ228,0.30035481
QZ370,0.06975672
X148M-XZ407,0.68495462
M123-MZ300,0.1270749
X278-XZ146,0.14636427
Q099-QZ142B,0.04010864
QZ763,0.03575625
QZ544,0.04487589
BZ527,0.02470138
QZ82,0.05223399
QZ538,0.04787381
X003-XZ181,0.01336934
QZ364,0.01316125
QZ351,0.01447553
MZ378,0.00630813
B178-BZ183,0.03232565
