property_id_1,total_electricity_use
2703161,3092591.0
4041531,4939856.1
2640850,18711056.6
2710362,5346310.6
2942054,1927126.6
6212669,577277.3
2975830,1460837.6
6276753,
6128972,
2936772,
4043349,8988402.2
2947162,2094761.2
6223345,66542.3
2817671,2660442.8
2809319,
2989315,3310988.8
2665684,4667865.1
3117707,2849914.3
6011246,357323.7
5766730,6712632.3
3108824,3946479.6
6236828,30533.7
6190886,172311.0
6222514,1015421.4
3382694,1857629.3
2674887,14669112.7
6182209,1051476.0
2731076,
2942073,1628687.8
2587536,652804.7
2941942,
4401809,109029470.39999999
5078536,4567435.0
4401675,45545027.4
2702022,32269000.2
6245205,6085452.1
2786510,676989.3
6299476,
2649752,1667321.6
6151465,50811504.0
2664118,29697682.9
3524382,334421.8
5237199,16213.8
3113637,20643084.6
6198641,245809.0
3488156,1087776.6
4407826,6795008.2
2646028,24354115.6
1819837,3554618.2
5793733,2384042.9
