bronx_cooperatives_comparable_properties_boro_block_lot,total_est_gross_income
2-02727-0039,178623
2-05778-0879,1485000
2-05259-0016,2739200
2-05714-0164,2398500
2-03252-0052,3663456
2-02861-0119,292905
2-02488-0036,409530
2-05919-0448,1819778
2-05725-0767,866250
2-05799-0073,1329365
2-02721-0042,184647
2-02861-0114,652016
2-02603-0024,280791
2-05716-0500,6063200
2-02479-0001,411720
