building_manager,t3_building_manager,borough_block_lot,t5_borough_block_lot,total_units,boiler_installation_date,boiler_capacity_gross_btu,of_res_units
MANCHESTER WEST 36 LLC,MANCHESTER WEST 36 LLC,1007860013,1007860013,15,1970,4.9,0
R.G.A. AGENT/38 WEST 32 ASSOCIATES,R.G.A. AGENT/38 WEST 32 ASSOCIATES,1008330018,1008330018,76,1980,8.82,0
T.U.C. MANAGEMENT CO.INC.,T.U.C. MANAGEMENT CO.INC.,1008910062,1008910062,31,1985,2.8,31
ONE FIFTH AVE APT/INSIGNIA RESIDENT,ONE FIFTH AVE APT/INSIGNIA RESIDENT,1005500022,1005500022,200,2002,16.8,198
ONE FIFTH AVE APT/INSIGNIA RESIDENT,ONE FIFTH AVE APT/INSIGNIA RESIDENT,1005500022,1005500022,200,2002,16.8,198
GVA WILLIAMS REAL ESTATE CO.,GVA WILLIAMS REAL ESTATE CO.,1008010014,1008010014,13,1986,3.43,0
162 ASSOCIATES LLCC/O MUTRRY HILL,162 ASSOCIATES LLCC/O MUTRRY HILL,1008230037,1008230037,7,1989,6.27,0
MARTIN BAUMRIND,MARTIN BAUMRIND,1010750044,1010750044,10,2008,2.6,10
CHARLES STREET ASSOCIATES,CHARLES STREET ASSOCIATES,1006110045,1006110045,19,1965,1.1,18
119 FIFTH AVE.CORP.,119 FIFTH AVE.CORP.,1008480001,1008480001,9,1990,4.07,2
227 TENANTS CORP.,227 TENANTS CORP.,1011960035,1011960035,22,1988,2.59,22
JEFFREY MANAGEMENT,JEFFREY MANAGEMENT,1001710001,1001710001,68,1972,10.5,0
WASSERSTEIN BROS,WASSERSTEIN BROS,1007600055,1007600055,28,1987,2.81,0
NEW BEDFORD MGMT,NEW BEDFORD MGMT,1007710038,1007710038,133,1978,5.2,130
CARL S YOUNG,CARL S YOUNG,1022020033,1022020033,72,1986,6.0,72
MURRAY HILL OWNERS CO.,MURRAY HILL OWNERS CO.,1008910023,1008910023,35,1977,3.1,35
12 E 12 STREET CONDO,12 E 12 STREET CONDO,1005697501,1005697501,27,1988,5.3,26
MIRANDA REALTY ASSOC.,MIRANDA REALTY ASSOC.,1007790049,1007790049,46,1972,3.6,7
HELMSLEY SPEAR INC.,HELMSLEY SPEAR INC.,1007870025,1007870025,19,1951,6.0,0
470P.A.ASSOC/S.L.GREEN MG,470P.A.ASSOC/S.L.GREEN MG,1008610044,1008610044,31,1994,8.4,0
55 PARK TENANTS CORP.,55 PARK TENANTS CORP.,1008930002,1008930002,33,1984,3.4,32
77 PARK AVE. CONDOMINIUM,77 PARK AVE. CONDOMINIUM,1008947501,1008947501,106,1993,8.19,106
THREE O REALTY LLC,THREE O REALTY LLC,1010127501,1010127501,58,1998,5.02,0
ONE HUDSON PARK INC,ONE HUDSON PARK INC,1001440001,1001440001,33,1979,6.4,25
PR 30 LLC,PR 30 LLC,1007540028,1007540028,12,2003,2.34,12
ELO EQUITIES LLC,ELO EQUITIES LLC,1009990009,1009990009,2,2002,24.0,0
PARISH OF TRINITY CHURCH,PARISH OF TRINITY CHURCH,1002270063,1002270063,0,1986,3.9,0
130 WEST 57 STREET CO,130 WEST 57 STREET CO,1010090046,1010090046,85,1993,4.3,10
CHARLES H. GREENTHAL,CHARLES H. GREENTHAL,1011380001,1011380001,376,1976,12.6,376
OUR LADY OF POMPEI R.C.CHURCH,OUR LADY OF POMPEI R.C.CHURCH,1005860020,1005860020,4,1992,5.25,0
CHURCH MANAGEMENT,CHURCH MANAGEMENT,1008687502,1008687502,229,1977,15.5,224
JENEL MANAGMENT,JENEL MANAGMENT,1008690064,1008690064,18,1992,5.3,0
LEE KWAN CHAH,LEE KWAN CHAH,1010120032,1010120032,25,1989,2.59,0
WEST 63 EMPIRE ASSOCIATES LLC,WEST 63 EMPIRE ASSOCIATES LLC,1011150057,1011150057,7,2007,10.0,0
ENF. 11/20/92,ENF. 11/20/92,1001450012,1001450012,6,1970,2.5,0
RANDAL HSE. OWNERS % AKAM ASSOC.,RANDAL HSE. OWNERS % AKAM ASSOC.,1005617501,1005617501,235,2006,6.6,229
HUNTER COLLEGE,HUNTER COLLEGE,1010500006,1010500006,0,1969,0.0,0
DEZER PROPERTIES,DEZER PROPERTIES,1008220015,1008220015,1,2008,5.0,0
CONCOURSE MGMT/BLDG MGMT INC.,CONCOURSE MGMT/BLDG MGMT INC.,1010180061,1010180061,0,1973,2.4,0
BROCROS REALTY,BROCROS REALTY,1005110016,1005110016,24,1979,4.2,0
"TUR,JOSE","TUR,JOSE",1021570081,1021570081,30,1990,2.0,30
"CHELSEA 25, LLC","CHELSEA 25, LLC",1007750017,1007750017,69,1989,4.2,69
MARTY MYERS/EDWIN,MARTY MYERS/EDWIN,1007977502,1007977502,23,1982,3.8,22
110 W.40 JOINT VENTURE,110 W.40 JOINT VENTURE,1008150039,1008150039,114,1997,8.4,0
"LEIST,FRED","LEIST,FRED",2028070070,2028070070,67,1985,12.18,67
ESTATE OF EDWIN S. LOWE/CHASE MAN,ESTATE OF EDWIN S. LOWE/CHASE MAN,1008290016,1008290016,22,1984,8.2,0
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,1008380024,1008380024,14,2007,4.1,0
CAPITAL BUILDING LOFT CORP.,CAPITAL BUILDING LOFT CORP.,1007750060,1007750060,43,1992,6.27,0
MOCAL ENTERPRISES INC.,MOCAL ENTERPRISES INC.,1008310064,1008310064,100,1973,4.9,0
REAL ESTATE INDUSTRIAL INC.,REAL ESTATE INDUSTRIAL INC.,1010770043,1010770043,3,1993,8.4,0
MOSHE GLICKMAN,MOSHE GLICKMAN,1011620141,1011620141,37,1970,2.8,37
