dbn,total_college_career_rate,program1,method1
08X269,0.57,Bronx Studio School for Writers and Artists,Ed. Opt.
09X327,0.74,Comprehensive Model School Project (CMSP),Open
21K348,0.45,Sport Management,Ed. Opt.
12X478,0.78,The Cinema School,Screened
10X434,0.8,College and University Transitional Seminar,Screened
10X524,0.36,Digital Media/Recording Entertainment Technology,Screened: Language
11X545,0.47,Bronx Aerospace High School,Ed. Opt.
02M260,,The Clinton School,Screened
23K647,,Metropolitan Diploma Plus High School,Transfer
11X514,0.44,The Bronxwood Preparatory Academy,Ed. Opt.
27Q334,,Epic High School - North,Ed. Opt.
31R450,0.6,Software Engineering Institute,Open
28Q325,0.63,Hillside Arts & Letters Academy,Ed. Opt.
02M135,0.71,The Urban Assembly School for Emergency Management,Ed. Opt.
26Q435,0.45,STEM Institute for Science Research,Screened
10X225,0.55,Instrumental Music,Audition
12X684,0.35,Academy for Excellence,Ed. Opt.
03M494,0.44,Arts & Technology,Ed. Opt.
19K615,0.41,Computer Forensic Science and Technology,Ed. Opt.
26Q430,0.82,Jacob K. Javits Law Institute,Ed. Opt.
15K592,0.48,Khalil Gibran International Academy,Ed. Opt.
