job_filing_number,t3_job_filing_number,bis_nyc_device_id,t5_bis_nyc_device_id,type_of_machine_break,elevator_type,machine_location,elevator_operation
M00254733-I1,M00254733-I1,1P26568,1P26568,,Passenger,16TH FLOOR,Power
M00898726-I1,M00898726-I1,1P45731,1P45731,Drum,Passenger,motor room,Power
B00361636-I1,B00361636-I1,3P13822,3P13822,Drum,Passenger,OH,Power
Q00305648-I1,Q00305648-I1,4P3077,4P3077,Drum,Passenger,ROOF,Power
M01050759-I1,M01050759-I1,1P1000467,1P1000467,Disc,Passenger,Overhead,Power
M00026276-P1,M00026276-P1,1P46370,1P46370,Disc,Passenger,OVERHEAD,Power
X00688848-P1,X00688848-P1,2P4966,2P4966,Drum,Passenger,OH,Power
M00171891-I1,M00171891-I1,1P11985,1P11985,Disc,Passenger,PH2 Floor,Power
M00201338-I1,M00201338-I1,1P40720,1P40720,Drum,Passenger,Roof,Power
B00102117-I1,B00102117-I1,3P13796,3P13796,Disc,Passenger,OVERHEAD,Power
M00183708-I1,M00183708-I1,1P24315,1P24315,Disc,Passenger,ROOF,Power
M00204225-I1,M00204225-I1,1P25582,1P25582,Drum,Passenger,Overhead,Power
M00318072-I1,M00318072-I1,1P47939,1P47939,,Passenger,basement,Power
B00881496-I1,B00881496-I1,3P12779,3P12779,Drum,Passenger,Roof,Power
M00210757-I1,M00210757-I1,1P19799,1P19799,Drum,Passenger,Machine room,Power
M00315470-I1,M00315470-I1,1P20419,1P20419,Disc,Passenger,OH,Power
M01042439-I1,M01042439-I1,1P19021,1P19021,Drum,Passenger,Machine Room,Power
Q00275844-I1,Q00275844-I1,4P1877,4P1877,Drum,Passenger,overhead,Manual
M00121955-I1,M00121955-I1,1P28681,1P28681,Drum,Passenger,ROOF,Power
M00128274-I1,M00128274-I1,1P28868,1P28868,Drum,Passenger,MOTOR ROOM,Power
M00080062-P1,M00080062-P1,1P371,1P371,Disc,Passenger,BASEMENT,Power
Q00322628-I1,Q00322628-I1,4P11428,4P11428,Disc,Passenger,motor room at roof,Power
M00547393-P2,M00547393-P2,1P3256,1P3256,Disc,Passenger,Basement,Power
M00724655-I1,M00724655-I1,1P718,1P718,Drum,Passenger,Roof,Power
S08026288-P1,S08026288-P1,5P0997182,5P0997182,Emergency Brake,Passenger,Overhead,Power
Q00279628-I1,Q00279628-I1,4P15525,4P15525,,Passenger,motor room @ 1,Power
M00105366-I1,M00105366-I1,1P21006,1P21006,Drum,Passenger,sub basement,Manual
M00193197-I1,M00193197-I1,1P27261,1P27261,Disc,Passenger,OH,Power
X00187687-I1,X00187687-I1,2P1813,2P1813,,Passenger,OVERHEAD,Power
M00174384-I1,M00174384-I1,1P35609,1P35609,Emergency Brake,Passenger,BASEMENT,Power
B01186523-I1,B01186523-I1,3P7312,3P7312,,Passenger,1ST FLOOR,Power
M00163402-I1,M00163402-I1,1P1809,1P1809,Drum,Passenger,BASEMENT,Manual
M00333832-I1,M00333832-I1,1P26912,1P26912,,Passenger,motor room @C,Power
B01037519-I1,B01037519-I1,3P11459,3P11459,,Passenger,basement,Power
M00047252-I1,M00047252-I1,1P37080,1P37080,Emergency Brake,Passenger,lowest landing,Power
M00278202-I1,M00278202-I1,1P43008,1P43008,Drum,Passenger,Roof,Power
B00710408-I1,B00710408-I1,3P0995329,3P0995329,Disc,Passenger,OVERHEAD,Power
B00197364-I1,B00197364-I1,3P12156,3P12156,,Passenger,Basement,Manual
Q00889875-I1,Q00889875-I1,4P5917,4P5917,,Passenger,cellar,Power
