bin,job_number,community_district_number,worker_compensation_policy,total,count,average
3002558,B01184063,302.0,Z2406 318-2,2100000.0,1,2100000.0
1015090,M00273794,105.0,WC020608650,1700000.0,1,1700000.0
1085969,M00134815,105.0,W421131,1073750.0,1,1073750.0
3400021,B00532012,301.0,G1342 542-6,853000.0,1,853000.0
1091812,M00908898,103.0,4087876981,750000.0,1,750000.0
3131067,B00850861,312.0,UB4W99928723,513000.0,1,513000.0
1087243,M00187497,101.0,SW5WC00058192,400000.0,1,400000.0
1026725,M00338935,104.0,G 1061 517 7,400000.0,2,200000.0
1005750,M01215333,103.0,WCP-0291-12429-04,247320.0,1,247320.0
3429520,B00595356,305.0,MWC115397 14,239000.0,1,239000.0
1090766,M00023163,104.0,G2406 318-2,225000.0,1,225000.0
2129416,X00319354,206.0,G1487 679-1,220000.0,1,220000.0
1014511,M00127101,105.0,G 993 834 1,180000.0,1,180000.0
1083719,M00157068,105.0,H1466 144-1,165400.0,2,82700.0
4043827,Q00462228,403.0,Q745 597-5,147756.0,1,147756.0
4050482,Q00066626,406.0,015519204,142140.0,1,142140.0
4006948,Q00774126,401.0,G1451 832-8,96000.0,1,96000.0
1019460,M00513706,106.0,MNY160128585901,88000.0,1,88000.0
1060086,M00419982,110.0,SW5WC00313211,85000.0,1,85000.0
3328017,B00147251,305.0,G 718 369-2,72000.0,1,72000.0
1030358,M00316853,107.0,QWC3001178,37600.0,1,37600.0
1014343,M00546215,105.0,QWC3001178,34300.0,1,34300.0
1077350,M00166408,104.0,G2406 318-2,30000.0,1,30000.0
5015146,S00169784,501.0,G2318 442-7,30000.0,1,30000.0
1023157,M00294915,105.0,020608655,26953.0,1,26953.0
5000084,S00336735,501.0,V1011 136-7,22750.0,1,22750.0
1059091,M01250318,110.0,WWC3806251,22000.0,1,22000.0
4623857,Q00525110,402.0,AMX-170-0016-003,20000.0,1,20000.0
1012843,M00243228,104.0,W2210 186-9,20000.0,1,20000.0
1090740,M00288961,110.0,K2386 644-5,20000.0,1,20000.0
1024782,M00324727,105.0,WC2Z61292688010,16500.0,1,16500.0
5048706,S00518084,502.0,V1011 136-7,14440.0,1,14440.0
4006678,Q00325220,401.0,SW5WC00167-191,14000.0,1,14000.0
1030136,M00547319,107.0,G1404 325-1,11860.0,1,11860.0
2097111,X00078681,204.0,Q 844 874-8,11625.0,1,11625.0
2004359,X00805379,201.0,WLRC5574063A,11500.0,1,11500.0
3179402,B00376773,314.0,G2187 389-8,10000.0,1,10000.0
1091887,M08050107,105.0,14WCI8942406,10000.0,1,10000.0
4299223,Q00259911,414.0,WC5Z51292688010,10000.0,1,10000.0
3117604,B00323914,314.0,Q2154 506-6,10000.0,1,10000.0
2084091,X00852654,208.0,W41908523,9923.0,1,9923.0
3322342,B00244888,303.0,G1344 304-9,9000.0,1,9000.0
1035071,M00797302,105.0,WC35901953,7535.8,1,7535.8
1079933,M00871400,102.0,WC 6668187-32,7500.0,1,7500.0
3390899,B00501807,315.0,W41526521,7000.0,1,7000.0
3126157,B00229594,312.0,G1439 772-3,7000.0,1,7000.0
1035768,M00248017,105.0,V9WC043769,6674.0,1,6674.0
1035768,M00248017,105.0,WC35901953,6674.0,1,6674.0
1051463,M00106968,111.0,G1470 006-6,5850.0,1,5850.0
1034220,M00269656,105.0,G 6804066,3500.0,1,3500.0
1003049,M00236356,102.0,MWC115397 11,3250.0,1,3250.0
