funding_category,payment_type,total,count,average
Infrastructure,Vendor Payment (OTPS),11299754.479999911,390,28973.729435897207
Education,Vendor Payment (OTPS),1531264.5100001064,3741,409.31956963381623
Economic and Workforce Development,Vendor Payment (OTPS),74135.53,9,8237.281111111111
Health and Social Support,Vendor Payment (OTPS),34445.1,4,8611.275
Neighborhood Stabilization,Vendor Payment (OTPS),8650.0,1,8650.0
