manhattan_condominiums_comparable_properties_boro_block_lot,manhattan_condominiums_comparable_properties_address,manhattan_condominiums_comparable_properties_address,manhattan_condominiums_comparable_properties_boro_block_lot,total_full_market_value
1-00464-7501,214 EAST 9 STREET,214 EAST 9 STREET,1-00464-7501,2680000
1-00915-7501,225 EAST 34 STREET,225 EAST 34 STREET,1-00915-7501,57068992
1-01125-7501,41 WEST 72 STREET,41 WEST 72 STREET,1-01125-7501,27884001
1-00695-7504,231 10 AVENUE,231 10 AVENUE,1-00695-7504,12247999
1-00065-7501,65 NASSAU STREET,65 NASSAU STREET,1-00065-7501,4449000
1-00595-7502,468 GREENWICH STREET,468 GREENWICH STREET,1-00595-7502,4961001
1-01346-7503,975 1 AVENUE,975 1 AVENUE,1-01346-7503,8611002
1-01392-7501,1009 MADISON AVENUE,1009 MADISON AVENUE,1-01392-7501,38138999
1-00587-7501,76 BEDFORD STREET,76 BEDFORD STREET,1-00587-7501,2174002
1-00016-7507,300 RECTOR PLACE,300 RECTOR PLACE,1-00016-7507,28015990
1-01263-7501,16 WEST 48 STREET,16 WEST 48 STREET,1-01263-7501,36282001
1-00345-7502,196 STANTON STREET,196 STANTON STREET,1-00345-7502,17869000
1-00768-7501,210 WEST 19 STREET,210 WEST 19 STREET,1-00768-7501,10844996
1-01011-7504,135 WEST 58 STREET,135 WEST 58 STREET,1-01011-7504,5618000
1-00228-7501,3 WOOSTER STREET,3 WOOSTER STREET,1-00228-7501,4560000
1-00394-7503,625 EAST 11 STREET,625 EAST 11 STREET,1-00394-7503,1765999
1-00530-7505,40 BOND STREET,40 BOND STREET,1-00530-7505,17914001
1-00189-7508,38 NORTH MOORE STREET,38 NORTH MOORE STREET,1-00189-7508,2798000
1-01043-7502,879 8 AVENUE,879 8 AVENUE,1-01043-7502,9745001
1-00446-7502,99 EAST 4 STREET,99 EAST 4 STREET,1-00446-7502,13580000
1-00514-7505,160 WOOSTER STREET,160 WOOSTER STREET,1-00514-7505,7447000
1-01150-7502,386 COLUMBUS AVENUE,386 COLUMBUS AVENUE,1-01150-7502,9932997
1-01253-7501,317 WEST 95 STREET,317 WEST 95 STREET,1-01253-7501,4202008
1-01231-7501,225 WEST 83 STREET,225 WEST 83 STREET,1-01231-7501,82594009
1-01131-7501,2 COLUMBUS AVENUE,2 COLUMBUS AVENUE,1-01131-7501,54230013
1-00601-7501,421 HUDSON STREET,421 HUDSON STREET,1-00601-7501,33435001
1-01349-7501,345 EAST 56 STREET,345 EAST 56 STREET,1-01349-7501,37252000
1-00843-7501,73 5 AVENUE,73 5 AVENUE,1-00843-7501,8327000
1-00612-7504,15 CHARLES STREET,15 CHARLES STREET,1-00612-7504,16715003
1-00530-7502,27 GREAT JONES STREET,27 GREAT JONES STREET,1-00530-7502,2044001
1-00142-7502,200 CHAMBERS STREET,200 CHAMBERS STREET,1-00142-7502,77801025
1-01239-7501,640 WEST END AVENUE,640 WEST END AVENUE,1-01239-7501,7645006
1-01063-7502,425 WEST 53 STREET,425 WEST 53 STREET,1-01063-7502,62080991
1-00052-7501,112 LIBERTY STREET,112 LIBERTY STREET,1-00052-7501,1875000
1-01340-7501,845 UNITED NATIONS PLAZA,845 UNITED NATIONS PLAZA,1-01340-7501,275918004
1-01350-7501,351 EAST 57 STREET,351 EAST 57 STREET,1-01350-7501,17572000
1-01347-7501,300 EAST 55 STREET,300 EAST 55 STREET,1-01347-7501,51559018
1-01377-7503,1 EAST 62 STREET,1 EAST 62 STREET,1-01377-7503,4995001
1-00849-7502,7 EAST 20 STREET,7 EAST 20 STREET,1-00849-7502,5420000
1-01118-7501,29 WEST 65 STREET,29 WEST 65 STREET,1-01118-7501,6237003
1-00432-7501,85 AVENUE A,85 AVENUE A,1-00432-7501,4862000
1-00620-7502,223 WEST 10 STREET,223 WEST 10 STREET,1-00620-7502,3513999
1-00026-7501,15 BROAD STREET,15 BROAD STREET,1-00026-7501,155560004
1-01271-7501,1360 6 AVENUE,1360 6 AVENUE,1-01271-7501,25409869
1-01146-7504,311 AMSTERDAM AVENUE,311 AMSTERDAM AVENUE,1-01146-7504,2728001
1-01375-7501,40 EAST 61 STREET,40 EAST 61 STREET,1-01375-7501,14706034
1-01397-7502,149 EAST 62 STREET,149 EAST 62 STREET,1-01397-7502,896504
1-00885-7501,117 EAST 29 STREET,117 EAST 29 STREET,1-00885-7501,4556654
1-00860-7501,43 EAST 30 STREET,43 EAST 30 STREET,1-00860-7501,8809998
1-00769-7503,160 7 AVENUE,160 7 AVENUE,1-00769-7503,27000000
