tr6_no,cycle,prior_cycle_filing_date,filing_type,sequence_no,current_status,rank,dense_rank
TR6-707988-7C-N1,7,,Auto-Generated,1.0,SAFE,3,1
TR6-703475-7C-N1,7,,Auto-Generated,1.0,SAFE,3,1
TR6-809632-8B-N1,8,,Auto-Generated,1.0,UNSAFE,3,2
TR6-808368-8A-N1,8,,Auto-Generated,2.0,SAFE,3,2
TR6-807710-8A-N1,8,,Auto-Generated,3.0,UNSAFE,3,2
TR6-805723-8B-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-805131-8C-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-808096-8C-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-803319-8A-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-814311-8B-N1,8,,Auto-Generated,1.0,No Report Filed,1,2
TR6-805131-8C-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-807710-8A-N1,8,,Auto-Generated,3.0,UNSAFE,3,2
TR6-807710-8A-N1,8,,Auto-Generated,9.0,UNSAFE,3,2
TR6-814133-8A-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-813925-8C-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-803319-8A-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-807710-8A-N1,8,,Auto-Generated,4.0,UNSAFE,3,2
TR6-806053-8A-N1,8,,Auto-Generated,4.0,SAFE,3,2
TR6-814345-8A-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-808654-8B-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-809661-8A-N1,8,,Auto-Generated,3.0,SAFE,3,2
TR6-814253-8B-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-803784-8B-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-802530-8A-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-809661-8A-N1,8,,Auto-Generated,3.0,SWARMP,2,2
TR6-808096-8C-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-810603-8B-N1,8,,Auto-Generated,4.0,SWARMP,2,2
TR6-802365-8C-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-810020-8B-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-807611-8A-N1,8,,Auto-Generated,1.0,SAFE,3,2
TR6-809148-8A-N1,8,,Auto-Generated,1.0,SWARMP,2,2
TR6-806361-8A-N1,8,,Auto-Generated,6.0,SAFE,3,2
TR6-917408-9A-N1,9,,Auto-Generated,,No Report Filed,1,3
TR6-911776-9B-N1,9,,Auto-Generated,1.0,UNSAFE,3,3
TR6-903894-9C-N1,9,,Auto-Generated,1.0,UNSAFE,3,3
TR6-908087-9B-N1,9,,Auto-Generated,1.0,UNSAFE,3,3
TR6-903127-9C-N1,9,,Auto-Generated,1.0,UNSAFE,3,3
TR6-913422-9B-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-917408-9A-N1,9,,Auto-Generated,,SAFE,3,3
TR6-918595-9B-N1,9,,Auto-Generated,,SAFE,3,3
TR6-916870-9A-N1,9,,Auto-Generated,,SAFE,3,3
TR6-918595-9B-N1,9,,Auto-Generated,,SWARMP,2,3
TR6-909067-9B-N1,9,,Auto-Generated,1.0,SWARMP,2,3
TR6-913996-9A-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-908880-9A-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-914907-9A-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-901536-9B-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-903183-9C-N1,9,,Auto-Generated,1.0,SWARMP,2,3
TR6-901895-9A-N1,9,,Auto-Generated,1.0,SWARMP,2,3
TR6-913422-9B-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-908104-9C-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-913694-9C-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-905305-9A-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-906155-9C-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-901895-9A-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-913996-9A-N1,9,,Auto-Generated,1.0,SAFE,3,3
TR6-709737-7A-A1,7,,Amended,1.0,SAFE,3,1
TR6-804125-8C-A1,8,2019-02-20 00:00:00,Amended,1.0,UNSAFE,2,2
TR6-904726-9A-A1,9,2025-08-29 00:00:00,Amended,1.0,UNSAFE,1,3
TR6-701504-7B-I1,7,2006-11-17 00:00:00,Initial,1.0,SAFE,1,1
TR6-701504-7B-I1,7,2006-11-17 00:00:00,Initial,1.0,SAFE,1,1
TR6-806826-8C-I1,8,,Initial,1.0,SAFE,3,2
TR6-903595-9C-I1,9,2019-02-14 00:00:00,Initial,1.0,SWARMP,1,3
