school_district,type,total,count,average
11,School,,2,
31,School,,2,
10,School,,1,
9,School,,1,
2,School,,1,
5,School,,1,
21,School,,1,
14,School,,2,
16,School,,1,
29,School,,2,
6,School,,1,
30,School,,1,
7,School,,1,
28,School,,1,
19,School,,1,
20,School,,1,
24,School,,1,
