school_type,school_name,principal,total,count,average
Middle School,M.S. 243 Center School,Elaine Schwartz,8.6,1,8.6
Elementary School,P.S. 051 Elias Howe,Nancy Sing Bock,8.5,1,8.5
Elementary/ Middle School,P.S./I.S. 210 - 21st Century Academy for Community Leadership,Evelyn Linares,8.1,1,8.1
High School,High School of American Studies at Lehman College,Alessandro Weiss,7.9,1,7.9
Elementary School,P.S. 046 Arthur Tappan,George Young,7.9,1,7.9
Elementary School,P.S. 161 Pedro Albizu Campos,Barbara D. Freeman,7.8,1,7.8
YABC,George Washington Educational Campus YABC,Nicholas Politis,7.8,1,7.8
Elementary/ Middle School,P.S. 207 Elizabeth G. Leary,Mary Bosco,7.8,1,7.8
High School,George Washington Educational Campus YABC,Nicholas Politis,7.8,1,7.8
Middle School,Isaac Newton Middle School for Math & Science,Lisa Nelson,7.7,1,7.7
Elementary School,River East Elementary,Alison Mckenzie,7.7,1,7.7
Transfer School,John V. Lindsay Wildcat Academy Charter School,Ron Tabano & Marc Donald,7.7,1,7.7
Elementary School,P.S. 137 John L. Bernstein,Melissa Rodriguez,7.6,1,7.6
Transfer School,Brooklyn Democracy Academy,Thomas Mckenna,7.6,1,7.6
Elementary School,P.S. 003 The Margaret Gioiosa School,Donna Gioello,7.6,1,7.6
Middle School,M.S. 223 The Laboratory School of Finance and Technology,Ramon Gonzalez,7.5,1,7.5
Middle School,Urban Assembly Academy of Civic Engagement,Cameron Berube,7.5,1,7.5
Elementary/ Middle School,P.S. /I.S. 384 Frances E. Carter,Brunhilda Perez-Ortiz,7.4,1,7.4
High School,High School for Contemporary Arts,Francisco Sanchez,7.4,1,7.4
High School,High School for Service & Learning at Erasmus,Leonard Kassan,7.4,1,7.4
Middle School,M.S. 224 Manhattan East School for Arts & Academics,Liliana Sarro,7.4,1,7.4
High School,Fannie Lou Hamer Freedom High School,Nancy Mann,7.3,1,7.3
High School,Validus Preparatory Academy: An Expeditionary Learning School,Brady Smith,7.3,1,7.3
High School,Eleanor Roosevelt High School,Dimitri Saliani,7.2,1,7.2
Middle School,J.H.S. 014 Shell Bank,Anne Tully,7.2,1,7.2
YABC,Abraham Lincoln YABC,Ari Hoogenboom,7.2,1,7.2
Elementary School,P.S. 133 Fred R Moore,Pamela Craig,7.2,1,7.2
High School,Queens High School for the Sciences at York College,Jie Zhang,7.1,1,7.1
Middle School,M.S. 390,Robert Mercedes,7.1,1,7.1
Middle School,I.S. 98 Bay Academy,Mrs. Marian Nagler,7.1,1,7.1
High School,Boys and Girls High School,Spencer Holder,6.9,1,6.9
Middle School,I.S. 072 Rocco Laurie,Peter Macellari,6.9,1,6.9
Middle School,P.S. 101 Andrew Draper,Alexander Castillo,6.8,1,6.8
Middle/ High School,Bronx Latin,Leticia Pineiro,6.7,1,6.7
Middle School,J.H.S. M044 William J. O'Shea,Liza Ortiz,6.6,1,6.6
High School,Port Richmond High School,Timothy M. Gannon,6.6,1,6.6
High School,Leadership and Public Service High School,Lawrence Pendergast,6.6,1,6.6
High School,Franklin Delano Roosevelt High School,Geraldine Maione,6.6,1,6.6
Middle School,Upper School @ P.S. 25,William Cooper,6.5,1,6.5
Transfer School,Jill Chaifetz Transfer High School,Anne Fennelly,6.5,1,6.5
High School,Richard R. Green High School of Teaching,David Raubvogel,6.5,1,6.5
High School,DreamYard Preparatory School,Rod Bowen,6.4,1,6.4
YABC,Grace Dodge Career and Technical Education High School,Roberto Hernandez,6.4,1,6.4
High School,Grace Dodge Career and Technical Education High School,Roberto Hernandez,6.4,1,6.4
High School,High School for Law Enforcement and Public Safety,Diahann E. Malcolm,6.4,1,6.4
High School,Queens Vocational and Technical High School,Denise Vittor,6.3,1,6.3
High School,Frances Perkins Academy,Javier Guzman,6.1,1,6.1
High School,University Neighborhood High School,Robert Miller,6.1,1,6.1
High School,Multicultural High School,Altagracia Liciaga,6.1,1,6.1
High School,"Mathematics, Science Research and Technology Magnet High School",Andrea G. Holt,6.1,1,6.1
High School,Pablo Neruda Academy for Architecture and World Studies,Ivan Cohen,6.0,1,6.0
High School,"High School for Arts, Imagination and Inquiry",Stephen Noonan,6.0,1,6.0
