languages_offered,digital_literacy,job_readiness_ex_resume_help,total,count,average
"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",N,Y,2000.0,2,1000.0
Spanish,N,N,511.4,1,511.4
"Spanish,Chinese Traditional,Russian,Bengali,Creole,Korean,Arabic,French,Polish",Y,N,420.2,1,420.2
"Spanish,Chinese,Russian,Bengali,Korean,Arabic,French,Polish",N,N,416.6,1,416.6
Spanish,Y,N,180.7,2,90.35
,N,N,104.5,2,52.25
Interpreters available upon request,N,N,103.6,1,103.6
All languages through Language Line,N,Y,100.0,1,100.0
All languages through Language Line,Y,N,100.0,1,100.0
Russian,N,N,97.5,1,97.5
"Chinese,Spanish",Y,Y,92.4,1,92.4
"Chinese,Russian",Y,N,92.1,1,92.1
"Spanish,Chinese,Russian,Bengali,Korean,Arabic,Urdu,French",N,N,91.0,1,91.0
All languages through Language Line,N,N,48.8,2,24.4
"Spanish,Chinese,Korean",Y,N,24.3,1,24.3
