parkname,psstatus,length,buildingnumber,width,citycouncil,treeguard,rank,dense_rank
,Empty,,626,3.0,43.0,,1,1
,Empty,,796,8.0,35.0,,1,2
,Populated,,1046,25.0,38.0,,1,3
,Empty,,1452,,36.0,,1,4
,Populated,,104,,49.0,,1,4
,Populated,,462,,50.0,,1,4
,Populated,,57,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Populated,,414,,50.0,,1,4
,Populated,,242,,50.0,,1,4
,Empty,,2840,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Empty,,2840,,50.0,,1,4
,Populated,,278,,50.0,,1,4
,Populated,,53,,50.0,,1,4
,Populated,,15,,50.0,,1,4
,Populated,,20,,50.0,,1,4
,Populated,,351,,50.0,,1,4
,Populated,,713,,50.0,,1,4
,Empty,,29,,50.0,,1,4
,Empty,,28,,50.0,,1,4
,Populated,,242,,50.0,,1,4
,Empty,,2840,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Empty,,2844,,50.0,,1,4
,Populated,,340,,50.0,,1,4
,Empty,,28,,50.0,,1,4
,Populated,,242,,50.0,,1,4
,Empty,,2840,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Empty,,2844,,50.0,,1,4
,Populated,,278,,50.0,,1,4
,Populated,,242,,50.0,,1,4
,Empty,,2844,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Empty,,2844,,50.0,,1,4
,Populated,,278,,50.0,,1,4
,Empty,,2840,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Empty,,2844,,50.0,,1,4
,Empty,,2840,,50.0,,1,4
,Populated,,371,,50.0,,1,4
,Empty,,28,,50.0,,1,4
,Empty,,2844,,50.0,,1,4
,Empty,,5728,,51.0,,1,4
,Populated,,40-23,,26.0,,1,4
,Empty,,2001,,47.0,,1,4
,Empty,,405,,49.0,,1,4
,Empty,,294,,49.0,,1,4
,Populated,,86,,49.0,,1,4
,Populated,,174,,49.0,,1,4
,Populated,,30,,49.0,,1,4
,Populated,,136,,49.0,,1,4
,Empty,,207,,49.0,,1,4
,Populated,,95,,49.0,,1,4
,Populated,,11,,49.0,,1,4
,Empty,,405,,49.0,,1,4
,Populated,,104,,49.0,,1,4
,Empty,,294,,49.0,,1,4
,Populated,,50,,49.0,,1,4
,Populated,,28,,49.0,,1,4
,Populated,,17,,49.0,,1,4
,Populated,,65,,49.0,,1,4
,Empty,,405,,49.0,,1,4
,Populated,,48,,49.0,,1,4
,Populated,,174,,49.0,,1,4
,Populated,,30,,49.0,,1,4
,Populated,,136,,49.0,,1,4
,Populated,,11,,49.0,,1,4
,Populated,,81-19,,32.0,,1,4
,Empty,,294,,49.0,,1,4
,Populated,,17,,49.0,,1,4
,Populated,,33,,49.0,,1,4
,Empty,,294,,49.0,,1,4
,Empty,,405,,49.0,,1,4
,Empty,,294,,49.0,,1,4
,Empty,,405,,49.0,,1,4
,Empty,,294,,49.0,,1,4
,Empty,,405,,49.0,,1,4
,Populated,,48,,49.0,,1,4
,Empty,,84,,50.0,,1,4
,Empty,,115-114,,27.0,,1,4
,Populated,,59-066,,30.0,,1,4
,Populated,,361,,50.0,,1,4
,Empty,,212-09,,19.0,,1,4
,Empty,,212-09,,19.0,,1,4
,Populated,,177,,8.0,,1,4
,Empty,,75-003,,23.0,,1,4
,Populated,,80-026,,23.0,,1,4
,Populated,,278,,50.0,,1,4
