property_id_1,property_id_1,address_1,address_1,electricity_use_grid_purchase_2,source_energy_use_adjusted,weather_normalized_site_energy
2646028,2646028,102-01 66th Road,102-01 66th Road,24354115.6,117258339.9,62956611.7
4407826,4407826,130 Fifth Avenue,130 Fifth Avenue,6795008.2,23277606.3,8952952.0
6245205,6245205,209 (211) East 43rd Street,209 (211) East 43rd Street,6085452.1,21729392.9,8419718.4
6011246,6011246,95 West 162nd Street,95 West 162nd Street,357323.7,3275487.4,2415277.1
5793733,5793733,211 E 13th St,211 E 13th St,2384042.9,8832834.7,3766554.8
6222514,6222514,2240 Walton Ave,2240 Walton Ave,1015421.4,6188832.6,4059823.2
5237199,5237199,34-24 Hunters Point Avenue,34-24 Hunters Point Avenue,16213.8,,4468824.3
2942054,2942054,380 EAST 18 ST,380 EAST 18 ST,1927126.6,,12060483.3
6223345,6223345,116 West Houston St.,116 West Houston St.,66542.3,,
2587536,2587536,28 Second Ave,28 Second Ave,652804.7,,1778956.4
2975830,2975830,600 Burke Ave,600 Burke Ave,730418.8,8336834.4,6902113.2
2975830,2975830,600 Burke Ave,600 Burke Ave,730418.8,8336834.4,6902113.2
4043349,4043349,665 Fifth Ave,665 Fifth Ave,8988402.2,,10368470300.0
6190886,6190886,2753 Ocean Avenue,2753 Ocean Avenue,86155.5,4341105.0,4220047.1
6190886,6190886,2753 Ocean Avenue,2753 Ocean Avenue,86155.5,4341105.0,4220047.1
2817671,2817671,2766 university avenue,2766 university avenue,665110.7,3795277.6,
2817671,2817671,2766 university avenue,2766 university avenue,665110.7,3795277.6,
2817671,2817671,2766 university avenue,2766 university avenue,665110.7,3795277.6,
2817671,2817671,2766 university avenue,2766 university avenue,665110.7,3795277.6,
3117707,3117707,117 West 70th St,117 West 70th St,2849914.3,15395788.7,9497943.3
2664118,2664118,425 East 58th Street,425 East 58th Street,29697682.9,,118682310.8
6151465,6151465,85 Broad Street,85 Broad Street,50811504.0,170333395.3,
2989315,2989315,8801 Shore Road,8801 Shore Road,3310988.8,15058990.2,7732303.5
6182209,6182209,24-41 31st St,24-41 31st St,1051476.0,3454514.6,1206672.6
2942073,2942073,777 East 31 St,777 East 31 St,1628687.8,14303773.9,10872733.8
2786510,2786510,1530-1532 Townsend Ave,1530-1532 Townsend Ave,676989.3,5361349.1,4068358.5
4401675,4401675,250 West 57th Street,250 West 57th Street,22772513.7,83907090.9,36576027.3
4401675,4401675,250 West 57th Street,250 West 57th Street,22772513.7,83907090.9,36576027.3
6198641,6198641,300 Vanderbilt Avenue,300 Vanderbilt Avenue,245809.0,,
2703161,2703161,40 West 37th Street,40 West 37th Street,1546295.5,6523588.0,3397608.0
2703161,2703161,40 West 37th Street,40 West 37th Street,1546295.5,6523588.0,3397608.0
2640850,2640850,525 Seventh Avenue,525 Seventh Avenue,18711056.6,65485166.6,25533635.8
3488156,3488156,1864 85 st.,1864 85 st.,1087776.6,8180493.7,
5766730,5766730,1901 Ocean Parkway,1901 Ocean Parkway,6712632.3,,18215739.0
3113637,3113637,51-01 Grand Ave,51-01 Grand Ave,3440514.1,10803209.4,3401633.4
3113637,3113637,51-01 Grand Ave,51-01 Grand Ave,3440514.1,10803209.4,3401633.4
3113637,3113637,51-01 Grand Ave,51-01 Grand Ave,3440514.1,10803209.4,3401633.4
3113637,3113637,51-01 Grand Ave,51-01 Grand Ave,3440514.1,10803209.4,3401633.4
3113637,3113637,51-01 Grand Ave,51-01 Grand Ave,3440514.1,10803209.4,3401633.4
2947162,2947162,856 Quincy Street,856 Quincy Street,2094761.2,8683743.6,
2674887,2674887,1410 Broadway,1410 Broadway,14669112.7,53536325.3,22606543.2
6236828,6236828,380 BROADWAY,380 BROADWAY,30533.7,,30533.7
3524382,3524382,1701 W 3rd Street,1701 W 3rd Street,334421.8,10092080.7,9511077.4
2702022,2702022,40 Worth Street,40 Worth Street,32269000.2,127179405.8,61050032.6
2649752,2649752,508-516 West 26th Street,508-516 West 26th Street,1667321.6,,5641383.2
2665684,2665684,815 Second Avenue,815 Second Avenue,4667865.1,19688464.2,9574462.7
3108824,3108824,1295 Madison Avenue,1295 Madison Avenue,3946479.6,19687394.5,11433347.2
4401809,4401809,60 East 42nd Street,60 East 42nd Street,36343156.8,170180909.2,88122389.2
4401809,4401809,60 East 42nd Street,60 East 42nd Street,36343156.8,170180909.2,88122389.2
4401809,4401809,60 East 42nd Street,60 East 42nd Street,36343156.8,170180909.2,88122389.2
3382694,3382694,975 Georgia Ave.,975 Georgia Ave.,1857629.3,9430466.2,5652713.7
1819837,1819837,15-30 Petracca Place,15-30 Petracca Place,3554618.2,,6768721.4
4041531,4041531,210 Amsterdam Avenue,210 Amsterdam Avenue,4939856.1,33610279.6,23291146.7
6212669,6212669,2357 Prospect Ave.,2357 Prospect Ave.,577277.3,7224795.1,5936533.5
5078536,5078536,43-01 22nd street,43-01 22nd street,2283717.5,,8385378.0
5078536,5078536,43-01 22nd street,43-01 22nd street,2283717.5,,8385378.0
2710362,2710362,119 West 57th Street,119 West 57th Street,5346310.6,20881262.6,9194561.5
