printedschoolname,t3_printedschoolname,selectioncriteria3_prog1,selectioncriteria1_prog3,activities,category,count,avg_value,total_value,max_value
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School","P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",,,Academic Field Trips; Dance; National Junior Honor Society; Robotics; Theater,high pass rate,1,100.0,100.0,100.0
School of Authors (P.S./M.S. 108 ),School of Authors (P.S./M.S. 108 ),,,Art; Band; Book Clubs; Boys Basketball; Chorus; Community Service; Cooking; Double Dutch; Flag Football; GOAL Program; Girls Basketball; Music; Robotics; Soccer; Step Team; Student Government; Technology/Movie Making; Thurgood Marshall Mock Trial Program; Urban Advantage; Digital Storytelling; Young Runners’ Club,medium pass rate,1,85.0,85.0,85.0
East-West School of International Studies,East-West School of International Studies,,,Art Club; Games Club; Gay-Straight Alliance; Girl Talk; Glee; Japanese Culture Club; Junior NAACP; K-Pop; Key Club; Literacy Lab; Model UN; Newspaper Club; OST Hodori; Peer Mediation; Photography; Roblox Club; Robotics; School Newspaper; Student Government; Table Tennis; Tutoring; Ultimate Frisbee; Yearbook; Yiddish Song Club; Young Men's Leadership,high pass rate,1,95.0,95.0,95.0
Baychester Middle School,Baychester Middle School,,,"After-School Clubs: Blogging, Breakdancing, Chess, Cooking, Regents Prep, Student Council, Theater, Web Design; School Trips to: Boston, MA, Broadway, Mini-Golf, Museums, Rock Climbing, Sporting Events, Washington DC",medium pass rate,1,87.0,87.0,87.0
East Side Middle School,East Side Middle School,,,"Students may work with a teacher to develop and teach their own elective or extracurricular activity. Some classes that have been offered in the past are knitting, computer game design, Braille, American Sign language, film-making, whiffle ball, cooking, fashion design, the history of comic film, and Zumba.",high pass rate,1,100.0,100.0,100.0
Wadleigh Secondary School for the Performing & Visual Arts,Wadleigh Secondary School for the Performing & Visual Arts,Final 4th Grade Report Card,,"21st Century Leadership; Advisory; Band & Percussion; Basketball; Chess Club; College For Every Student (CFES); Community Service Learning; Culinary Arts; Dance Workshop; Extended Learning Time; Fun STEM (Science, Technology, Engineering, and Math) Club; Glee Club; Musical Theater; Peer Mentoring; Pep Rally; Robotics Club; Student Government; Track and Field",medium pass rate,1,86.0,86.0,86.0
Mott Hall III,Mott Hall III,Attendance and Punctuality,,After-School Enrichment Academy; Drama; Future City Competition; MH3 Chess Team; MH3 Chorus; MH3 Dance Team; MH3 Rock Stars; Photography; Prep 9; Specialized High School Prep; Student Government; TEAK; The Oliver Program; Trips to Colleges and Universities in the Tri-State Area,high pass rate,1,94.0,94.0,94.0
Catherine & Count Basie Middle School 72,Catherine & Count Basie Middle School 72,,,Alvin Ailey Dance; ARISTA Honor Society; Beacon; Broadway Jr.; Gender Classes; Gospel Choir; MOUSE Squad; Multicultural Club; Penny Harvest; Spanish Proficiency Exam Tutoring; Specialized High School Prep; International Travel Program; Student Council; Summer Transition Program,medium pass rate,1,88.0,88.0,88.0
Columbia Secondary School,Columbia Secondary School,Final 4th Grade Report Card,,"Biking; Board Games Club; Creative Writing; Extended Day Program (Academic, Arts, and Sports Electives); Fashion Design; Field Trips; Knitting; Music Band; Neuroscience; Newspaper; Robotics; Student Government; Theater Performances; Tinker’s Workshop; Visual Arts",high pass rate,1,95.0,95.0,95.0
James Weldon Johnson,James Weldon Johnson,Attendance,,Breakthrough New York Academic Program; Chorus; City Year After-School Program; Double Dutch; Drumline (Tiger Band Program); Flag Corps Team; Little Scholars Tutoring Program; Roads To Success AfterSchool Program,medium pass rate,1,80.0,80.0,80.0
