providername,l1,total,average,count
Grow Brooklyn,English,,,1
MMCC,"""English, Spanish""",,,1
AARP Tax Aide,"""English, Spanish""",10.0,10.0,1
Food Bank For New York City,English,30.5,10.166666666666666,3
Grow Brooklyn,"""English, Spanish, Russian""",,,1
Food Bank For New York City,"""English, Spanish""",,,1
Urban Upbound,"""English, Spanish""",,,1
