type,coundist,location,location_t,bctcb2010,ntacode,remarks,rank,dense_rank
Free,40.0,3301 CHURCH AVE,Outdoor Kiosk,818.0,BK95,"Tablet Internet -phone , Free 1 GB Wi-FI Service",1,1
Limited Free,50.0,Along Boardwalk and Beach,Outdoor,11201.0,SI36,3 free 10 min sessions,1,1
Limited Free,50.0,Along Boardwalk and Beach,Outdoor,11201.0,SI36,3 free 10 min sessions,1,1
Limited Free,50.0,Along Boardwalk and Beach,Outdoor,11201.0,SI36,3 free 10 min sessions,1,1
Free,42.0,1197 SUTTER AVENUE,Library,1196.0,BK82,,1,1
Free,8.0,116 St (6),Subway Station,182.0,MN34,SN 393,3,1
Free,4.0,Times Square - 42nd Street,Subway Station,119.0,MN17,SN 468,4,1
Free,27.0,IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,Subway Station,246.0,QN61,SN 278,1,1
Free,39.0,304 5 AVENUE,Outdoor Kiosk,135.0,BK37,"Tablet Internet -phone , Free 1 GB Wi-FI Service",2,1
Free,39.0,431 6 AVENUE,Library,153.0,BK37,,2,2
Free,3.0,40 WEST 20 STREET,Library,54.0,MN13,,3,1
Free,34.0,2 POWERS STREET,Outdoor Kiosk,513.0,BK73,"Tablet Internet -phone , Free 1 GB Wi-FI Service",4,1
Free,34.0,230 BERRY STREET,Outdoor Kiosk,555.0,BK73,"Tablet Internet -phone , Free 1 GB Wi-FI Service",4,2
Limited Free,28.0,North West side of Park,Outdoor TWC Aerial,148.0,QN54,3 free 10 min sessions,1,1
Limited Free,39.0,Skate Rental Area,Outdoor,177.0,BK99,3 free 10 min sessions,4,1
Free,33.0,1 Dekalb Ave.,Outdoor,15.0,BK38,,5,1
Free,10.0,181 St (1),Subway Station,271.0,MN35,SN 301,2,1
Free,38.0,948 3 AVENUE,Outdoor Kiosk,18.0,BK32,"Tablet Internet -phone , Free 1 GB Wi-FI Service",3,1
Free,34.0,61 AVENUE OF PUERTO RICO,Outdoor Kiosk,491.0,BK90,"Tablet Internet -phone , Free 1 GB Wi-FI Service",4,1
Free,1.0,9 MURRAY STREET,Library,21.0,MN24,,4,1
