group_column1,group_column2,total,average,count
Urban Assembly Gateway School for Technology,M,0.71,0.71,1
The Urban Assembly Bronx Academy of Letters,X,0.48,0.48,1
 The American Sign Language and English Secondary School,M,0.41,0.41,1
Frederick Douglass Academy VI High School,Q,0.24,0.24,1
Millennium High School,M,0.87,0.87,1
Williamsburg High School for Architecture and Design,K,0.49,0.49,1
Queens Metropolitan High School,Q,0.72,0.72,1
International High School at Lafayette,K,0.53,0.53,1
Kingsbridge International High School,X,0.37,0.37,1
Jamaica Gateway to the Sciences,Q,0.82,0.82,1
Columbia Secondary School,M,0.97,0.97,1
"The School for Classics: An Academy of Thinkers, Writers and Performers",K,0.42,0.42,1
"The Marie Curie School for Medicine, Nursing, and Health Professions",X,0.61,0.61,1
Crotona International High School,X,0.32,0.32,1
The Global Learning Collaborative,M,0.56,0.56,1
The School for Human Rights,K,0.68,0.68,1
Central Park East High School,M,0.92,0.92,1
Validus Preparatory Academy,X,0.48,0.48,1
Eagle Academy for Young Men II,K,0.67,0.67,1
Richard R. Green High School of Teaching,M,0.44,0.44,1
