green_power_onsite_and_offsite,indoor_water_use_intensity,parking_completely_enclosed,indirect_ghg_emissions,water_use_intensity_all_water,latitude,longitude,rank,dense_rank
0,139.22,Not Available,3.6,139.22,40.619931,-74.028086,8,1
0,157.39,Not Available,4.9,157.39,40.827607,-73.918681,5,1
0,19.02,Not Available,7.2,19.02,40.750698,-73.974306,1,1
0,4.78,Not Available,5.3,4.78,40.704553,-74.006636,4,1
0,Not Available,Not Available,5.7,Not Available,40.743023,-73.986402,2,1
0,Not Available,Not Available,4.0,Not Available,40.756631,-73.982826,6,1
0,Not Available,Not Available,3.0,Not Available,40.841596,-73.897767,9,1
0,13.89,Not Available,5.4,13.89,40.758744,-73.968618,3,1
0,78.61,Not Available,2.7,78.61,40.742633,-73.892805,10,1
3702250,14.2,Not Available,3.9,14.2,40.748206,-73.943731,7,1
0,6.67,0,5.1,6.67,40.873644,-73.907962,1,1
