floor_name,to_floor,total,count,average
,,553410.0,4818,114.86301369863014
Floor Number(s),14.0,3742.0,4,935.5
Floor Number(s),1.0,198.75,3,66.25
Floor Number(s),3.0,121.0,2,60.5
Basement,,99.5,4,24.875
Sub-Cellar #2,,42.25,1,42.25
Attic,,40.0,1,40.0
Penthouse,,39.25,1,39.25
Floor Number(s),6.0,36.5,1,36.5
Floor Number(s),2.0,36.0,2,18.0
Floor Number(s),20.0,14.0,2,7.0
Floor Number(s),7.0,11.75,1,11.75
Ground Floor,,2.0,1,2.0
