incident_zip,descriptor,intersection_street_2,location_type,complaint_type,record_count,total_amount,avg_amount,max_amount,min_amount
11207,Parking Permit Improper Use,WILLIAMS AVENUE,Street/Sidewalk,Illegal Parking,24,4423464,184311.0,184311,184311
11101,Parking Permit Improper Use,VERNON BOULEVARD,Street/Sidewalk,Illegal Parking,1920,403232640,210017.0,210017,210017
11222,Parking Permit Improper Use,MANHATTAN AVENUE,Street/Sidewalk,Illegal Parking,400,81657200,204143.0,204143,204143
11365,Parking Permit Improper Use,72 AVENUE,Street/Sidewalk,Illegal Parking,630,129356640,205328.0,205328,205328
11366,Parking Permit Improper Use,169 STREET,Street/Sidewalk,Illegal Parking,2640,535246800,202745.0,202745,202745
