intersection_street_2,location_type,total,average,count
37 AVENUE,Street/Sidewalk,213549,213549.0,1
9 AVENUE,Street/Sidewalk,348056,174028.0,2
NORFOLK STREET,Street/Sidewalk,200591,200591.0,1
ST NICHOLAS AVENUE,Street/Sidewalk,195430,195430.0,1
35 AVENUE,Street/Sidewalk,648357,216119.0,3
LEFFERTS AVENUE,Street/Sidewalk,180403,180403.0,1
6 AVENUE,Street/Sidewalk,669740,167435.0,4
MYRTLE AVENUE,Street/Sidewalk,193921,193921.0,1
169 STREET,Street/Sidewalk,535246800,202745.0,2640
JUDGE STREET,Street/Sidewalk,419772,209886.0,2
85 ROAD,Street/Sidewalk,395746,197873.0,2
AVENUE Z,Street/Sidewalk,154351,154351.0,1
118 AVENUE,Street/Sidewalk,192977,192977.0,1
EAST 67 STREET,Street/Sidewalk,218770,218770.0,1
102 STREET,Street/Sidewalk,214152,214152.0,1
WILLIAMS AVENUE,Street/Sidewalk,4423464,184311.0,24
ROOSEVELT AVENUE,Street/Sidewalk,212870,212870.0,1
92 STREET,Street/Sidewalk,328688,164344.0,2
ROCKEFELLER PLAZA,Street/Sidewalk,215325,215325.0,1
EAST172 STREET,Street/Sidewalk,241955,241955.0,1
WEST230 STREET,Street/Sidewalk,773421,257807.0,3
EAST 47 STREET,Street/Sidewalk,214894,214894.0,1
PARK AVENUE,Street/Sidewalk,243768,243768.0,1
HOBART AVENUE,Street/Sidewalk,249903,249903.0,1
143 STREET,Street/Sidewalk,189285,189285.0,1
HIGH LINE,Street/Sidewalk,426592,213296.0,2
24 STREET,Street/Sidewalk,429038,214519.0,2
41 AVENUE,Street/Sidewalk,210860,210860.0,1
EAST 7 STREET,Street/Sidewalk,176644,176644.0,1
14 ROAD,Street/Sidewalk,225382,225382.0,1
MANHATTAN AVENUE,Street/Sidewalk,81657200,204143.0,400
16 AVENUE,Street/Sidewalk,162170,162170.0,1
BEAVER STREET,Street/Sidewalk,783480,195870.0,4
72 AVENUE,Street/Sidewalk,129356640,205328.0,630
BORDEN AVENUE,Street/Sidewalk,203732,203732.0,1
CARLTON AVENUE,Street/Sidewalk,374736,187368.0,2
EUCLID AVENUE,Street/Sidewalk,184414,184414.0,1
FORT WASHINGTON AVENUE,Street/Sidewalk,246312,246312.0,1
VERNON BOULEVARD,Street/Sidewalk,403232640,210017.0,1920
RIDGEWOOD AVENUE,Street/Sidewalk,189056,189056.0,1
AVENUE P,Street/Sidewalk,161004,161004.0,1
