hearing_date,violation_type,hearing_status,issue_date,respondent_city,ecb_violation_status,severity,rank,dense_rank
19990611,Plumbing,DEFAULT,19990421,BRONX,RESOLVE,Non-Hazardous,1,2
20010320,Quality of Life,IN VIOLATION,20000325,QUEENS,RESOLVE,Non-Hazardous,2,3
20030820,Construction,STIPULATION/IN-VIO,20030630,SI,RESOLVE,Non-Hazardous,1,4
20081218,Local Law,WRITTEN OFF,20081017,LIC,RESOLVE,CLASS - 2,1,7
20081218,Local Law,WRITTEN OFF,20081017,LIC,RESOLVE,CLASS - 2,1,7
20081218,Local Law,WRITTEN OFF,20081017,MANH,RESOLVE,CLASS - 2,2,7
20081218,Local Law,WRITTEN OFF,20081017,MANH,RESOLVE,CLASS - 2,2,7
20090616,Unknown,CURED/IN-VIO,20090422,FLUSHING,RESOLVE,CLASS - 2,3,11
20090714,Unknown,CURED/IN-VIO,20090520,RIDGEWOOD,RESOLVE,CLASS - 2,1,12
20090915,Unknown,IN VIOLATION,20090721,QN,RESOLVE,CLASS - 2,3,13
20091006,Construction,WRITTEN OFF,20090814,QN,RESOLVE,CLASS - 1,2,14
20091008,Construction,WRITTEN OFF,20090817,MANH,RESOLVE,CLASS - 1,1,15
20091102,Construction,WRITTEN OFF,20090911,BK,RESOLVE,CLASS - 1,5,16
20091116,Construction,WRITTEN OFF,20090922,NY,RESOLVE,CLASS - 1,3,17
20091118,Construction,WRITTEN OFF,20090809,,RESOLVE,CLASS - 2,1,18
20091118,Unknown,WRITTEN OFF,20090707,,RESOLVE,CLASS - 3,2,18
20091228,Construction,WRITTEN OFF,20091106,BKLYN,RESOLVE,CLASS - 1,1,21
20100104,Unknown,CURED/IN-VIO,20091112,BROOKLYN,RESOLVE,CLASS - 3,2,22
20100111,Construction,WRITTEN OFF,20091124,BK,RESOLVE,CLASS - 1,1,23
20100111,Construction,WRITTEN OFF,20091124,BK,RESOLVE,CLASS - 1,1,23
20100202,Construction,IN VIOLATION,20091208,QUEENS,RESOLVE,CLASS - 1,1,25
20100223,Construction,WRITTEN OFF,20091028,FLUSHING,RESOLVE,CLASS - 1,1,27
20100301,Construction,WRITTEN OFF,20090917,BROOKLYN,RESOLVE,CLASS - 1,4,28
20100426,Construction,WRITTEN OFF,20090929,BK,RESOLVE,CLASS - 1,4,29
20100429,Unknown,IN VIOLATION,20090812,NY,RESOLVE,CLASS - 2,4,30
20100429,Unknown,IN VIOLATION,20090812,NEW YORK,RESOLVE,CLASS - 2,1,30
20100429,Unknown,IN VIOLATION,20090812,NEW YORK,RESOLVE,CLASS - 2,1,30
20100429,Unknown,IN VIOLATION,20090812,NY,RESOLVE,CLASS - 2,4,30
20100803,Construction,WRITTEN OFF,20100107,QNS,RESOLVE,CLASS - 1,5,31
20100823,Unknown,DISMISSED,20091209,NY,RESOLVE,CLASS - 1,1,34
20100823,Construction,WRITTEN OFF,20090924,BROOKLYN,RESOLVE,CLASS - 1,3,34
20100913,Local Law,WRITTEN OFF,20100719,BROOKLYN,RESOLVE,CLASS - 2,1,35
20100913,Construction,WRITTEN OFF,20090911,BK,RESOLVE,CLASS - 1,5,35
20100930,Construction,WRITTEN OFF,20091030,PALISADES PARK,RESOLVE,CLASS - 1,1,36
20101019,Construction,IN VIOLATION,20090903,QN,RESOLVE,CLASS - 1,1,37
20101221,Construction,IN VIOLATION,20091014,NY,RESOLVE,CLASS - 1,2,38
20110201,Construction,IN VIOLATION,20100217,QNS,RESOLVE,Non-Hazardous,1,39
20110201,Construction,IN VIOLATION,20100217,QNS,RESOLVE,CLASS - 1,1,39
20110201,Construction,IN VIOLATION,20100217,QNS,RESOLVE,Non-Hazardous,1,39
20110201,Construction,IN VIOLATION,20100217,QNS,RESOLVE,CLASS - 1,1,39
20110209,Construction,DISMISSED,20091109,BK,RESOLVE,CLASS - 1,3,40
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20130716,Construction,WRITTEN OFF,20100106,JAMAICA,RESOLVE,CLASS - 1,1,42
20091110,Construction,STIPULATION/IN-VIO,20090918,FLUSHING,ACTIVE,CLASS - 2,2,2
