addressline2,permitorlicenseenddate,total,average,count
,2005-12-31 00:00:00,0.0,0.0,2
DYCKMAN ST. & HUDSON RIVER,2019-09-10 00:00:00,166.0,166.0,1
OWLS HEAD PK TO FT HAMILTON,2000-08-24 00:00:00,0.0,0.0,1
CORBIN PL TO W 37 ST,2000-12-31 00:00:00,0.0,0.0,2
NEWSSTAND,2009-07-31 00:00:00,1800.0,1800.0,1
"CENTRAL PARK W, COLUMBUS AVE",2003-12-31 00:00:00,0.0,0.0,1
,2009-12-31 00:00:00,1320.0,660.0,2
DYKER BEACH TENNIS,2010-11-21 00:00:00,285.0,285.0,1
,2023-12-31 00:00:00,727.9,727.9,1
OLMSTED CENTER CAFETERIA/SNACK,2022-04-05 00:00:00,68000.0,68000.0,1
,2008-02-29 00:00:00,0.0,0.0,1
BORO HALL NEWSSTAND,2002-05-30 00:00:00,0.0,0.0,1
"FORDHAM, CRESTON, E. 190 ST.",2009-12-31 00:00:00,1200.0,1200.0,1
DYCKMAN ST. & HUDSON RIVER,2018-12-31 00:00:00,233.33,233.33,1
"MASON, BUEL, DONGAN HILLS AVES",2029-12-31 00:00:00,0.0,0.0,1
"CENTRAL PARK W, COLUMBUS AVE",2008-12-31 00:00:00,1500.0,1500.0,1
,1998-08-07 00:00:00,0.0,0.0,1
,2028-12-31 00:00:00,0.0,0.0,1
"JEROME, MCCLELLAN, RIVER, 162",2002-07-18 00:00:00,0.0,0.0,1
BENSONHURST FLOWER SALES,2001-12-07 00:00:00,0.0,0.0,1
"VICTORY, CLOVE, FOREST",2028-11-19 00:00:00,651.73,325.865,2
DYCKMAN ST. & HUDSON RIVER,2015-12-31 00:00:00,566.0,566.0,1
,2010-11-21 00:00:00,104.0,104.0,1
,2007-12-31 00:00:00,0.0,0.0,1
,1998-04-30 00:00:00,0.0,0.0,1
DYCKMAN ST. & HUDSON RIVER,2002-12-31 00:00:00,0.0,0.0,1
FORT WADSWORTH TO MILLER FIELD,1999-01-06 00:00:00,0.0,0.0,1
DYKER BEACH GOLF COURSE,2024-01-14 00:00:00,799992.0,66666.0,12
"GRAVESEND BAY, 21 & CROPSEY",2017-12-31 00:00:00,4100.0,4100.0,1
,2023-04-11 00:00:00,183.33,183.33,1
BATTING RANGE & MINIATURE GOLF,2009-12-28 00:00:00,15550.0,15550.0,1
CADMAN PLAZA PARKING LOT,2001-08-31 00:00:00,0.0,0.0,1
"GANGWAYS 3, 4, AND 5 SOUVENIR",2021-09-30 00:00:00,208333.37,208333.37,1
FLUSHING MEADOWS GOLF COURSE,2010-04-30 00:00:00,14166.0,14166.0,1
,2001-12-31 00:00:00,0.0,0.0,2
CONSERVATORY WATER SNACK BAR,2008-03-31 00:00:00,15076.0,15076.0,1
PIER 10/1E,2003-11-19 00:00:00,0.0,0.0,1
MONTGOMERY ST TO E 12 ST.,2001-04-11 00:00:00,0.0,0.0,1
"VICTORY, CLOVE, FOREST",2023-11-19 00:00:00,651.73,325.865,2
,2014-12-31 00:00:00,460.0,460.0,1
DYCKMAN ST. & HUDSON RIVER,2026-12-31 00:00:00,0.0,0.0,1
MARINE PARK GOLF COURSE,2008-12-31 00:00:00,0.0,0.0,1
,2005-10-19 00:00:00,0.0,0.0,1
,2012-12-17 00:00:00,720.0,720.0,1
FLUSHING MEADOWS CAROUSEL,2004-03-31 00:00:00,0.0,0.0,1
"GANGWAYS 3, 4, AND 5 SOUVENIR",2024-02-29 00:00:00,208333.37,208333.37,1
