full_location_address,full_location_address,borough_name,digital_literacy,wheelchair_accessible,job_readiness_ex_resume_help,total_wireline_up
"332 E 70th Street, 10021, Manhattan, New York, USA","332 E 70th Street, 10021, Manhattan, New York, USA",Manhattan,Y,Y,Y,5.1
"501 Brielle Avenue, 10314, Staten Island, New York, USA","501 Brielle Avenue, 10314, Staten Island, New York, USA",Staten Island,N,Y,N,
"221 West 143rd Street, 10030, Manhattan, New York, USA","221 West 143rd Street, 10030, Manhattan, New York, USA",Manhattan,N,Y,N,227.5
"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA","311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA",Manhattan,Y,Y,N,10.5
"55 Pierrepont Street, 11201, Brooklyn, New York, USA","55 Pierrepont Street, 11201, Brooklyn, New York, USA",Brooklyn,N,Y,N,10.8
"1000 Utica Ave. , 11203, Brooklyn, New York, USA","1000 Utica Ave. , 11203, Brooklyn, New York, USA",Brooklyn,N,Y,Y,15.0
"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA","86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",Queens,N,Y,N,20.9
"776 Lorimer Street, 11222, Brooklyn, New York, USA","776 Lorimer Street, 11222, Brooklyn, New York, USA",Brooklyn,N,Y,N,160.8
"476 Fountain Avenue, 11208, Brooklyn, New York, USA","476 Fountain Avenue, 11208, Brooklyn, New York, USA",Brooklyn,N,Partially,N,30.4
"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA","1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",Brooklyn,Y,Y,N,15.0
"109-04 160th Street, 11433, Queens, New York, USA","109-04 160th Street, 11433, Queens, New York, USA",Queens,N,Y,N,293.9
"415 E 93rd St, 10128, Manhattan, New York, USA","415 E 93rd St, 10128, Manhattan, New York, USA",Manhattan,Y,,Y,0.0
"10-25 41st Avenue, 11101, Queens, New York, USA","10-25 41st Avenue, 11101, Queens, New York, USA",Queens,Y,,Y,0.0
"372 East 152nd Street, 10455, Bronx, New York, USA","372 East 152nd Street, 10455, Bronx, New York, USA",Bronx,Y,Y,N,45.1
"78 West 168th Street, 10452, Bronx, New York, USA","78 West 168th Street, 10452, Bronx, New York, USA",Bronx,N,Y,Y,1000.0
"203 West 115th Street, 10026, Manhattan, New York, USA","203 West 115th Street, 10026, Manhattan, New York, USA",Manhattan,N,Y,Y,1000.0
"975 Waring Avenue, 10469, Bronx, New York, USA","975 Waring Avenue, 10469, Bronx, New York, USA",Bronx,N,Y,N,80.0
"55 East 102nd Street , 10029, Manhattan, New York, USA","55 East 102nd Street , 10029, Manhattan, New York, USA",Manhattan,Y,Y,N,80.0
"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA","16-26 Cross Bay Boulevard, 11693, Queens, New York, USA",Queens,N,,N,500.0
"3601 Surf Avenue , 11224, Brooklyn, New York, USA","3601 Surf Avenue , 11224, Brooklyn, New York, USA",Brooklyn,Y,Y,N,60.0
"98-27 Metropolitan Avenue, 11375, Queens, New York, USA","98-27 Metropolitan Avenue, 11375, Queens, New York, USA",Queens,N,,N,500.0
"211 West 131st Street, 10027, Manhattan, New York, USA","211 West 131st Street, 10027, Manhattan, New York, USA",Manhattan,Y,Y,N,420.2
