longitude_internal,prevailing_wage_status,neighborhood_tabulation_area,low_income_units,project_name,total_units,building_completion_date,rank,dense_rank
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,48,2024-06-28 00:00:00,1,1
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,46,2024-06-28 00:00:00,2,1
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,20,2024-06-28 00:00:00,3,1
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,20,2024-06-28 00:00:00,3,1
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,15,2024-06-28 00:00:00,5,1
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,15,2024-06-28 00:00:00,5,1
-73.899759,Non Prevailing Wage,BX0302,11.0,CROTONA PARK WEST HDFC.HPO.FY24,15,2024-06-28 00:00:00,5,1
-73.942231,Non Prevailing Wage,QN0201,,THE TRIO APARTMENTS,34,2024-08-27 00:00:00,2,2
-73.887,Non Prevailing Wage,BX0303,6.0,WEST FARMS.HUDMF.FY25,169,2024-09-19 00:00:00,1,3
-73.887,Non Prevailing Wage,BX0303,6.0,WEST FARMS.HUDMF.FY25,107,2024-09-19 00:00:00,2,3
-73.986231,Non Prevailing Wage,BK0202,,131 CONCORD STREET APARTMENTS,73,2025-03-12 00:00:00,1,4
-73.860757,Non Prevailing Wage,BX1203,,633 EAST 230 STREET,25,2025-04-17 00:00:00,1,5
-73.915522,Non Prevailing Wage,BX0401,3.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,5,2025-06-27 00:00:00,3,6
-73.915522,Non Prevailing Wage,BX0401,3.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,11,2025-06-27 00:00:00,2,6
-73.980845,Non Prevailing Wage,MN0302,,MASARYK TOWERS.HRP.FY25,219,,1,7
-73.927244,Non Prevailing Wage,BK0402,2.0,B&R.YR15.FY25,8,,1,7
-73.927244,Non Prevailing Wage,BK0402,2.0,B&R.YR15.FY25,6,,3,7
-73.927244,Non Prevailing Wage,BK0402,2.0,B&R.YR15.FY25,3,,4,7
-73.922739,Non Prevailing Wage,BX0402,,1305 SHAKESPEARE AVENUE,8,,1,7
-73.856403,Non Prevailing Wage,BX0904,,2040 MCGRAW AVE APARTMENTS,24,,1,7
-73.932973,Non Prevailing Wage,QN0105,,37-42 30TH STREET,63,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,4.0,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,4.0,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
-74.170235,Non Prevailing Wage,SI0107,,NORTH SHORE PLAZA.YR15.FY25,122,,1,7
