job_filing_number,job_filing_number,bin,bin,initial_cost,total_proposed_stories
X00615227-I1,X00615227-I1,2012452,2012452,6000.0,
M01078574-S1,M01078574-S1,1009861,1009861,6000.0,
M00772350-I1,M00772350-I1,1035741,1035741,1.0,
S01168848-I1,S01168848-I1,5053638,5053638,50000.0,1.0
B00889442-I1,B00889442-I1,3404524,3404524,10000.0,
B00463611-I1,B00463611-I1,3329628,3329628,1800.0,
M00584280-I1,M00584280-I1,1085962,1085962,70000.0,58.0
M08055458-P1,M08055458-P1,1091742,1091742,203626.0,7.0
Q08019869-S1,Q08019869-S1,4087555,4087555,1000.0,3.0
M01232291-I1,M01232291-I1,1014262,1014262,200.0,
M01088431-P1,M01088431-P1,1087142,1087142,14700.0,
B00539229-I1,B00539229-I1,3324292,3324292,1574865.0,14.0
M00731506-P3,M00731506-P3,1011843,1011843,9000.0,3.0
M00305208-I1,M00305208-I1,1033197,1033197,100000.0,
B00379523-I1,B00379523-I1,3426514,3426514,32500.0,6.0
M00676209-I1,M00676209-I1,1007573,1007573,20000.0,9.0
B00854125-I1,B00854125-I1,3425954,3425954,100.0,
M00345500-I1,M00345500-I1,1041224,1041224,1000.0,
B00833568-I1,B00833568-I1,3340150,3340150,20000.0,
B00977968-I1,B00977968-I1,3342331,3342331,57438.0,4.0
X00283191-I1,X00283191-I1,2002572,2002572,150000.0,
B01056267-S1,B01056267-S1,3418229,3418229,37500.0,
M00525359-I1,M00525359-I1,1057284,1057284,5000.0,7.0
B01162336-I1,B01162336-I1,3117411,3117411,10000.0,
S00574757-P1,S00574757-P1,5025251,5025251,12000.0,
X01025944-P1,X01025944-P1,2129590,2129590,10000.0,
M00640994-I1,M00640994-I1,1090681,1090681,110000.0,12.0
M00877136-I1,M00877136-I1,1033968,1033968,7700.0,
M01026719-I1,M01026719-I1,1035071,1035071,101372.6,
Q00175843-I1,Q00175843-I1,4617247,4617247,1150.0,
Q08050705-P1,Q08050705-P1,4570298,4570298,158730.0,7.0
M00970305-I1,M00970305-I1,1015680,1015680,0.0,
Q00852378-I1,Q00852378-I1,4238813,4238813,5250.0,
M00470686-P3,M00470686-P3,1076258,1076258,38850.0,
B00089492-I1,B00089492-I1,3049850,3049850,7000.0,
X01080570-I1,X01080570-I1,2128608,2128608,216750.0,14.0
X01298560-I1,X01298560-I1,2077929,2077929,10000.0,3.0
B00247826-I1,B00247826-I1,3022472,3022472,500.0,
Q01064741-S1,Q01064741-S1,4208839,4208839,5000.0,
M01106860-I1,M01106860-I1,1017206,1017206,68250.0,
B00009242-I1,B00009242-I1,3418117,3418117,4000.0,
B08010802-I1,B08010802-I1,3020427,3020427,95000.0,
B00854112-S1,B00854112-S1,3179500,3179500,6000.0,2.0
Q00501883-A1,Q00501883-A1,4623682,4623682,1000.0,17.0
M00888070-I1,M00888070-I1,1031957,1031957,30000.0,
Q00343274-P1,Q00343274-P1,4050630,4050630,162500.0,
M00068081-I1,M00068081-I1,1034248,1034248,4000.0,
X00798868-S1,X00798868-S1,2022550,2022550,999758.48,
Q00900510-P1,Q00900510-P1,4624969,4624969,0.0,2.0
B01179041-I1,B01179041-I1,3429687,3429687,0.0,
