selectioncriteria3_prog1,revealed_prog1,ellprograms,mathprof,selectioncriteria3_prog2,accessibility,rank,dense_rank
,.,"English as a New Language, Transitional Bilingual Education: Spanish",20.0,.,Partially Accessible,2,4
,.,English as a New Language,77.0,,Partially Accessible,5,5
Final 4th Grade Report Card,.,English as a New Language,85.0,.,Partially Accessible,4,6
Attendance,.,"English as a New Language, Dual Language: Spanish",15.0,,Not Accessible,2,3
Entrance Assessment,.,English as a New Language,88.0,,Not Accessible,3,7
Audition,.,English as a New Language,89.0,,Not Accessible,2,8
,.,"English as a New Language, Transitional Bilingual Education: Spanish",,.,Not Accessible,4,9
,.,"English as a New Language, Transitional Bilingual Education: Spanish",12.0,,Fully Accessible,3,1
Spanish Interview,.,"English as a New Language, Dual Language: Spanish",20.0,,Fully Accessible,1,3
,.,"English as a New Language, Transitional Bilingual Education: Spanish",55.0,,Fully Accessible,1,4
,.,English as a New Language,92.0,,Fully Accessible,1,6
