first_priority01,second_priority02,se_services,total,count,average
Priority to Brooklyn students or residents,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,8,1,8.0
Open to New York City residents,"For K28B, K28C, K28D, and K28M only: a. Priority to New York City residents who attend an information session b. Then to New York City residents",This school will provide students with disabilities the supports and services indicated on their IEPs.,8,1,8.0
Priority to Bronx students or residents,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,7,1,7.0
Open to New York City residents,,This school will provide students with disabilities the supports and services indicated on their IEPs.,6,1,6.0
Priority to continuing 8th graders,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,4,1,4.0
Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,2,2,1.0
Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,2,2,1.0
"Priority to Mott Hall, Mott Hall II and Mott Hall III Middle School students who attend an information session",Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to Staten island students or residents who attend an information session,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Open only to female students,Priority to continuing 8th graders,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to Manhattan students or residents,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs,1,1,1.0
Priority to continuing 8th graders,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to continuing 8th graders,Then to Brooklyn students or residents who attend an information session,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to New York City residents who attend an information session,Then to New York City residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to Districts 24 and 30 students or residents,Then to Queens students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Priority to District 6 students or residents,Then to Manhattan students or residents,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,This school will provide students with disabilities the supports and services indicated on their IEPs.,1,1,1.0
