dbn,school_name,phone_number,fax_number,category,count,avg_value,total_value,max_value
27Q324,Rockaway Park High School for Environmental Sustainability,718-734-3280,718-734-3286,High Grade Span,1,12.0,12,12
15K462,Secondary School for Law,718-832-4250,718-499-3947,High Grade Span,1,12.0,12,12
17K122,Pathways in Technology Early College High School (P-Tech),718-221-1593,718-221-1781,Very High Grade Span,1,14.0,14,14
12X478,THE CINEMA SCHOOL,718-620-2560,718-620-2561,High Grade Span,1,12.0,12,12
08X282,Women's Academy of Excellence,718-542-0740,718-542-0841,High Grade Span,1,12.0,12,12
29Q248,Queens Preparatory Academy,718-712-2304,718-712-3273,High Grade Span,1,12.0,12,12
02M308,Lower Manhattan Arts Academy,212-505-0143,212-674-8021,High Grade Span,2,12.0,24,12
28Q328,High School for Community Leadership,718-558-9801,718-558-9807,High Grade Span,1,12.0,12,12
32K545,EBC High School for Public Service - Bushwick,718-452-3440,718-452-3603,High Grade Span,1,12.0,12,12
21K620,William E. Grady Career and Technical Education High School,718-332-5000,718-332-2544,High Grade Span,1,12.0,12,12
12X479,Bronx Career and College Preparatory High School,718-542-4011,718-542-4377,High Grade Span,1,12.0,12,12
30Q445,William Cullen Bryant High School,718-721-5404,718-728-3478,High Grade Span,1,12.0,12,12
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,212-253-2480,212-253-2539,High Grade Span,1,12.0,12,12
05M362,Columbia Secondary School,212-666-1278,212-666-3805,High Grade Span,1,12.0,12,12
02M425,Leadership and Public Service High School,212-346-0007,212-346-0612,High Grade Span,1,12.0,12,12
19K764,The Urban Assembly School for Collaborative Healthcare,718-277-1572,718-277-6041,High Grade Span,1,11.0,11,11
02M531,Repertory Company High School for Theatre Arts,212-382-1875,212-382-2306,High Grade Span,1,12.0,12,12
08X348,Schuylerville Preparatory High School,718-904-5080,718-935-5089,High Grade Span,1,12.0,12,12
15K656,Brooklyn High School of the Arts,718-855-2412,718-596-5027,High Grade Span,1,12.0,12,12
02M529,Jacqueline Kennedy Onassis High School,212-391-0041,212-391-1293,High Grade Span,1,12.0,12,12
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),718-796-8516,718-796-8657,High Grade Span,1,12.0,12,12
