owner_state,owner_city,current_status,total,count,average
,,SAFE,446900.0,28,15960.714285714286
,,SWARMP,377500.0,17,22205.882352941175
,,No Report Filed,112000.0,2,56000.0
,,UNSAFE,71600.0,9,7955.555555555556
NY,NEW YORK,SAFE,39950.0,1,39950.0
NY,NEW YORK,UNSAFE,26000.0,2,13000.0
,NEW YORK,SAFE,7500.0,3,2500.0
