location_name,t3_location_name,t4_full_location_address,full_location_address,workstation_number,digital_literacy,job_readiness_ex_resume_help
Coney Island Library,Coney Island Library,"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA","1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",12.0,Y,N
Scheuer House of Coney Island Older Adult Center,Scheuer House of Coney Island Older Adult Center,"3601 Surf Avenue , 11224, Brooklyn, New York, USA","3601 Surf Avenue , 11224, Brooklyn, New York, USA",2.0,Y,N
Jacob A. Riis Neighborhood Settlement Community Center,Jacob A. Riis Neighborhood Settlement Community Center,"10-25 41st Avenue, 11101, Queens, New York, USA","10-25 41st Avenue, 11101, Queens, New York, USA",,Y,Y
Carver Neighborhood Older Adults Center,Carver Neighborhood Older Adults Center,"55 East 102nd Street , 10029, Manhattan, New York, USA","55 East 102nd Street , 10029, Manhattan, New York, USA",16.0,Y,N
Lenox Hill Neighborhood House,Lenox Hill Neighborhood House,"332 E 70th Street, 10021, Manhattan, New York, USA","332 E 70th Street, 10021, Manhattan, New York, USA",12.0,Y,Y
Saint Nicholas Social Club,Saint Nicholas Social Club,"211 West 131st Street, 10027, Manhattan, New York, USA","211 West 131st Street, 10027, Manhattan, New York, USA",7.0,Y,N
Independence Plaza Older Adult Center,Independence Plaza Older Adult Center,"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA","311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA",0.0,Y,N
Stanley M. Isaacs Neighborhood Community Center,Stanley M. Isaacs Neighborhood Community Center,"415 E 93rd St, 10128, Manhattan, New York, USA","415 E 93rd St, 10128, Manhattan, New York, USA",,Y,Y
Melrose Mott Haven Neighborhood Senior Center,Melrose Mott Haven Neighborhood Senior Center,"372 East 152nd Street, 10455, Bronx, New York, USA","372 East 152nd Street, 10455, Bronx, New York, USA",6.0,Y,N
