queens_cooperatives_comparable_properties_neighborhood,queens_cooperatives_comparable_properties_building_classification,category,count,avg_value,total_value,max_value
ROCKAWAY PARK,D4-ELEVATOR,Medium income per sqft,1,14.04,14.04,14.04
ASTORIA,D4-ELEVATOR,Medium income per sqft,1,12.64,12.64,12.64
JAMAICA,D4-ELEVATOR,Medium income per sqft,1,11.8,11.8,11.8
HOWARD BEACH,C6-WALK-UP,Low income per sqft,1,7.7,7.7,7.7
ELMHURST,D4-ELEVATOR,Medium income per sqft,1,12.6,12.6,12.6
BRIARWOOD,D4-ELEVATOR,Medium income per sqft,1,13.7,13.7,13.7
FLUSHING-NORTH,D4-ELEVATOR,Medium income per sqft,4,12.4625,49.85,13.5
BEECHHURST,D4-ELEVATOR,Medium income per sqft,1,11.5,11.5,11.5
JACKSON HEIGHTS,D4-ELEVATOR,Medium income per sqft,1,11.0,11.0,11.0
SUNNYSIDE,D4-ELEVATOR,Medium income per sqft,2,15.5,31.0,16.0
HOWARD BEACH,D4-ELEVATOR,Medium income per sqft,1,11.82,11.82,11.82
LITTLE NECK,C6-WALK-UP,Medium income per sqft,1,12.0,12.0,12.0
DOUGLASTON,D4-ELEVATOR,Medium income per sqft,1,11.75,11.75,11.75
CORONA,D4-ELEVATOR,Medium income per sqft,2,13.025,26.05,13.3
MIDDLE VILLAGE,D4-ELEVATOR,Medium income per sqft,2,14.0,28.0,14.0
FOREST HILLS,D4-ELEVATOR,Medium income per sqft,5,14.61,73.05,16.2
FLORAL PARK,C6-WALK-UP,Medium income per sqft,1,12.0,12.0,12.0
BAYSIDE,C6-WALK-UP,Medium income per sqft,1,14.52,14.52,14.52
REGO PARK,D4-ELEVATOR,Medium income per sqft,1,15.4,15.4,15.4
FLUSHING-NORTH,C6-WALK-UP,Medium income per sqft,1,13.08,13.08,13.08
BAYSIDE,D4-ELEVATOR,Medium income per sqft,1,14.57,14.57,14.57
KEW GARDENS,D4-ELEVATOR,Medium income per sqft,1,11.0,11.0,11.0
