complaint_type,park_borough,address_type,police_precinct,open_data_channel_type,category,count,avg_value,total_value,max_value
Noise - Vehicle,BROOKLYN,ADDRESS,Precinct 70,ONLINE,Medium Y,1,168876.0,168876.0,168876.0
Noise - Vehicle,MANHATTAN,ADDRESS,Precinct 28,MOBILE,High Y,1,231952.0,231952.0,231952.0
Graffiti,BROOKLYN,ADDRESS,Precinct 83,UNKNOWN,Medium Y,1,193093.0,193093.0,193093.0
Noise - Residential,BRONX,ADDRESS,Precinct 47,MOBILE,High Y,3,264470.0,793410.0,264470.0
Building/Use,BROOKLYN,ADDRESS,Precinct 68,UNKNOWN,Medium Y,1,167404.0,167404.0,167404.0
Panhandling,BROOKLYN,INTERSECTION,Precinct 75,MOBILE,Medium Y,1,188994.0,188994.0,188994.0
PLUMBING,BRONX,ADDRESS,Precinct 42,PHONE,High Y,2,242000.0,484000.0,242000.0
Street Condition,BRONX,ADDRESS,Precinct 46,UNKNOWN,High Y,1,250912.0,250912.0,250912.0
Food Establishment,QUEENS,ADDRESS,Precinct 104,MOBILE,Medium Y,1,199564.0,199564.0,199564.0
FLOORING/STAIRS,BRONX,ADDRESS,Precinct 40,PHONE,High Y,1,233160.0,233160.0,233160.0
Illegal Parking,BRONX,INTERSECTION,Precinct 47,PHONE,High Y,1,266912.0,266912.0,266912.0
Illegal Parking,MANHATTAN,ADDRESS,Precinct 7,ONLINE,High Y,1,201751.0,201751.0,201751.0
Animal in a Park,QUEENS,ADDRESS,Precinct 114,ONLINE,High Y,1,220515.0,220515.0,220515.0
Street Condition,QUEENS,ADDRESS,Precinct 102,UNKNOWN,Medium Y,1,192872.0,192872.0,192872.0
Special Projects Inspection Team (SPIT),MANHATTAN,ADDRESS,Precinct 19,UNKNOWN,High Y,1,220267.0,220267.0,220267.0
New Tree Request,MANHATTAN,ADDRESS,Precinct 19,MOBILE,High Y,1,219901.0,219901.0,219901.0
HEAT/HOT WATER,BROOKLYN,ADDRESS,Precinct 75,ONLINE,Medium Y,1,182780.0,182780.0,182780.0
Illegal Parking,BRONX,ADDRESS,Precinct 48,ONLINE,High Y,1,245795.0,245795.0,245795.0
PAINT/PLASTER,BRONX,ADDRESS,Precinct 52,ONLINE,High Y,1,259140.0,259140.0,259140.0
Water System,QUEENS,ADDRESS,Precinct 101,PHONE,Medium Y,1,154765.0,154765.0,154765.0
Water Conservation,BRONX,ADDRESS,Precinct 45,ONLINE,High Y,1,236864.0,236864.0,236864.0
Illegal Parking,BROOKLYN,ADDRESS,Precinct 84,ONLINE,Medium Y,1,191323.0,191323.0,191323.0
HEAT/HOT WATER,QUEENS,ADDRESS,Precinct 112,ONLINE,High Y,1,202405.0,202405.0,202405.0
Noise - Vehicle,QUEENS,ADDRESS,Precinct 107,ONLINE,High Y,1,203443.0,203443.0,203443.0
Boilers,MANHATTAN,ADDRESS,Precinct 34,UNKNOWN,High Y,1,251647.0,251647.0,251647.0
GENERAL,BRONX,ADDRESS,Precinct 48,PHONE,High Y,2,251865.0,503730.0,251865.0
Noise - Residential,BRONX,ADDRESS,Precinct 50,ONLINE,High Y,1,258102.0,258102.0,258102.0
Blocked Driveway,BROOKLYN,ADDRESS,Precinct 66,PHONE,Medium Y,1,173840.0,173840.0,173840.0
Root/Sewer/Sidewalk Condition,BROOKLYN,ADDRESS,Precinct 61,UNKNOWN,Medium Y,1,154448.0,154448.0,154448.0
Water System,QUEENS,ADDRESS,Precinct 104,ONLINE,Medium Y,1,196186.0,196186.0,196186.0
Noise - Helicopter,MANHATTAN,ADDRESS,Precinct 13,ONLINE,High Y,1,209219.0,209219.0,209219.0
Noise - Residential,QUEENS,ADDRESS,Precinct 114,ONLINE,High Y,1,214185.0,214185.0,214185.0
PLUMBING,MANHATTAN,ADDRESS,Precinct 6,ONLINE,High Y,1,208428.0,208428.0,208428.0
Blocked Driveway,QUEENS,ADDRESS,Precinct 114,PHONE,High Y,1,222405.0,222405.0,222405.0
Abandoned Vehicle,BROOKLYN,ADDRESS,Precinct 63,ONLINE,Medium Y,1,162649.0,162649.0,162649.0
Noise - Street/Sidewalk,BROOKLYN,ADDRESS,Precinct 77,ONLINE,Medium Y,1,183933.0,183933.0,183933.0
ELEVATOR,MANHATTAN,ADDRESS,Precinct 17,ONLINE,High Y,1,213147.0,213147.0,213147.0
HEAT/HOT WATER,BROOKLYN,ADDRESS,Precinct 94,ONLINE,Medium Y,1,199560.0,199560.0,199560.0
Consumer Complaint,QUEENS,ADDRESS,Precinct 115,ONLINE,High Y,1,212251.0,212251.0,212251.0
Drinking,QUEENS,UNRECOGNIZED,Precinct 108,ONLINE,High Y,1,210535.0,210535.0,210535.0
Blocked Driveway,STATEN ISLAND,ADDRESS,Precinct 121,ONLINE,Medium Y,1,154308.0,154308.0,154308.0
Derelict Vehicles,QUEENS,ADDRESS,Precinct 110,PHONE,High Y,1,209782.0,209782.0,209782.0
Noise - Vehicle,BRONX,ADDRESS,Precinct 50,MOBILE,High Y,1,259980.0,259980.0,259980.0
Encampment,MANHATTAN,ADDRESS,Precinct 1,MOBILE,High Y,1,201963.0,201963.0,201963.0
Noise - Street/Sidewalk,MANHATTAN,ADDRESS,Precinct 25,ONLINE,High Y,1,231267.0,231267.0,231267.0
Taxi Complaint,MANHATTAN,ADDRESS,Unspecified,ONLINE,High Y,1,212845.0,212845.0,212845.0
HEAT/HOT WATER,MANHATTAN,ADDRESS,Unspecified,ONLINE,High Y,1,210457.0,210457.0,210457.0
Damaged Tree,QUEENS,ADDRESS,Precinct 113,ONLINE,Medium Y,1,185935.0,185935.0,185935.0
